LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,148,2070,1155,28,7,Alpine,12/04/2022,2022-04-13
Ararat (RC),VIC220,11845,76,1581,641.6,14,6,Ararat,12/04/2022,2022-04-13
Ballarat (C),VIC241,109505,1305,20793,1191.7,260,7,Ballarat,12/04/2022,2022-04-13
Banyule (C),VIC188,131631,1429,27348,1085.6,251,7,Banyule,12/04/2022,2022-04-13
Bass Coast (S),VIC173,36320,270,6063,743.4,52,6,Bass Coast,12/04/2022,2022-04-13
Baw Baw (S),VIC194,53396,613,10132,1148,109,7,Baw Baw,12/04/2022,2022-04-13
Bayside (C),VIC182,106862,1042,22648,975.1,198,6,Bayside,12/04/2022,2022-04-13
Benalla (RC),VIC199,14037,82,2010,584.2,18,6,Benalla,12/04/2022,2022-04-13
Boroondara (C),VIC201,183199,1787,34381,975.4,357,6,Boroondara,12/04/2022,2022-04-13
Brimbank (C),VIC189,209523,1248,49349,595.6,169,6,Brimbank,12/04/2022,2022-04-13
Buloke (S),VIC183,6124,40,602,653.2,10,6,Buloke,12/04/2022,2022-04-13
Campaspe (S),VIC239,37622,257,6368,683.1,49,6,Campaspe,12/04/2022,2022-04-13
Cardinia (S),VIC212,112159,1130,26069,1007.5,184,7,Cardinia,12/04/2022,2022-04-13
Casey (C),VIC213,353872,3154,87224,891.3,557,6,Casey,12/04/2022,2022-04-13
Central Goldfields (S),VIC169,13186,141,1641,1069.3,28,7,Central Goldfields,12/04/2022,2022-04-13
Colac-Otway (S),VIC224,21564,166,3418,769.8,29,6,Colac-Otway,12/04/2022,2022-04-13
Corangamite (S),VIC231,16020,119,2140,742.8,16,6,Corangamite,12/04/2022,2022-04-13
Darebin (C),VIC205,164184,1606,35835,978.2,281,6,Darebin,12/04/2022,2022-04-13
East Gippsland (S),VIC243,47316,439,5554,927.8,81,6,East Gippsland,12/04/2022,2022-04-13
Frankston (C),VIC227,142643,1279,29884,896.6,229,6,Frankston,12/04/2022,2022-04-13
Gannawarra (S),VIC214,10472,66,1129,630.3,9,6,Gannawarra,12/04/2022,2022-04-13
Glen Eira (C),VIC177,156511,1607,35876,1026.8,256,7,Glen Eira,12/04/2022,2022-04-13
Glenelg (S),VIC223,19674,174,2541,884.4,27,6,Glenelg,12/04/2022,2022-04-13
Golden Plains (S),VIC230,23722,258,4062,1087.6,49,7,Golden Plains,12/04/2022,2022-04-13
Greater Bendigo (C),VIC193,118093,1188,21062,1006,216,7,Greater Bendigo,12/04/2022,2022-04-13
Greater Dandenong (C),VIC247,168201,1167,36947,693.8,216,6,Greater Dandenong,12/04/2022,2022-04-13
Greater Geelong (C),VIC215,258934,2448,52098,945.4,438,6,Greater Geelong,12/04/2022,2022-04-13
Greater Shepparton (C),VIC93,66498,422,13089,634.6,76,6,Greater Shepparton,12/04/2022,2022-04-13
Hepburn (S),VIC94,15975,123,1997,770,20,6,Hepburn,12/04/2022,2022-04-13
Hindmarsh (S),VIC152,5588,43,590,769.5,6,6,Hindmarsh,12/04/2022,2022-04-13
Hobsons Bay (C),VIC235,97751,870,20191,890,151,6,Hobsons Bay,12/04/2022,2022-04-13
