LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,71,1658,554.1,14,6,Alpine,24/03/2022,2022-03-25
Ararat (RC),VIC220,11845,60,1398,506.5,9,6,Ararat,24/03/2022,2022-03-25
Ballarat (C),VIC241,109505,811,17408,740.6,141,6,Ballarat,24/03/2022,2022-03-25
Banyule (C),VIC188,131631,1363,22975,1035.5,190,7,Banyule,24/03/2022,2022-03-25
Bass Coast (S),VIC173,36320,351,5098,966.4,51,6,Bass Coast,24/03/2022,2022-03-25
Baw Baw (S),VIC194,53396,329,8544,616.2,47,6,Baw Baw,24/03/2022,2022-03-25
Bayside (C),VIC182,106862,957,19306,895.5,163,6,Bayside,24/03/2022,2022-03-25
Benalla (RC),VIC199,14037,110,1728,783.6,20,6,Benalla,24/03/2022,2022-03-25
Boroondara (C),VIC201,183199,1651,29061,901.2,248,6,Boroondara,24/03/2022,2022-03-25
Brimbank (C),VIC189,209523,1023,45355,488.3,167,5,Brimbank,24/03/2022,2022-03-25
Buloke (S),VIC183,6124,27,434,440.9,8,5,Buloke,24/03/2022,2022-03-25
Campaspe (S),VIC239,37622,326,5593,866.5,53,6,Campaspe,24/03/2022,2022-03-25
Cardinia (S),VIC212,112159,972,22714,866.6,165,6,Cardinia,24/03/2022,2022-03-25
Casey (C),VIC213,353872,2622,77665,740.9,424,6,Casey,24/03/2022,2022-03-25
Central Goldfields (S),VIC169,13186,107,1185,811.5,19,6,Central Goldfields,24/03/2022,2022-03-25
Colac-Otway (S),VIC224,21564,226,2962,1048,40,7,Colac-Otway,24/03/2022,2022-03-25
Corangamite (S),VIC231,16020,84,1730,524.3,16,6,Corangamite,24/03/2022,2022-03-25
Darebin (C),VIC205,164184,1508,30975,918.5,226,6,Darebin,24/03/2022,2022-03-25
East Gippsland (S),VIC243,47316,251,4378,530.5,63,6,East Gippsland,24/03/2022,2022-03-25
Frankston (C),VIC227,142643,1284,25927,900.1,237,6,Frankston,24/03/2022,2022-03-25
