postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,578,12995,1521.9,123,7,04/04/2022,2022-04-05
3001,0,0,0,0,0,0,04/04/2022,2022-04-05
3002,4957,47,1012,948.2,11,6,04/04/2022,2022-04-05
3003,5516,74,2290,1341.6,10,7,04/04/2022,2022-04-05
3004,9311,127,2825,1364,31,7,04/04/2022,2022-04-05
3005,523,0,0,0,0,0,04/04/2022,2022-04-05
3006,18811,241,5901,1281.2,51,7,04/04/2022,2022-04-05
3008,10438,135,3251,1293.4,34,7,04/04/2022,2022-04-05
3010,1595,2,4,125.4,0,4,04/04/2022,2022-04-05
3011,21464,222,5521,1034.3,49,7,04/04/2022,2022-04-05
3012,26295,304,6730,1156.1,60,7,04/04/2022,2022-04-05
3013,14967,181,3601,1209.3,49,7,04/04/2022,2022-04-05
3015,17472,236,4105,1350.7,36,7,04/04/2022,2022-04-05
3016,15558,157,3168,1009.1,34,7,04/04/2022,2022-04-05
3018,12685,149,2246,1174.6,24,7,04/04/2022,2022-04-05
3019,9199,73,2587,793.6,9,6,04/04/2022,2022-04-05
3020,44784,290,10730,647.6,57,6,04/04/2022,2022-04-05
3021,54190,328,12987,605.3,64,6,04/04/2022,2022-04-05
3022,3102,46,815,1482.9,4,7,04/04/2022,2022-04-05
3023,63974,529,17719,826.9,106,6,04/04/2022,2022-04-05
3024,23852,258,7903,1081.7,50,7,04/04/2022,2022-04-05
3025,12155,125,3277,1028.4,26,7,04/04/2022,2022-04-05
3026,72,88,2492,122222.2,21,7,04/04/2022,2022-04-05
3027,6650,75,2147,1127.8,7,7,04/04/2022,2022-04-05
3028,29198,263,5842,900.7,51,6,04/04/2022,2022-04-05
3029,93946,873,30959,929.3,182,6,04/04/2022,2022-04-05
3030,100311,958,24814,955,161,6,04/04/2022,2022-04-05
3031,18533,232,4287,1251.8,49,7,04/04/2022,2022-04-05
3032,29449,359,7247,1219.1,68,7,04/04/2022,2022-04-05
3033,14512,129,3415,888.9,23,6,04/04/2022,2022-04-05
3034,11633,110,2957,945.6,16,6,04/04/2022,2022-04-05
3036,5921,69,1423,1165.3,18,7,04/04/2022,2022-04-05
3037,51156,473,13576,924.6,93,6,04/04/2022,2022-04-05
3038,27258,243,6349,891.5,46,6,04/04/2022,2022-04-05
3039,14252,174,3783,1220.9,31,7,04/04/2022,2022-04-05
3040,25939,310,6433,1195.1,63,7,04/04/2022,2022-04-05
3041,12412,140,3109,1127.9,31,7,04/04/2022,2022-04-05
3042,15762,179,3961,1135.6,37,7,04/04/2022,2022-04-05
3043,17715,169,4427,954,33,6,04/04/2022,2022-04-05
3044,27116,294,6927,1084.2,36,7,04/04/2022,2022-04-05
3045,100,4,94,4000,0,7,04/04/2022,2022-04-05
3046,34061,342,9567,1004.1,83,7,04/04/2022,2022-04-05
3047,20901,115,5992,550.2,23,6,04/04/2022,2022-04-05
3048,18025,85,4848,471.6,12,5,04/04/2022,2022-04-05
3049,9266,92,2675,992.9,17,6,04/04/2022,2022-04-05
3050,119,1,1,840.3,1,6,04/04/2022,2022-04-05
3051,14939,191,3626,1278.5,24,7,04/04/2022,2022-04-05
3052,5697,67,1955,1176.1,6,7,04/04/2022,2022-04-05
3053,18538,188,4468,1014.1,24,7,04/04/2022,2022-04-05
3054,8426,81,1964,961.3,15,6,04/04/2022,2022-04-05
3055,14160,184,3431,1299.4,31,7,04/04/2022,2022-04-05
3056,24475,327,6402,1336.1,64,7,04/04/2022,2022-04-05
3057,11502,196,3369,1704.1,36,7,04/04/2022,2022-04-05
3058,33783,488,8618,1444.5,86,7,04/04/2022,2022-04-05
3059,15466,218,5865,1409.5,46,7,04/04/2022,2022-04-05
3060,14040,82,3674,584,16,6,04/04/2022,2022-04-05
3061,5059,23,1460,454.6,1,5,04/04/2022,2022-04-05
3062,0,0,4,0,0,0,04/04/2022,2022-04-05
3063,574,3,107,522.6,0,6,04/04/2022,2022-04-05
3064,75458,734,31230,972.7,123,6,04/04/2022,2022-04-05
3065,10447,122,2876,1167.8,26,7,04/04/2022,2022-04-05
3066,8512,113,2543,1327.5,14,7,04/04/2022,2022-04-05
3067,8199,103,2209,1256.3,25,7,04/04/2022,2022-04-05
3068,18665,277,4702,1484.1,49,7,04/04/2022,2022-04-05
3070,24567,321,5978,1306.6,49,7,04/04/2022,2022-04-05
3071,18569,238,4590,1281.7,39,7,04/04/2022,2022-04-05
3072,32848,335,7751,1019.8,60,7,04/04/2022,2022-04-05
3073,50479,512,11278,1014.3,84,7,04/04/2022,2022-04-05
3074,20522,163,4868,794.3,35,6,04/04/2022,2022-04-05
3075,22594,189,5757,836.5,38,6,04/04/2022,2022-04-05
3076,32395,311,8641,960,51,6,04/04/2022,2022-04-05
3078,11638,154,2633,1323.3,20,7,04/04/2022,2022-04-05
3079,15990,175,3522,1094.4,35,7,04/04/2022,2022-04-05
3081,13424,144,3209,1072.7,27,7,04/04/2022,2022-04-05
3082,29713,278,6550,935.6,39,6,04/04/2022,2022-04-05
3083,31526,273,6833,866,65,6,04/04/2022,2022-04-05
3084,25514,369,5189,1446.3,81,7,04/04/2022,2022-04-05
3085,13882,188,2678,1354.3,49,7,04/04/2022,2022-04-05
3086,908,0,5,0,0,0,04/04/2022,2022-04-05
3087,9033,85,1820,941,10,6,04/04/2022,2022-04-05
3088,26890,333,5547,1238.4,77,7,04/04/2022,2022-04-05
3089,11739,180,2621,1533.4,32,7,04/04/2022,2022-04-05
3090,2362,36,630,1524.1,8,7,04/04/2022,2022-04-05
3091,1585,17,295,1072.6,3,7,04/04/2022,2022-04-05
3093,3891,61,830,1567.7,10,7,04/04/2022,2022-04-05
3094,8963,103,1764,1149.2,18,7,04/04/2022,2022-04-05
3095,27770,332,5511,1195.5,50,7,04/04/2022,2022-04-05
3096,1966,34,372,1729.4,7,7,04/04/2022,2022-04-05
3097,1443,10,245,693,4,6,04/04/2022,2022-04-05
3099,4877,57,857,1168.8,10,7,04/04/2022,2022-04-05
3101,24604,225,4795,914.5,31,6,04/04/2022,2022-04-05
3102,6634,59,1383,889.4,13,6,04/04/2022,2022-04-05
