postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,366,11046,963.7,40,6,13/03/2022,2022-03-14
3001,0,0,0,0,0,0,13/03/2022,2022-03-14
3002,4957,31,845,625.4,5,6,13/03/2022,2022-03-14
3003,5516,66,1954,1196.5,13,7,13/03/2022,2022-03-14
3004,9311,93,2440,998.8,4,6,13/03/2022,2022-03-14
3005,523,1,1,191.2,1,4,13/03/2022,2022-03-14
3006,18811,118,5048,627.3,10,6,13/03/2022,2022-03-14
3008,10438,61,2819,584.4,11,6,13/03/2022,2022-03-14
3010,1595,1,3,62.7,0,3,13/03/2022,2022-03-14
3011,21464,141,4815,656.9,12,6,13/03/2022,2022-03-14
3012,26295,207,5693,787.2,25,6,13/03/2022,2022-03-14
3013,14967,169,2960,1129.2,34,7,13/03/2022,2022-03-14
3015,17472,106,3373,606.7,21,6,13/03/2022,2022-03-14
3016,15558,107,2613,687.7,15,6,13/03/2022,2022-03-14
3018,12685,62,1854,488.8,4,5,13/03/2022,2022-03-14
3019,9199,53,2353,576.1,5,6,13/03/2022,2022-03-14
3020,44784,139,9818,310.4,24,5,13/03/2022,2022-03-14
3021,54190,175,12022,322.9,18,5,13/03/2022,2022-03-14
3022,3102,5,722,161.2,0,4,13/03/2022,2022-03-14
3023,63974,331,16095,517.4,46,6,13/03/2022,2022-03-14
3024,23852,150,7112,628.9,18,6,13/03/2022,2022-03-14
3025,12155,51,2890,419.6,4,5,13/03/2022,2022-03-14
3026,72,58,2271,80555.6,6,7,13/03/2022,2022-03-14
3027,6650,41,1909,616.5,6,6,13/03/2022,2022-03-14
3028,29198,138,4994,472.6,25,5,13/03/2022,2022-03-14
3029,93946,551,28276,586.5,79,6,13/03/2022,2022-03-14
3030,100311,617,21858,615.1,77,6,13/03/2022,2022-03-14
3031,18533,116,3651,625.9,13,6,13/03/2022,2022-03-14
3032,29449,205,6198,696.1,25,6,13/03/2022,2022-03-14
3033,14512,100,2992,689.1,12,6,13/03/2022,2022-03-14
3034,11633,65,2605,558.8,6,6,13/03/2022,2022-03-14
3036,5921,31,1246,523.6,6,6,13/03/2022,2022-03-14
3037,51156,273,12189,533.7,48,6,13/03/2022,2022-03-14
3038,27258,146,5645,535.6,22,6,13/03/2022,2022-03-14
3039,14252,103,3203,722.7,11,6,13/03/2022,2022-03-14
3040,25939,206,5527,794.2,24,6,13/03/2022,2022-03-14
3041,12412,106,2714,854,18,6,13/03/2022,2022-03-14
3042,15762,111,3460,704.2,15,6,13/03/2022,2022-03-14
3043,17715,115,3926,649.2,8,6,13/03/2022,2022-03-14
3044,27116,200,5905,737.6,24,6,13/03/2022,2022-03-14
3045,100,0,79,0,0,0,13/03/2022,2022-03-14
3046,34061,165,8583,484.4,28,5,13/03/2022,2022-03-14
3047,20901,80,5641,382.8,16,5,13/03/2022,2022-03-14
3048,18025,54,4600,299.6,5,5,13/03/2022,2022-03-14
3049,9266,79,2411,852.6,6,6,13/03/2022,2022-03-14
3050,119,0,0,0,0,0,13/03/2022,2022-03-14
3051,14939,117,3065,783.2,9,6,13/03/2022,2022-03-14
3052,5697,82,1690,1439.4,3,7,13/03/2022,2022-03-14
3053,18538,129,3801,695.9,10,6,13/03/2022,2022-03-14
3054,8426,58,1654,688.3,8,6,13/03/2022,2022-03-14
