LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,144,2044,1123.8,26,7,Alpine,11/04/2022,2022-04-12
Ararat (RC),VIC220,11845,69,1567,582.5,15,6,Ararat,11/04/2022,2022-04-12
Ballarat (C),VIC241,109505,1288,20543,1176.2,189,7,Ballarat,11/04/2022,2022-04-12
Banyule (C),VIC188,131631,1490,27114,1132,229,7,Banyule,11/04/2022,2022-04-12
Bass Coast (S),VIC173,36320,283,6010,779.2,40,6,Bass Coast,11/04/2022,2022-04-12
Baw Baw (S),VIC194,53396,596,10025,1116.2,94,7,Baw Baw,11/04/2022,2022-04-12
Bayside (C),VIC182,106862,1064,22459,995.7,200,6,Bayside,11/04/2022,2022-04-12
Benalla (RC),VIC199,14037,80,1994,569.9,13,6,Benalla,11/04/2022,2022-04-12
Boroondara (C),VIC201,183199,1769,34041,965.6,316,6,Boroondara,11/04/2022,2022-04-12
Brimbank (C),VIC189,209523,1346,49223,642.4,215,6,Brimbank,11/04/2022,2022-04-12
Buloke (S),VIC183,6124,40,593,653.2,12,6,Buloke,11/04/2022,2022-04-12
Campaspe (S),VIC239,37622,254,6321,675.1,35,6,Campaspe,11/04/2022,2022-04-12
Cardinia (S),VIC212,112159,1201,25894,1070.8,199,7,Cardinia,11/04/2022,2022-04-12
Casey (C),VIC213,353872,3164,86711,894.1,531,6,Casey,11/04/2022,2022-04-12
Central Goldfields (S),VIC169,13186,137,1613,1039,25,7,Central Goldfields,11/04/2022,2022-04-12
Colac-Otway (S),VIC224,21564,175,3391,811.5,32,6,Colac-Otway,11/04/2022,2022-04-12
Corangamite (S),VIC231,16020,133,2124,830.2,14,6,Corangamite,11/04/2022,2022-04-12
Darebin (C),VIC205,164184,1688,35566,1028.1,246,7,Darebin,11/04/2022,2022-04-12
East Gippsland (S),VIC243,47316,452,5474,955.3,60,6,East Gippsland,11/04/2022,2022-04-12
Frankston (C),VIC227,142643,1305,29672,914.9,199,6,Frankston,11/04/2022,2022-04-12
Gannawarra (S),VIC214,10472,68,1120,649.4,13,6,Gannawarra,11/04/2022,2022-04-12
Glen Eira (C),VIC177,156511,1671,35641,1067.7,251,7,Glen Eira,11/04/2022,2022-04-12
Glenelg (S),VIC223,19674,207,2519,1052.2,24,7,Glenelg,11/04/2022,2022-04-12
Golden Plains (S),VIC230,23722,248,4014,1045.4,35,7,Golden Plains,11/04/2022,2022-04-12
Greater Bendigo (C),VIC193,118093,1269,20859,1074.6,153,7,Greater Bendigo,11/04/2022,2022-04-12
Greater Dandenong (C),VIC247,168201,1189,36745,706.9,214,6,Greater Dandenong,11/04/2022,2022-04-12
Greater Geelong (C),VIC215,258934,2526,51680,975.5,404,6,Greater Geelong,11/04/2022,2022-04-12
Greater Shepparton (C),VIC93,66498,423,13017,636.1,72,6,Greater Shepparton,11/04/2022,2022-04-12
Hepburn (S),VIC94,15975,126,1978,788.7,17,6,Hepburn,11/04/2022,2022-04-12
Hindmarsh (S),VIC152,5588,44,585,787.4,12,6,Hindmarsh,11/04/2022,2022-04-12
Hobsons Bay (C),VIC235,97751,890,20040,910.5,161,6,Hobsons Bay,11/04/2022,2022-04-12
Horsham (RC),VIC153,19921,235,2934,1179.7,46,7,Horsham,11/04/2022,2022-04-12
Hume (C),VIC198,233471,1674,65350,717,274,6,Hume,11/04/2022,2022-04-12
Indigo (S),VIC191,16701,145,2191,868.2,23,6,Indigo,11/04/2022,2022-04-12
Interstate,,,104,4396,0,47,0,,11/04/2022,2022-04-12
Kingston (C),VIC226,165782,1507,34604,909,236,6,Kingston,11/04/2022,2022-04-12
Knox (C),VIC209,164538,1582,31274,961.5,260,6,Knox,11/04/2022,2022-04-12
Latrobe (C),VIC219,75561,792,14127,1048.2,135,7,Latrobe,11/04/2022,2022-04-12
Loddon (S),VIC185,7504,72,789,959.5,14,6,Loddon,11/04/2022,2022-04-12
Macedon Ranges (S),VIC228,50231,666,8889,1325.9,103,7,Macedon Ranges,11/04/2022,2022-04-12
Manningham (C),VIC195,127573,1256,24236,984.5,212,6,Manningham,11/04/2022,2022-04-12
Mansfield (S),VIC244,9176,76,1691,828.2,9,6,Mansfield,11/04/2022,2022-04-12
Maribyrnong (C),VIC234,93448,902,21967,965.2,120,6,Maribyrnong,11/04/2022,2022-04-12
Maroondah (C),VIC207,118558,1234,22251,1040.8,179,7,Maroondah,11/04/2022,2022-04-12
Melbourne (C),VIC132,178955,1635,41181,913.6,334,6,Melbourne,11/04/2022,2022-04-12
Melton (C),VIC237,164895,1541,48178,934.5,263,6,Melton,11/04/2022,2022-04-12
Mildura (RC),VIC222,55777,514,11225,921.5,80,6,Mildura,11/04/2022,2022-04-12
Mitchell (S),VIC211,46082,494,9721,1072,81,7,Mitchell,11/04/2022,2022-04-12
Moira (S),VIC190,29925,233,5121,778.6,34,6,Moira,11/04/2022,2022-04-12
Monash (C),VIC210,202847,1730,37043,852.9,327,6,Monash,11/04/2022,2022-04-12
Moonee Valley (C),VIC121,130294,1243,30127,954,189,6,Moonee Valley,11/04/2022,2022-04-12
Moorabool (S),VIC236,35049,281,7383,801.7,50,6,Moorabool,11/04/2022,2022-04-12
Moreland (C),VIC131,185767,1846,44583,993.7,337,6,Moreland,11/04/2022,2022-04-12
Mornington Peninsula (S),VIC204,167636,1521,33322,907.3,239,6,Mornington Peninsula,11/04/2022,2022-04-12
Mount Alexander (S),VIC105,19754,216,2587,1093.4,37,7,Mount Alexander,11/04/2022,2022-04-12
Moyne (S),VIC229,16953,109,2351,643,10,6,Moyne,11/04/2022,2022-04-12
Murrindindi (S),VIC250,14570,75,1958,514.8,12,6,Murrindindi,11/04/2022,2022-04-12
Nillumbik (S),VIC216,65094,688,12921,1056.9,95,7,Nillumbik,11/04/2022,2022-04-12
Northern Grampians (S),VIC166,11402,82,1672,719.2,12,6,Northern Grampians,11/04/2022,2022-04-12
Overseas,,,2,83,0,1,0,,11/04/2022,2022-04-12
Overseas Traveller,,,0,621,0,0,0,,11/04/2022,2022-04-12
Port Phillip (C),VIC208,115601,1121,26257,969.7,192,6,Port Phillip,11/04/2022,2022-04-12
Pyrenees (S),VIC217,7472,33,939,441.6,3,5,Pyrenees,11/04/2022,2022-04-12
Queenscliffe (B),VIC238,2940,19,541,646.3,2,6,Queenscliffe,11/04/2022,2022-04-12
South Gippsland (S),VIC178,29914,286,4210,956.1,39,6,South Gippsland,11/04/2022,2022-04-12
Southern Grampians (S),VIC233,16100,99,2189,614.9,18,6,Southern Grampians,11/04/2022,2022-04-12
Stonnington (C),VIC203,117768,1082,25066,918.8,188,6,Stonnington,11/04/2022,2022-04-12
Strathbogie (S),VIC110,10781,61,1463,565.8,13,6,Strathbogie,11/04/2022,2022-04-12
Surf Coast (S),VIC225,33456,478,7758,1428.7,59,7,Surf Coast,11/04/2022,2022-04-12
Swan Hill (RC),VIC180,20649,213,3855,1031.5,34,7,Swan Hill,11/04/2022,2022-04-12
Towong (S),VIC187,6040,48,618,794.7,10,6,Towong,11/04/2022,2022-04-12
Unincorporated Vic,,,7,98,0,2,0,,11/04/2022,2022-04-12
Unknown,,,172,6393,0,67,0,,11/04/2022,2022-04-12
Wangaratta (RC),VIC186,29187,248,4749,849.7,46,6,Wangaratta,11/04/2022,2022-04-12
Warrnambool (C),VIC179,35181,362,6125,1029,79,7,Warrnambool,11/04/2022,2022-04-12
Wellington (S),VIC218,44380,489,6238,1101.8,87,7,Wellington,11/04/2022,2022-04-12
West Wimmera (S),VIC232,3841,27,273,702.9,5,6,West Wimmera,11/04/2022,2022-04-12
Whitehorse (C),VIC196,178739,1794,29807,1003.7,310,7,Whitehorse,11/04/2022,2022-04-12
Whittlesea (C),VIC197,230238,2229,58124,968.1,336,6,Whittlesea,11/04/2022,2022-04-12
Wodonga (C),VIC192,42083,495,7440,1176.2,101,7,Wodonga,11/04/2022,2022-04-12
Wyndham (C),VIC221,270487,2333,67805,862.5,434,6,Wyndham,11/04/2022,2022-04-12
Yarra (C),VIC202,101495,981,24067,966.6,156,6,Yarra,11/04/2022,2022-04-12
Yarra Ranges (S),VIC206,159462,1755,29853,1100.6,299,7,Yarra Ranges,11/04/2022,2022-04-12
Yarriambiack (S),VIC200,6639,47,700,707.9,8,6,Yarriambiack,11/04/2022,2022-04-12
