LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,78,1560,608.7,22,6,Alpine,16/03/2022,2022-03-17
Ararat (RC),VIC220,11845,46,1326,388.3,7,5,Ararat,16/03/2022,2022-03-17
Ballarat (C),VIC241,109505,918,16376,838.3,176,6,Ballarat,16/03/2022,2022-03-17
Banyule (C),VIC188,131631,1158,21250,879.7,246,6,Banyule,16/03/2022,2022-03-17
Bass Coast (S),VIC173,36320,229,4663,630.5,62,6,Bass Coast,16/03/2022,2022-03-17
Baw Baw (S),VIC194,53396,293,8149,548.7,60,6,Baw Baw,16/03/2022,2022-03-17
Bayside (C),VIC182,106862,767,18073,717.7,163,6,Bayside,16/03/2022,2022-03-17
Benalla (RC),VIC199,14037,89,1590,634,25,6,Benalla,16/03/2022,2022-03-17
Boroondara (C),VIC201,183199,1561,26929,852.1,311,6,Boroondara,16/03/2022,2022-03-17
Brimbank (C),VIC189,209523,809,44041,386.1,178,5,Brimbank,16/03/2022,2022-03-17
Buloke (S),VIC183,6124,5,403,81.6,1,3,Buloke,16/03/2022,2022-03-17
Campaspe (S),VIC239,37622,323,5176,858.5,70,6,Campaspe,16/03/2022,2022-03-17
Cardinia (S),VIC212,112159,831,21450,740.9,168,6,Cardinia,16/03/2022,2022-03-17
Casey (C),VIC213,353872,2063,74389,583,394,6,Casey,16/03/2022,2022-03-17
Central Goldfields (S),VIC169,13186,108,1041,819.1,17,6,Central Goldfields,16/03/2022,2022-03-17
Colac-Otway (S),VIC224,21564,114,2685,528.7,22,6,Colac-Otway,16/03/2022,2022-03-17
Corangamite (S),VIC231,16020,88,1628,549.3,21,6,Corangamite,16/03/2022,2022-03-17
Darebin (C),VIC205,164184,1223,29018,744.9,277,6,Darebin,16/03/2022,2022-03-17
East Gippsland (S),VIC243,47316,118,4093,249.4,31,5,East Gippsland,16/03/2022,2022-03-17
Frankston (C),VIC227,142643,1059,24328,742.4,240,6,Frankston,16/03/2022,2022-03-17
Gannawarra (S),VIC214,10472,50,900,477.5,10,5,Gannawarra,16/03/2022,2022-03-17
Glen Eira (C),VIC177,156511,1371,28415,876,307,6,Glen Eira,16/03/2022,2022-03-17
Glenelg (S),VIC223,19674,127,1715,645.5,14,6,Glenelg,16/03/2022,2022-03-17
Golden Plains (S),VIC230,23722,159,3093,670.3,34,6,Golden Plains,16/03/2022,2022-03-17
Greater Bendigo (C),VIC193,118093,1091,15067,923.8,210,6,Greater Bendigo,16/03/2022,2022-03-17
Greater Dandenong (C),VIC247,168201,657,32521,390.6,134,5,Greater Dandenong,16/03/2022,2022-03-17
Greater Geelong (C),VIC215,258934,2144,40911,828,462,6,Greater Geelong,16/03/2022,2022-03-17
Greater Shepparton (C),VIC93,66498,378,11300,568.4,65,6,Greater Shepparton,16/03/2022,2022-03-17
Hepburn (S),VIC94,15975,94,1461,588.4,23,6,Hepburn,16/03/2022,2022-03-17
Hindmarsh (S),VIC152,5588,18,473,322.1,4,5,Hindmarsh,16/03/2022,2022-03-17
Hobsons Bay (C),VIC235,97751,650,16517,665,155,6,Hobsons Bay,16/03/2022,2022-03-17
Horsham (RC),VIC153,19921,136,2364,682.7,22,6,Horsham,16/03/2022,2022-03-17
Hume (C),VIC198,233471,1301,58774,557.2,288,6,Hume,16/03/2022,2022-03-17
Indigo (S),VIC191,16701,115,1622,688.6,30,6,Indigo,16/03/2022,2022-03-17
Interstate,,,31,4193,0,14,0,,16/03/2022,2022-03-17
Kingston (C),VIC226,165782,1124,28274,678,253,6,Kingston,16/03/2022,2022-03-17
Knox (C),VIC209,164538,1348,24769,819.3,281,6,Knox,16/03/2022,2022-03-17
Latrobe (C),VIC219,75561,411,11130,543.9,107,6,Latrobe,16/03/2022,2022-03-17
Loddon (S),VIC185,7504,51,476,679.6,13,6,Loddon,16/03/2022,2022-03-17
Macedon Ranges (S),VIC228,50231,363,6559,722.7,83,6,Macedon Ranges,16/03/2022,2022-03-17
Manningham (C),VIC195,127573,870,19487,682,196,6,Manningham,16/03/2022,2022-03-17
Mansfield (S),VIC244,9176,45,1060,490.4,12,5,Mansfield,16/03/2022,2022-03-17
Maribyrnong (C),VIC234,93448,683,18418,730.9,159,6,Maribyrnong,16/03/2022,2022-03-17
Maroondah (C),VIC207,118558,764,17542,644.4,162,6,Maroondah,16/03/2022,2022-03-17
Melbourne (C),VIC132,178955,1138,34405,635.9,311,6,Melbourne,16/03/2022,2022-03-17
Melton (C),VIC237,164895,983,42315,596.1,234,6,Melton,16/03/2022,2022-03-17
Mildura (RC),VIC222,55777,494,8854,885.7,106,6,Mildura,16/03/2022,2022-03-17
Mitchell (S),VIC211,46082,316,7683,685.7,67,6,Mitchell,16/03/2022,2022-03-17
Moira (S),VIC190,29925,215,4263,718.5,23,6,Moira,16/03/2022,2022-03-17
Monash (C),VIC210,202847,1336,30198,658.6,297,6,Monash,16/03/2022,2022-03-17
Moonee Valley (C),VIC121,130294,878,25320,673.9,192,6,Moonee Valley,16/03/2022,2022-03-17
Moorabool (S),VIC236,35049,257,6133,733.3,47,6,Moorabool,16/03/2022,2022-03-17
Moreland (C),VIC131,185767,1347,37298,725.1,307,6,Moreland,16/03/2022,2022-03-17
Mornington Peninsula (S),VIC204,167636,1212,26973,723,251,6,Mornington Peninsula,16/03/2022,2022-03-17
Mount Alexander (S),VIC105,19754,87,1923,440.4,19,5,Mount Alexander,16/03/2022,2022-03-17
Moyne (S),VIC229,16953,96,1770,566.3,27,6,Moyne,16/03/2022,2022-03-17
Murrindindi (S),VIC250,14570,97,1514,665.8,27,6,Murrindindi,16/03/2022,2022-03-17
Nillumbik (S),VIC216,65094,427,10054,656,105,6,Nillumbik,16/03/2022,2022-03-17
Northern Grampians (S),VIC166,11402,46,1349,403.4,13,5,Northern Grampians,16/03/2022,2022-03-17
Overseas,,,0,80,0,0,0,,16/03/2022,2022-03-17
Overseas Traveller,,,0,621,0,0,0,,16/03/2022,2022-03-17
Port Phillip (C),VIC208,115601,741,21829,641,174,6,Port Phillip,16/03/2022,2022-03-17
Pyrenees (S),VIC217,7472,46,744,615.6,12,6,Pyrenees,16/03/2022,2022-03-17
Queenscliffe (B),VIC238,2940,26,450,884.4,7,6,Queenscliffe,16/03/2022,2022-03-17
South Gippsland (S),VIC178,29914,140,2857,468,33,5,South Gippsland,16/03/2022,2022-03-17
Southern Grampians (S),VIC233,16100,82,1699,509.3,24,6,Southern Grampians,16/03/2022,2022-03-17
Stonnington (C),VIC203,117768,907,20568,770.2,184,6,Stonnington,16/03/2022,2022-03-17
Strathbogie (S),VIC110,10781,56,1123,519.4,13,6,Strathbogie,16/03/2022,2022-03-17
Surf Coast (S),VIC225,33456,311,5802,929.6,65,6,Surf Coast,16/03/2022,2022-03-17
Swan Hill (RC),VIC180,20649,182,3081,881.4,40,6,Swan Hill,16/03/2022,2022-03-17
Towong (S),VIC187,6040,40,467,662.3,8,6,Towong,16/03/2022,2022-03-17
Unincorporated Vic,,,2,76,0,0,0,,16/03/2022,2022-03-17
Unknown,,,66,5506,0,10,0,,16/03/2022,2022-03-17
Wangaratta (RC),VIC186,29187,263,3798,901.1,54,6,Wangaratta,16/03/2022,2022-03-17
Warrnambool (C),VIC179,35181,177,4715,503.1,46,6,Warrnambool,16/03/2022,2022-03-17
Wellington (S),VIC218,44380,198,4738,446.1,41,5,Wellington,16/03/2022,2022-03-17
West Wimmera (S),VIC232,3841,9,204,234.3,3,5,West Wimmera,16/03/2022,2022-03-17
Whitehorse (C),VIC196,178739,1282,23160,717.2,273,6,Whitehorse,16/03/2022,2022-03-17
Whittlesea (C),VIC197,230238,1444,49291,627.2,313,6,Whittlesea,16/03/2022,2022-03-17
Wodonga (C),VIC192,42083,426,5923,1012.3,94,7,Wodonga,16/03/2022,2022-03-17
Wyndham (C),VIC221,270487,1509,59584,557.9,336,6,Wyndham,16/03/2022,2022-03-17
Yarra (C),VIC202,101495,800,19695,788.2,206,6,Yarra,16/03/2022,2022-03-17
Yarra Ranges (S),VIC206,159462,1148,23489,719.9,252,6,Yarra Ranges,16/03/2022,2022-03-17
Yarriambiack (S),VIC200,6639,45,541,677.8,9,6,Yarriambiack,16/03/2022,2022-03-17
