LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,143,2020,1116,14,7,Alpine,10/04/2022,2022-04-11
Ararat (RC),VIC220,11845,67,1555,565.6,13,6,Ararat,10/04/2022,2022-04-11
Ballarat (C),VIC241,109505,1361,20400,1242.9,261,7,Ballarat,10/04/2022,2022-04-11
Banyule (C),VIC188,131631,1585,26897,1204.1,212,7,Banyule,10/04/2022,2022-04-11
Bass Coast (S),VIC173,36320,307,5972,845.3,44,6,Bass Coast,10/04/2022,2022-04-11
Baw Baw (S),VIC194,53396,601,9946,1125.6,112,7,Baw Baw,10/04/2022,2022-04-11
Bayside (C),VIC182,106862,1071,22269,1002.2,173,7,Bayside,10/04/2022,2022-04-11
Benalla (RC),VIC199,14037,90,1983,641.2,23,6,Benalla,10/04/2022,2022-04-11
Boroondara (C),VIC201,183199,1774,33749,968.3,262,6,Boroondara,10/04/2022,2022-04-11
Brimbank (C),VIC189,209523,1426,49048,680.6,173,6,Brimbank,10/04/2022,2022-04-11
Buloke (S),VIC183,6124,41,582,669.5,5,6,Buloke,10/04/2022,2022-04-11
Campaspe (S),VIC239,37622,271,6290,720.3,43,6,Campaspe,10/04/2022,2022-04-11
Cardinia (S),VIC212,112159,1265,25739,1127.9,215,7,Cardinia,10/04/2022,2022-04-11
Casey (C),VIC213,353872,3341,86280,944.1,476,6,Casey,10/04/2022,2022-04-11
Central Goldfields (S),VIC169,13186,143,1589,1084.5,18,7,Central Goldfields,10/04/2022,2022-04-11
Colac-Otway (S),VIC224,21564,173,3362,802.3,20,6,Colac-Otway,10/04/2022,2022-04-11
Corangamite (S),VIC231,16020,149,2113,930.1,19,6,Corangamite,10/04/2022,2022-04-11
Darebin (C),VIC205,164184,1746,35340,1063.4,233,7,Darebin,10/04/2022,2022-04-11
East Gippsland (S),VIC243,47316,477,5420,1008.1,63,7,East Gippsland,10/04/2022,2022-04-11
Frankston (C),VIC227,142643,1399,29502,980.8,182,6,Frankston,10/04/2022,2022-04-11
Gannawarra (S),VIC214,10472,64,1106,611.2,7,6,Gannawarra,10/04/2022,2022-04-11
Glen Eira (C),VIC177,156511,1738,35417,1110.5,264,7,Glen Eira,10/04/2022,2022-04-11
Glenelg (S),VIC223,19674,238,2499,1209.7,24,7,Glenelg,10/04/2022,2022-04-11
Golden Plains (S),VIC230,23722,266,3989,1121.3,48,7,Golden Plains,10/04/2022,2022-04-11
Greater Bendigo (C),VIC193,118093,1483,20798,1255.8,214,7,Greater Bendigo,10/04/2022,2022-04-11
Greater Dandenong (C),VIC247,168201,1205,36554,716.4,157,6,Greater Dandenong,10/04/2022,2022-04-11
Greater Geelong (C),VIC215,258934,2753,51374,1063.2,389,7,Greater Geelong,10/04/2022,2022-04-11
Greater Shepparton (C),VIC93,66498,430,12949,646.6,61,6,Greater Shepparton,10/04/2022,2022-04-11
Hepburn (S),VIC94,15975,134,1961,838.8,24,6,Hepburn,10/04/2022,2022-04-11
Hindmarsh (S),VIC152,5588,43,573,769.5,5,6,Hindmarsh,10/04/2022,2022-04-11
