postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,452,11444,1190.1,100,7,18/03/2022,2022-03-19
3001,0,0,0,0,0,0,18/03/2022,2022-03-19
3002,4957,42,880,847.3,11,6,18/03/2022,2022-03-19
3003,5516,98,2044,1776.6,18,7,18/03/2022,2022-03-19
3004,9311,95,2533,1020.3,16,7,18/03/2022,2022-03-19
3005,523,0,0,0,0,0,18/03/2022,2022-03-19
3006,18811,181,5216,962.2,42,6,18/03/2022,2022-03-19
3008,10438,110,2914,1053.8,26,7,18/03/2022,2022-03-19
3010,1595,0,2,0,0,0,18/03/2022,2022-03-19
3011,21464,169,4957,787.4,25,6,18/03/2022,2022-03-19
3012,26295,254,5915,966,40,6,18/03/2022,2022-03-19
3013,14967,163,3091,1089.1,24,7,18/03/2022,2022-03-19
3015,17472,200,3548,1144.7,24,7,18/03/2022,2022-03-19
3016,15558,163,2753,1047.7,29,7,18/03/2022,2022-03-19
3018,12685,91,1941,717.4,11,6,18/03/2022,2022-03-19
3019,9199,53,2394,576.1,6,6,18/03/2022,2022-03-19
3020,44784,218,10014,486.8,43,5,18/03/2022,2022-03-19
3021,54190,193,12184,356.2,37,5,18/03/2022,2022-03-19
3022,3102,16,738,515.8,4,6,18/03/2022,2022-03-19
3023,63974,392,16421,612.7,63,6,18/03/2022,2022-03-19
3024,23852,204,7283,855.3,47,6,18/03/2022,2022-03-19
3025,12155,87,2983,715.8,13,6,18/03/2022,2022-03-19
3026,72,54,2315,75000,6,7,18/03/2022,2022-03-19
3027,6650,52,1957,782,12,6,18/03/2022,2022-03-19
3028,29198,191,5165,654.2,32,6,18/03/2022,2022-03-19
3029,93946,675,28868,718.5,92,6,18/03/2022,2022-03-19
3030,100311,716,22481,713.8,133,6,18/03/2022,2022-03-19
3031,18533,123,3762,663.7,23,6,18/03/2022,2022-03-19
3032,29449,255,6410,865.9,34,6,18/03/2022,2022-03-19
3033,14512,109,3088,751.1,20,6,18/03/2022,2022-03-19
3034,11633,66,2671,567.4,11,6,18/03/2022,2022-03-19
3036,5921,28,1268,472.9,3,5,18/03/2022,2022-03-19
3037,51156,310,12456,606,51,6,18/03/2022,2022-03-19
3038,27258,138,5765,506.3,16,6,18/03/2022,2022-03-19
3039,14252,137,3324,961.3,23,6,18/03/2022,2022-03-19
3040,25939,231,5722,890.6,29,6,18/03/2022,2022-03-19
3041,12412,108,2798,870.1,20,6,18/03/2022,2022-03-19
3042,15762,108,3553,685.2,18,6,18/03/2022,2022-03-19
3043,17715,106,4026,598.4,16,6,18/03/2022,2022-03-19
3044,27116,258,6134,951.5,35,6,18/03/2022,2022-03-19
3045,100,2,81,2000,1,7,18/03/2022,2022-03-19
3046,34061,249,8807,731,49,6,18/03/2022,2022-03-19
3047,20901,92,5722,440.2,11,5,18/03/2022,2022-03-19
3048,18025,64,4661,355.1,9,5,18/03/2022,2022-03-19
3049,9266,53,2454,572,9,6,18/03/2022,2022-03-19
3050,119,0,0,0,0,0,18/03/2022,2022-03-19
3051,14939,125,3180,836.7,22,6,18/03/2022,2022-03-19
3052,5697,56,1745,983,15,6,18/03/2022,2022-03-19
3053,18538,152,3946,819.9,23,6,18/03/2022,2022-03-19
3054,8426,94,1741,1115.6,8,7,18/03/2022,2022-03-19
3055,14160,163,2988,1151.1,27,7,18/03/2022,2022-03-19
3056,24475,314,5553,1282.9,49,7,18/03/2022,2022-03-19
3057,11502,137,2886,1191.1,23,7,18/03/2022,2022-03-19
3058,33783,367,7478,1086.3,53,7,18/03/2022,2022-03-19
3059,15466,113,5396,730.6,16,6,18/03/2022,2022-03-19
3060,14040,65,3442,463,16,5,18/03/2022,2022-03-19
3061,5059,12,1407,237.2,1,5,18/03/2022,2022-03-19
3062,0,0,4,0,0,0,18/03/2022,2022-03-19
3063,574,7,100,1219.5,0,7,18/03/2022,2022-03-19
3064,75458,605,29369,801.8,72,6,18/03/2022,2022-03-19
3065,10447,127,2554,1215.7,20,7,18/03/2022,2022-03-19
3066,8512,86,2253,1010.3,17,7,18/03/2022,2022-03-19
3067,8199,89,1900,1085.5,16,7,18/03/2022,2022-03-19
3068,18665,214,4022,1146.5,33,7,18/03/2022,2022-03-19
3070,24567,262,5018,1066.5,44,7,18/03/2022,2022-03-19
3071,18569,218,3970,1174,33,7,18/03/2022,2022-03-19
3072,32848,336,6880,1022.9,50,7,18/03/2022,2022-03-19
3073,50479,376,10054,744.9,56,6,18/03/2022,2022-03-19
3074,20522,118,4498,575,24,6,18/03/2022,2022-03-19
3075,22594,127,5283,562.1,38,6,18/03/2022,2022-03-19
3076,32395,223,7880,688.4,35,6,18/03/2022,2022-03-19
3078,11638,163,2204,1400.6,27,7,18/03/2022,2022-03-19
3079,15990,239,3041,1494.7,34,7,18/03/2022,2022-03-19
3081,13424,131,2855,975.9,21,6,18/03/2022,2022-03-19
3082,29713,184,5841,619.3,32,6,18/03/2022,2022-03-19
3083,31526,254,6175,805.7,45,6,18/03/2022,2022-03-19
3084,25514,271,4258,1062.2,40,7,18/03/2022,2022-03-19
3085,13882,140,2257,1008.5,15,7,18/03/2022,2022-03-19
3086,908,1,4,110.1,1,4,18/03/2022,2022-03-19
3087,9033,63,1594,697.4,6,6,18/03/2022,2022-03-19
3088,26890,214,4674,795.8,41,6,18/03/2022,2022-03-19
3089,11739,96,2187,817.8,20,6,18/03/2022,2022-03-19
3090,2362,35,545,1481.8,5,7,18/03/2022,2022-03-19
3091,1585,10,258,630.9,2,6,18/03/2022,2022-03-19
3093,3891,41,683,1053.7,10,7,18/03/2022,2022-03-19
3094,8963,120,1419,1338.8,12,7,18/03/2022,2022-03-19
3095,27770,220,4586,792.2,35,6,18/03/2022,2022-03-19
3096,1966,12,302,610.4,1,6,18/03/2022,2022-03-19
3097,1443,10,213,693,3,6,18/03/2022,2022-03-19
3099,4877,32,743,656.1,5,6,18/03/2022,2022-03-19
3101,24604,272,4145,1105.5,39,7,18/03/2022,2022-03-19
3102,6634,74,1206,1115.5,7,7,18/03/2022,2022-03-19
3103,15343,143,2094,932,23,6,18/03/2022,2022-03-19
3104,20404,199,3174,975.3,32,6,18/03/2022,2022-03-19
3105,10877,100,2121,919.4,9,6,18/03/2022,2022-03-19
3106,16620,115,2668,691.9,14,6,18/03/2022,2022-03-19
3107,13557,104,2430,767.1,13,6,18/03/2022,2022-03-19
3108,20823,168,3905,806.8,28,6,18/03/2022,2022-03-19
3109,28357,232,4469,818.1,44,6,18/03/2022,2022-03-19
3111,12348,99,1996,801.7,23,6,18/03/2022,2022-03-19
3113,8460,88,1507,1040.2,21,7,18/03/2022,2022-03-19
3114,3823,30,641,784.7,2,6,18/03/2022,2022-03-19
3115,3799,25,609,658.1,7,6,18/03/2022,2022-03-19
3116,9872,86,1875,871.2,13,6,18/03/2022,2022-03-19
3121,30502,329,7253,1078.6,62,7,18/03/2022,2022-03-19
3122,23508,238,4112,1012.4,47,7,18/03/2022,2022-03-19
3123,14319,135,2659,942.8,19,6,18/03/2022,2022-03-19
3124,22091,192,3727,869.1,34,6,18/03/2022,2022-03-19
3125,15021,135,2420,898.7,11,6,18/03/2022,2022-03-19
3126,8060,82,1162,1017.4,9,7,18/03/2022,2022-03-19
3127,18445,190,2781,1030.1,20,7,18/03/2022,2022-03-19
3128,19832,171,3178,862.2,25,6,18/03/2022,2022-03-19
3129,17374,133,2565,765.5,18,6,18/03/2022,2022-03-19
3130,32171,262,4642,814.4,35,6,18/03/2022,2022-03-19
3131,22499,191,3144,848.9,42,6,18/03/2022,2022-03-19
3132,16148,141,2488,873.2,22,6,18/03/2022,2022-03-19
3133,22119,210,2914,949.4,36,6,18/03/2022,2022-03-19
3134,32782,282,5528,860.2,51,6,18/03/2022,2022-03-19
3135,19954,164,3151,821.9,26,6,18/03/2022,2022-03-19
3136,44373,328,6951,739.2,48,6,18/03/2022,2022-03-19
3137,13872,106,2491,764.1,14,6,18/03/2022,2022-03-19
3138,21964,199,3935,906,22,6,18/03/2022,2022-03-19
