postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,542,13175,1427.1,105,7,06/04/2022,2022-04-07
3001,0,0,0,0,0,0,06/04/2022,2022-04-07
3002,4957,48,1037,968.3,15,6,06/04/2022,2022-04-07
3003,5516,86,2336,1559.1,20,7,06/04/2022,2022-04-07
3004,9311,112,2858,1202.9,19,7,06/04/2022,2022-04-07
3005,523,0,0,0,0,0,06/04/2022,2022-04-07
3006,18811,235,5976,1249.3,43,7,06/04/2022,2022-04-07
3008,10438,131,3291,1255,23,7,06/04/2022,2022-04-07
3010,1595,1,4,62.7,0,3,06/04/2022,2022-04-07
3011,21464,249,5623,1160.1,58,7,06/04/2022,2022-04-07
3012,26295,281,6817,1068.6,53,7,06/04/2022,2022-04-07
3013,14967,189,3668,1262.8,43,7,06/04/2022,2022-04-07
3015,17472,224,4184,1282.1,44,7,06/04/2022,2022-04-07
3016,15558,161,3229,1034.8,32,7,06/04/2022,2022-04-07
3018,12685,151,2298,1190.4,26,7,06/04/2022,2022-04-07
3019,9199,59,2601,641.4,6,6,06/04/2022,2022-04-07
3020,44784,317,10856,707.8,70,6,06/04/2022,2022-04-07
3021,54190,326,13089,601.6,69,6,06/04/2022,2022-04-07
3022,3102,31,816,999.4,4,6,06/04/2022,2022-04-07
3023,63974,531,17923,830,113,6,06/04/2022,2022-04-07
3024,23852,265,8009,1111,72,7,06/04/2022,2022-04-07
3025,12155,107,3302,880.3,16,6,06/04/2022,2022-04-07
3026,72,91,2524,126388.9,21,7,06/04/2022,2022-04-07
3027,6650,59,2173,887.2,13,6,06/04/2022,2022-04-07
3028,29198,244,5932,835.7,53,6,06/04/2022,2022-04-07
3029,93946,888,31277,945.2,192,6,06/04/2022,2022-04-07
3030,100311,937,25153,934.1,181,6,06/04/2022,2022-04-07
3031,18533,234,4360,1262.6,43,7,06/04/2022,2022-04-07
3032,29449,340,7358,1154.5,64,7,06/04/2022,2022-04-07
3033,14512,151,3485,1040.5,24,7,06/04/2022,2022-04-07
3034,11633,89,2987,765.1,18,6,06/04/2022,2022-04-07
3036,5921,61,1440,1030.2,12,7,06/04/2022,2022-04-07
3037,51156,456,13745,891.4,80,6,06/04/2022,2022-04-07
3038,27258,239,6442,876.8,40,6,06/04/2022,2022-04-07
3039,14252,176,3849,1234.9,36,7,06/04/2022,2022-04-07
3040,25939,294,6514,1133.4,46,7,06/04/2022,2022-04-07
3041,12412,146,3171,1176.3,34,7,06/04/2022,2022-04-07
3042,15762,163,4019,1034.1,28,7,06/04/2022,2022-04-07
3043,17715,167,4493,942.7,36,6,06/04/2022,2022-04-07
3044,27116,307,7043,1132.2,59,7,06/04/2022,2022-04-07
3045,100,2,94,2000,0,7,06/04/2022,2022-04-07
3046,34061,357,9690,1048.1,77,7,06/04/2022,2022-04-07
3047,20901,105,6027,502.4,27,6,06/04/2022,2022-04-07
3048,18025,92,4891,510.4,15,6,06/04/2022,2022-04-07
3049,9266,88,2701,949.7,13,6,06/04/2022,2022-04-07
3050,119,0,0,0,0,0,06/04/2022,2022-04-07
3051,14939,160,3673,1071,30,7,06/04/2022,2022-04-07
3052,5697,56,1972,983,4,6,06/04/2022,2022-04-07
3053,18538,180,4552,971,49,6,06/04/2022,2022-04-07
3054,8426,92,2005,1091.9,30,7,06/04/2022,2022-04-07
3055,14160,176,3492,1242.9,36,7,06/04/2022,2022-04-07
3056,24475,349,6562,1425.9,77,7,06/04/2022,2022-04-07
3057,11502,215,3460,1869.2,45,7,06/04/2022,2022-04-07
3058,33783,450,8760,1332,61,7,06/04/2022,2022-04-07
3059,15466,204,5927,1319,35,7,06/04/2022,2022-04-07
3060,14040,79,3697,562.7,17,6,06/04/2022,2022-04-07
3061,5059,21,1467,415.1,3,5,06/04/2022,2022-04-07
3062,0,0,4,0,0,0,06/04/2022,2022-04-07
3063,574,2,108,348.4,0,5,06/04/2022,2022-04-07
3064,75458,729,31485,966.1,134,6,06/04/2022,2022-04-07
3065,10447,114,2921,1091.2,30,7,06/04/2022,2022-04-07
3066,8512,101,2584,1186.6,18,7,06/04/2022,2022-04-07
3067,8199,102,2252,1244.1,26,7,06/04/2022,2022-04-07
3068,18665,262,4787,1403.7,46,7,06/04/2022,2022-04-07
3070,24567,301,6116,1225.2,74,7,06/04/2022,2022-04-07
3071,18569,230,4668,1238.6,40,7,06/04/2022,2022-04-07
3072,32848,350,7893,1065.5,73,7,06/04/2022,2022-04-07
3073,50479,505,11474,1000.4,101,7,06/04/2022,2022-04-07
3074,20522,157,4920,765,36,6,06/04/2022,2022-04-07
3075,22594,185,5831,818.8,40,6,06/04/2022,2022-04-07
3076,32395,317,8754,978.5,56,6,06/04/2022,2022-04-07
3078,11638,159,2711,1366.2,38,7,06/04/2022,2022-04-07
3079,15990,189,3598,1182,29,7,06/04/2022,2022-04-07
3081,13424,163,3269,1214.2,34,7,06/04/2022,2022-04-07
3082,29713,284,6663,955.8,62,6,06/04/2022,2022-04-07
3083,31526,292,6936,926.2,46,6,06/04/2022,2022-04-07
3084,25514,372,5317,1458,74,7,06/04/2022,2022-04-07
3085,13882,209,2745,1505.5,28,7,06/04/2022,2022-04-07
3086,908,0,5,0,0,0,06/04/2022,2022-04-07
3087,9033,83,1859,918.9,16,6,06/04/2022,2022-04-07
3088,26890,341,5666,1268.1,62,7,06/04/2022,2022-04-07
3089,11739,171,2681,1456.7,32,7,06/04/2022,2022-04-07
3090,2362,27,639,1143.1,5,7,06/04/2022,2022-04-07
3091,1585,17,300,1072.6,2,7,06/04/2022,2022-04-07
3093,3891,67,852,1721.9,5,7,06/04/2022,2022-04-07
3094,8963,115,1801,1283.1,23,7,06/04/2022,2022-04-07
3095,27770,332,5636,1195.5,74,7,06/04/2022,2022-04-07
3096,1966,32,381,1627.7,3,7,06/04/2022,2022-04-07
3097,1443,17,255,1178.1,6,7,06/04/2022,2022-04-07
3099,4877,68,876,1394.3,9,7,06/04/2022,2022-04-07
3101,24604,235,4892,955.1,57,6,06/04/2022,2022-04-07
3102,6634,69,1416,1040.1,21,7,06/04/2022,2022-04-07
3103,15343,150,2515,977.6,31,6,06/04/2022,2022-04-07
3104,20404,233,3837,1141.9,50,7,06/04/2022,2022-04-07
3105,10877,119,2450,1094.1,25,7,06/04/2022,2022-04-07
3106,16620,156,3128,938.6,30,6,06/04/2022,2022-04-07
3107,13557,135,2796,995.8,25,6,06/04/2022,2022-04-07
3108,20823,215,4564,1032.5,38,7,06/04/2022,2022-04-07
3109,28357,308,5268,1086.2,73,7,06/04/2022,2022-04-07
3111,12348,135,2357,1093.3,27,7,06/04/2022,2022-04-07
3113,8460,101,1827,1193.9,17,7,06/04/2022,2022-04-07
3114,3823,43,774,1124.8,8,7,06/04/2022,2022-04-07
3115,3799,39,754,1026.6,14,7,06/04/2022,2022-04-07
3116,9872,149,2245,1509.3,27,7,06/04/2022,2022-04-07
3121,30502,327,8406,1072.1,57,7,06/04/2022,2022-04-07
3122,23508,254,4896,1080.5,49,7,06/04/2022,2022-04-07
3123,14319,154,3153,1075.5,23,7,06/04/2022,2022-04-07
3124,22091,217,4383,982.3,38,6,06/04/2022,2022-04-07
3125,15021,159,2813,1058.5,35,7,06/04/2022,2022-04-07
3126,8060,74,1375,918.1,12,6,06/04/2022,2022-04-07
3127,18445,177,3384,959.6,33,6,06/04/2022,2022-04-07
3128,19832,242,3805,1220.3,53,7,06/04/2022,2022-04-07
3129,17374,185,3026,1064.8,31,7,06/04/2022,2022-04-07
3130,32171,408,5735,1268.2,88,7,06/04/2022,2022-04-07
3131,22499,231,3865,1026.7,38,7,06/04/2022,2022-04-07
3132,16148,152,3019,941.3,26,6,06/04/2022,2022-04-07
3133,22119,210,3531,949.4,36,6,06/04/2022,2022-04-07
3134,32782,304,6488,927.3,68,6,06/04/2022,2022-04-07
3135,19954,233,3858,1167.7,47,7,06/04/2022,2022-04-07
3136,44373,550,8391,1239.5,122,7,06/04/2022,2022-04-07
3137,13872,150,2898,1081.3,25,7,06/04/2022,2022-04-07
3138,21964,291,4696,1324.9,49,7,06/04/2022,2022-04-07
3139,13722,155,2433,1129.6,28,7,06/04/2022,2022-04-07
3140,16532,181,3350,1094.8,39,7,06/04/2022,2022-04-07
3141,25149,268,6171,1065.6,46,7,06/04/2022,2022-04-07
3142,12912,117,2437,906.1,17,6,06/04/2022,2022-04-07
3143,9052,96,2028,1060.5,23,7,06/04/2022,2022-04-07
3144,10885,128,2311,1175.9,29,7,06/04/2022,2022-04-07
3145,23294,226,5014,970.2,47,6,06/04/2022,2022-04-07
3146,25256,301,5421,1191.8,58,7,06/04/2022,2022-04-07
3147,14634,190,3045,1298.3,32,7,06/04/2022,2022-04-07
3148,8643,98,1919,1133.9,23,7,06/04/2022,2022-04-07
3149,33612,341,5847,1014.5,66,7,06/04/2022,2022-04-07
3150,60082,539,10380,897.1,104,6,06/04/2022,2022-04-07
3151,10269,97,1677,944.6,23,6,06/04/2022,2022-04-07
3152,33089,357,6181,1078.9,75,7,06/04/2022,2022-04-07
3153,20552,218,4128,1060.7,49,7,06/04/2022,2022-04-07
3154,4418,54,932,1222.3,13,7,06/04/2022,2022-04-07
3155,22193,284,4388,1279.7,68,7,06/04/2022,2022-04-07
3156,37458,372,7548,993.1,57,6,06/04/2022,2022-04-07
3158,6648,98,1353,1474.1,12,7,06/04/2022,2022-04-07
3159,2652,31,447,1168.9,7,7,06/04/2022,2022-04-07
3160,9014,94,1813,1042.8,11,7,06/04/2022,2022-04-07
3161,15271,191,4236,1250.7,31,7,06/04/2022,2022-04-07
3162,17452,231,4465,1323.6,54,7,06/04/2022,2022-04-07
3163,32355,380,6882,1174.5,76,7,06/04/2022,2022-04-07
3164,0,0,0,0,0,0,06/04/2022,2022-04-07
3165,27636,339,6976,1226.7,43,7,06/04/2022,2022-04-07
3166,23759,266,5506,1119.6,45,7,06/04/2022,2022-04-07
3167,9259,89,2092,961.2,27,6,06/04/2022,2022-04-07
3168,20200,160,4868,792.1,21,6,06/04/2022,2022-04-07
3169,20122,174,4445,864.7,32,6,06/04/2022,2022-04-07
3170,19370,190,4130,980.9,29,6,06/04/2022,2022-04-07
3171,21713,161,4792,741.5,50,6,06/04/2022,2022-04-07
3172,23091,198,4990,857.5,32,6,06/04/2022,2022-04-07
3173,25785,277,6907,1074.3,59,7,06/04/2022,2022-04-07
3174,38465,238,9034,618.7,44,6,06/04/2022,2022-04-07
3175,53297,338,12620,634.2,79,6,06/04/2022,2022-04-07
3177,11305,60,2547,530.7,9,6,06/04/2022,2022-04-07
3178,33669,324,6789,962.3,51,6,06/04/2022,2022-04-07
3179,6019,79,1221,1312.5,13,7,06/04/2022,2022-04-07
3180,7462,80,1343,1072.1,14,7,06/04/2022,2022-04-07
3181,20267,192,5590,947.4,37,6,06/04/2022,2022-04-07
3182,23394,259,6232,1107.1,50,7,06/04/2022,2022-04-07
3183,18491,215,5257,1162.7,43,7,06/04/2022,2022-04-07
3184,15547,207,3646,1331.4,47,7,06/04/2022,2022-04-07
3185,12932,144,3263,1113.5,37,7,06/04/2022,2022-04-07
3186,23258,237,4918,1019,44,7,06/04/2022,2022-04-07
3187,15997,191,3801,1194,27,7,06/04/2022,2022-04-07
3188,18082,213,3972,1178,39,7,06/04/2022,2022-04-07
3189,5894,62,1520,1051.9,15,7,06/04/2022,2022-04-07
3190,10457,161,2687,1539.6,31,7,06/04/2022,2022-04-07
3191,10242,144,2283,1406,23,7,06/04/2022,2022-04-07
3192,22292,233,5269,1045.2,48,7,06/04/2022,2022-04-07
3193,19505,216,4040,1107.4,40,7,06/04/2022,2022-04-07
3194,12965,137,2840,1056.7,30,7,06/04/2022,2022-04-07
3195,35867,386,8042,1076.2,80,7,06/04/2022,2022-04-07
3196,25329,220,5405,868.6,46,6,06/04/2022,2022-04-07
3197,11547,134,2323,1160.5,31,7,06/04/2022,2022-04-07
3198,16462,166,3479,1008.4,41,7,06/04/2022,2022-04-07
3199,54299,545,10932,1003.7,107,7,06/04/2022,2022-04-07
3200,5759,65,1151,1128.7,8,7,06/04/2022,2022-04-07
3201,20713,216,4790,1042.8,48,7,06/04/2022,2022-04-07
3202,2907,25,571,860,8,6,06/04/2022,2022-04-07
3204,30642,379,7100,1236.9,64,7,06/04/2022,2022-04-07
3205,10919,128,2696,1172.3,27,7,06/04/2022,2022-04-07
3206,10366,137,2290,1321.6,23,7,06/04/2022,2022-04-07
3207,16180,199,4137,1229.9,33,7,06/04/2022,2022-04-07
3211,1319,8,243,606.5,1,6,06/04/2022,2022-04-07
3212,16650,202,3528,1213.2,38,7,06/04/2022,2022-04-07
3213,4032,0,0,0,0,0,06/04/2022,2022-04-07
3214,23960,247,4312,1030.9,47,7,06/04/2022,2022-04-07
3215,20615,206,4065,999.3,48,6,06/04/2022,2022-04-07
3216,56285,639,11281,1135.3,125,7,06/04/2022,2022-04-07
3217,6607,276,5145,4177.4,36,7,06/04/2022,2022-04-07
3218,13438,143,2917,1064.1,31,7,06/04/2022,2022-04-07
3219,19719,176,3412,892.5,38,6,06/04/2022,2022-04-07
3220,16352,163,3256,996.8,34,6,06/04/2022,2022-04-07
3221,754,12,145,1591.5,2,7,06/04/2022,2022-04-07
3222,14962,177,2881,1183,26,7,06/04/2022,2022-04-07
3223,7401,72,1223,972.8,20,6,06/04/2022,2022-04-07
3224,14187,122,2496,859.9,19,6,06/04/2022,2022-04-07
3225,4058,39,849,961.1,4,6,06/04/2022,2022-04-07
3226,14161,201,3306,1419.4,35,7,06/04/2022,2022-04-07
3227,4821,56,891,1161.6,11,7,06/04/2022,2022-04-07
3228,17939,315,4985,1756,67,7,06/04/2022,2022-04-07
3230,2548,49,571,1923.1,15,7,06/04/2022,2022-04-07
3231,1257,17,311,1352.4,6,7,06/04/2022,2022-04-07
3232,1111,17,312,1530.2,2,7,06/04/2022,2022-04-07
3233,2029,19,260,936.4,6,6,06/04/2022,2022-04-07
3234,179,0,0,0,0,0,06/04/2022,2022-04-07
3235,380,2,78,526.3,0,6,06/04/2022,2022-04-07
3236,230,3,19,1304.3,0,7,06/04/2022,2022-04-07
3237,218,2,23,917.4,0,6,06/04/2022,2022-04-07
3238,219,6,23,2739.7,2,7,06/04/2022,2022-04-07
3239,423,6,57,1418.4,3,7,06/04/2022,2022-04-07
3240,2026,35,387,1727.5,4,7,06/04/2022,2022-04-07
3241,2565,26,398,1013.6,7,7,06/04/2022,2022-04-07
3242,828,2,140,241.5,0,5,06/04/2022,2022-04-07
3243,357,1,48,280.1,1,5,06/04/2022,2022-04-07
3249,3204,21,422,655.4,4,6,06/04/2022,2022-04-07
3250,12250,74,2073,604.1,19,6,06/04/2022,2022-04-07
3251,522,3,68,574.7,2,6,06/04/2022,2022-04-07
3254,307,3,74,977.2,2,6,06/04/2022,2022-04-07
3260,4768,26,572,545.3,5,6,06/04/2022,2022-04-07
3264,2289,29,346,1266.9,6,7,06/04/2022,2022-04-07
3265,2614,26,365,994.6,5,6,06/04/2022,2022-04-07
3266,3071,38,410,1237.4,10,7,06/04/2022,2022-04-07
3267,245,0,29,0,0,0,06/04/2022,2022-04-07
3268,2601,27,360,1038.1,2,7,06/04/2022,2022-04-07
3269,729,5,108,685.9,1,6,06/04/2022,2022-04-07
3270,251,3,40,1195.2,0,7,06/04/2022,2022-04-07
3271,193,0,13,0,0,0,06/04/2022,2022-04-07
3272,1533,6,171,391.4,1,5,06/04/2022,2022-04-07
3273,146,0,13,0,0,0,06/04/2022,2022-04-07
3274,242,1,25,413.2,0,5,06/04/2022,2022-04-07
3275,426,4,84,939,0,6,06/04/2022,2022-04-07
3276,479,2,70,417.5,2,5,06/04/2022,2022-04-07
3277,1922,20,254,1040.6,2,7,06/04/2022,2022-04-07
3278,315,6,62,1904.8,0,7,06/04/2022,2022-04-07
3279,291,1,35,343.6,0,5,06/04/2022,2022-04-07
3280,31568,348,5546,1102.4,41,7,06/04/2022,2022-04-07
3281,1702,20,270,1175.1,6,7,06/04/2022,2022-04-07
3282,2363,32,376,1354.2,7,7,06/04/2022,2022-04-07
3283,1361,1,164,73.5,0,3,06/04/2022,2022-04-07
3284,3437,30,524,872.9,9,6,06/04/2022,2022-04-07
3285,1210,19,148,1570.2,2,7,06/04/2022,2022-04-07
3286,564,2,47,354.6,0,5,06/04/2022,2022-04-07
3287,436,2,50,458.7,0,5,06/04/2022,2022-04-07
