postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,560,12717,1474.5,89,7,01/04/2022,2022-04-02
3001,0,0,0,0,0,0,01/04/2022,2022-04-02
3002,4957,47,991,948.2,6,6,01/04/2022,2022-04-02
3003,5516,94,2259,1704.1,7,7,01/04/2022,2022-04-02
3004,9311,118,2766,1267.3,16,7,01/04/2022,2022-04-02
3005,523,0,0,0,0,0,01/04/2022,2022-04-02
3006,18811,243,5781,1291.8,35,7,01/04/2022,2022-04-02
3008,10438,115,3182,1101.7,20,7,01/04/2022,2022-04-02
3010,1595,2,4,125.4,0,4,01/04/2022,2022-04-02
3011,21464,227,5418,1057.6,35,7,01/04/2022,2022-04-02
3012,26295,302,6580,1148.5,40,7,01/04/2022,2022-04-02
3013,14967,175,3507,1169.2,23,7,01/04/2022,2022-04-02
3015,17472,241,4012,1379.3,42,7,01/04/2022,2022-04-02
3016,15558,159,3092,1022,21,7,01/04/2022,2022-04-02
3018,12685,117,2175,922.3,21,6,01/04/2022,2022-04-02
3019,9199,81,2565,880.5,15,6,01/04/2022,2022-04-02
3020,44784,285,10597,636.4,53,6,01/04/2022,2022-04-02
3021,54190,336,12836,620,49,6,01/04/2022,2022-04-02
3022,3102,27,790,870.4,5,6,01/04/2022,2022-04-02
3023,63974,556,17486,869.1,72,6,01/04/2022,2022-04-02
3024,23852,276,7805,1157.1,41,7,01/04/2022,2022-04-02
3025,12155,107,3211,880.3,14,6,01/04/2022,2022-04-02
3026,72,80,2451,111111.1,14,7,01/04/2022,2022-04-02
3027,6650,98,2131,1473.7,8,7,01/04/2022,2022-04-02
3028,29198,281,5718,962.4,36,6,01/04/2022,2022-04-02
3029,93946,873,30541,929.3,122,6,01/04/2022,2022-04-02
3030,100311,985,24409,981.9,146,6,01/04/2022,2022-04-02
3031,18533,209,4179,1127.7,42,7,01/04/2022,2022-04-02
3032,29449,322,7078,1093.4,56,7,01/04/2022,2022-04-02
3033,14512,146,3362,1006.1,26,7,01/04/2022,2022-04-02
3034,11633,120,2916,1031.5,17,7,01/04/2022,2022-04-02
3036,5921,60,1393,1013.3,6,7,01/04/2022,2022-04-02
3037,51156,482,13372,942.2,54,6,01/04/2022,2022-04-02
3038,27258,254,6233,931.8,34,6,01/04/2022,2022-04-02
3039,14252,173,3699,1213.9,21,7,01/04/2022,2022-04-02
3040,25939,287,6276,1106.4,47,7,01/04/2022,2022-04-02
3041,12412,138,3043,1111.8,18,7,01/04/2022,2022-04-02
3042,15762,163,3883,1034.1,24,7,01/04/2022,2022-04-02
3043,17715,170,4350,959.6,12,6,01/04/2022,2022-04-02
3044,27116,306,6791,1128.5,40,7,01/04/2022,2022-04-02
3045,100,6,92,6000,1,7,01/04/2022,2022-04-02
3046,34061,305,9394,895.5,54,6,01/04/2022,2022-04-02
3047,20901,102,5931,488,12,5,01/04/2022,2022-04-02
3048,18025,85,4814,471.6,17,5,01/04/2022,2022-04-02
3049,9266,81,2623,874.2,10,6,01/04/2022,2022-04-02
3050,119,1,1,840.3,0,6,01/04/2022,2022-04-02
3051,14939,194,3550,1298.6,28,7,01/04/2022,2022-04-02
3052,5697,62,1923,1088.3,7,7,01/04/2022,2022-04-02
3053,18538,229,4421,1235.3,31,7,01/04/2022,2022-04-02
3054,8426,76,1923,902,12,6,01/04/2022,2022-04-02
3055,14160,170,3352,1200.6,31,7,01/04/2022,2022-04-02
3056,24475,324,6269,1323.8,54,7,01/04/2022,2022-04-02
3057,11502,173,3278,1504.1,30,7,01/04/2022,2022-04-02
3058,33783,447,8393,1323.2,72,7,01/04/2022,2022-04-02
3059,15466,173,5757,1118.6,33,7,01/04/2022,2022-04-02
3060,14040,91,3634,648.1,15,6,01/04/2022,2022-04-02
3061,5059,20,1451,395.3,2,5,01/04/2022,2022-04-02
3062,0,0,4,0,0,0,01/04/2022,2022-04-02
3063,574,5,107,871.1,1,6,01/04/2022,2022-04-02
3064,75458,716,30875,948.9,84,6,01/04/2022,2022-04-02
3065,10447,119,2829,1139.1,15,7,01/04/2022,2022-04-02
3066,8512,122,2507,1433.3,24,7,01/04/2022,2022-04-02
3067,8199,103,2162,1256.3,16,7,01/04/2022,2022-04-02
3068,18665,250,4582,1339.4,45,7,01/04/2022,2022-04-02
3070,24567,337,5837,1371.8,38,7,01/04/2022,2022-04-02
3071,18569,218,4477,1174,29,7,01/04/2022,2022-04-02
3072,32848,348,7612,1059.4,48,7,01/04/2022,2022-04-02
3073,50479,494,11030,978.6,55,6,01/04/2022,2022-04-02
3074,20522,157,4800,765,30,6,01/04/2022,2022-04-02
3075,22594,180,5667,796.7,23,6,01/04/2022,2022-04-02
3076,32395,289,8498,892.1,38,6,01/04/2022,2022-04-02
3078,11638,187,2581,1606.8,24,7,01/04/2022,2022-04-02
3079,15990,189,3437,1182,21,7,01/04/2022,2022-04-02
3081,13424,132,3139,983.3,17,6,01/04/2022,2022-04-02
3082,29713,281,6429,945.7,42,6,01/04/2022,2022-04-02
3083,31526,234,6680,742.2,32,6,01/04/2022,2022-04-02
3084,25514,369,5006,1446.3,45,7,01/04/2022,2022-04-02
3085,13882,150,2580,1080.5,35,7,01/04/2022,2022-04-02
3086,908,1,6,110.1,0,4,01/04/2022,2022-04-02
3087,9033,82,1785,907.8,12,6,01/04/2022,2022-04-02
3088,26890,318,5372,1182.6,36,7,01/04/2022,2022-04-02
3089,11739,179,2540,1524.8,33,7,01/04/2022,2022-04-02
3090,2362,35,615,1481.8,4,7,01/04/2022,2022-04-02
3091,1585,15,288,946.4,5,6,01/04/2022,2022-04-02
3093,3891,42,794,1079.4,10,7,01/04/2022,2022-04-02
3094,8963,108,1702,1205,9,7,01/04/2022,2022-04-02
3095,27770,370,5364,1332.4,52,7,01/04/2022,2022-04-02
3096,1966,34,355,1729.4,8,7,01/04/2022,2022-04-02
3097,1443,13,238,900.9,1,6,01/04/2022,2022-04-02
3099,4877,41,822,840.7,10,6,01/04/2022,2022-04-02
3101,24604,248,4689,1008,31,7,01/04/2022,2022-04-02
3102,6634,64,1352,964.7,4,6,01/04/2022,2022-04-02
3103,15343,149,2396,971.1,26,6,01/04/2022,2022-04-02
3104,20404,212,3642,1039,30,7,01/04/2022,2022-04-02
3105,10877,108,2349,992.9,15,6,01/04/2022,2022-04-02
3106,16620,152,3006,914.6,32,6,01/04/2022,2022-04-02
3107,13557,121,2705,892.5,31,6,01/04/2022,2022-04-02
3108,20823,214,4390,1027.7,40,7,01/04/2022,2022-04-02
3109,28357,247,5001,871,37,6,01/04/2022,2022-04-02
3111,12348,103,2238,834.1,16,6,01/04/2022,2022-04-02
3113,8460,112,1740,1323.9,11,7,01/04/2022,2022-04-02
3114,3823,49,737,1281.7,6,7,01/04/2022,2022-04-02
3115,3799,38,718,1000.3,6,7,01/04/2022,2022-04-02
3116,9872,124,2112,1256.1,9,7,01/04/2022,2022-04-02
3121,30502,368,8135,1206.5,49,7,01/04/2022,2022-04-02
3122,23508,268,4682,1140,38,7,01/04/2022,2022-04-02
3123,14319,168,3015,1173.3,17,7,01/04/2022,2022-04-02
3124,22091,216,4201,977.8,28,6,01/04/2022,2022-04-02
3125,15021,142,2695,945.3,32,6,01/04/2022,2022-04-02
3126,8060,73,1320,905.7,15,6,01/04/2022,2022-04-02
