LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,72,1645,561.9,13,6,Alpine,23/03/2022,2022-03-24
Ararat (RC),VIC220,11845,58,1389,489.7,8,5,Ararat,23/03/2022,2022-03-24
Ballarat (C),VIC241,109505,809,17268,738.8,155,6,Ballarat,23/03/2022,2022-03-24
Banyule (C),VIC188,131631,1365,22782,1037,264,7,Banyule,23/03/2022,2022-03-24
Bass Coast (S),VIC173,36320,353,5046,971.9,64,6,Bass Coast,23/03/2022,2022-03-24
Baw Baw (S),VIC194,53396,323,8496,604.9,72,6,Baw Baw,23/03/2022,2022-03-24
Bayside (C),VIC182,106862,938,19145,877.8,200,6,Bayside,23/03/2022,2022-03-24
Benalla (RC),VIC199,14037,111,1708,790.8,15,6,Benalla,23/03/2022,2022-03-24
Boroondara (C),VIC201,183199,1660,28819,906.1,339,6,Boroondara,23/03/2022,2022-03-24
Brimbank (C),VIC189,209523,1022,45185,487.8,182,5,Brimbank,23/03/2022,2022-03-24
Buloke (S),VIC183,6124,22,426,359.2,7,5,Buloke,23/03/2022,2022-03-24
Campaspe (S),VIC239,37622,322,5541,855.9,62,6,Campaspe,23/03/2022,2022-03-24
Cardinia (S),VIC212,112159,951,22547,847.9,179,6,Cardinia,23/03/2022,2022-03-24
Casey (C),VIC213,353872,2576,77246,727.9,482,6,Casey,23/03/2022,2022-03-24
Central Goldfields (S),VIC169,13186,107,1168,811.5,9,6,Central Goldfields,23/03/2022,2022-03-24
Colac-Otway (S),VIC224,21564,215,2921,997,40,6,Colac-Otway,23/03/2022,2022-03-24
Corangamite (S),VIC231,16020,80,1715,499.4,14,5,Corangamite,23/03/2022,2022-03-24
Darebin (C),VIC205,164184,1534,30751,934.3,309,6,Darebin,23/03/2022,2022-03-24
East Gippsland (S),VIC243,47316,210,4317,443.8,52,5,East Gippsland,23/03/2022,2022-03-24
Frankston (C),VIC227,142643,1223,25692,857.4,222,6,Frankston,23/03/2022,2022-03-24
Gannawarra (S),VIC214,10472,39,957,372.4,5,5,Gannawarra,23/03/2022,2022-03-24
Glen Eira (C),VIC177,156511,1834,30442,1171.8,360,7,Glen Eira,23/03/2022,2022-03-24
Glenelg (S),VIC223,19674,137,1870,696.4,29,6,Glenelg,23/03/2022,2022-03-24
Golden Plains (S),VIC230,23722,216,3336,910.5,42,6,Golden Plains,23/03/2022,2022-03-24
Greater Bendigo (C),VIC193,118093,1449,16659,1227,286,7,Greater Bendigo,23/03/2022,2022-03-24
Greater Dandenong (C),VIC247,168201,889,33524,528.5,184,6,Greater Dandenong,23/03/2022,2022-03-24
Greater Geelong (C),VIC215,258934,2463,43694,951.2,447,6,Greater Geelong,23/03/2022,2022-03-24
Greater Shepparton (C),VIC93,66498,422,11784,634.6,75,6,Greater Shepparton,23/03/2022,2022-03-24
Hepburn (S),VIC94,15975,91,1557,569.6,10,6,Hepburn,23/03/2022,2022-03-24
Hindmarsh (S),VIC152,5588,18,491,322.1,2,5,Hindmarsh,23/03/2022,2022-03-24
Hobsons Bay (C),VIC235,97751,782,17383,800,144,6,Hobsons Bay,23/03/2022,2022-03-24
Horsham (RC),VIC153,19921,101,2494,507,13,6,Horsham,23/03/2022,2022-03-24
Hume (C),VIC198,233471,1443,60382,618.1,260,6,Hume,23/03/2022,2022-03-24
Indigo (S),VIC191,16701,115,1750,688.6,19,6,Indigo,23/03/2022,2022-03-24
Interstate,,,33,4228,0,7,0,,23/03/2022,2022-03-24
Kingston (C),VIC226,165782,1481,29889,893.3,308,6,Kingston,23/03/2022,2022-03-24
Knox (C),VIC209,164538,1397,26338,849,244,6,Knox,23/03/2022,2022-03-24
Latrobe (C),VIC219,75561,557,11767,737.2,101,6,Latrobe,23/03/2022,2022-03-24
Loddon (S),VIC185,7504,82,563,1092.8,11,7,Loddon,23/03/2022,2022-03-24
Macedon Ranges (S),VIC228,50231,500,7109,995.4,99,6,Macedon Ranges,23/03/2022,2022-03-24
Manningham (C),VIC195,127573,1016,20688,796.4,203,6,Manningham,23/03/2022,2022-03-24
Mansfield (S),VIC244,9176,115,1190,1253.3,27,7,Mansfield,23/03/2022,2022-03-24
Maribyrnong (C),VIC234,93448,840,19338,898.9,160,6,Maribyrnong,23/03/2022,2022-03-24
Maroondah (C),VIC207,118558,994,18644,838.4,205,6,Maroondah,23/03/2022,2022-03-24
Melbourne (C),VIC132,178955,1665,36245,930.4,328,6,Melbourne,23/03/2022,2022-03-24
Melton (C),VIC237,164895,1221,43695,740.5,242,6,Melton,23/03/2022,2022-03-24
Mildura (RC),VIC222,55777,573,9507,1027.3,97,7,Mildura,23/03/2022,2022-03-24
Mitchell (S),VIC211,46082,474,8209,1028.6,93,7,Mitchell,23/03/2022,2022-03-24
Moira (S),VIC190,29925,182,4470,608.2,37,6,Moira,23/03/2022,2022-03-24
Monash (C),VIC210,202847,1490,31845,734.5,250,6,Monash,23/03/2022,2022-03-24
Moonee Valley (C),VIC121,130294,986,26422,756.8,186,6,Moonee Valley,23/03/2022,2022-03-24
Moorabool (S),VIC236,35049,264,6433,753.2,56,6,Moorabool,23/03/2022,2022-03-24
Moreland (C),VIC131,185767,1649,39143,887.7,323,6,Moreland,23/03/2022,2022-03-24
Mornington Peninsula (S),VIC204,167636,1298,28451,774.3,224,6,Mornington Peninsula,23/03/2022,2022-03-24
Mount Alexander (S),VIC105,19754,117,2050,592.3,14,6,Mount Alexander,23/03/2022,2022-03-24
Moyne (S),VIC229,16953,157,1950,926.1,33,6,Moyne,23/03/2022,2022-03-24
Murrindindi (S),VIC250,14570,118,1650,809.9,17,6,Murrindindi,23/03/2022,2022-03-24
Nillumbik (S),VIC216,65094,591,10709,907.9,117,6,Nillumbik,23/03/2022,2022-03-24
Northern Grampians (S),VIC166,11402,42,1396,368.4,7,5,Northern Grampians,23/03/2022,2022-03-24
Overseas,,,1,81,0,1,0,,23/03/2022,2022-03-24
Overseas Traveller,,,0,621,0,0,0,,23/03/2022,2022-03-24
Port Phillip (C),VIC208,115601,950,22927,821.8,209,6,Port Phillip,23/03/2022,2022-03-24
Pyrenees (S),VIC217,7472,44,797,588.9,11,6,Pyrenees,23/03/2022,2022-03-24
Queenscliffe (B),VIC238,2940,21,476,714.3,4,6,Queenscliffe,23/03/2022,2022-03-24
South Gippsland (S),VIC178,29914,281,3166,939.4,48,6,South Gippsland,23/03/2022,2022-03-24
Southern Grampians (S),VIC233,16100,85,1786,528,12,6,Southern Grampians,23/03/2022,2022-03-24
Stonnington (C),VIC203,117768,1061,21809,900.9,225,6,Stonnington,23/03/2022,2022-03-24
Strathbogie (S),VIC110,10781,75,1207,695.7,11,6,Strathbogie,23/03/2022,2022-03-24
Surf Coast (S),VIC225,33456,395,6248,1180.7,96,7,Surf Coast,23/03/2022,2022-03-24
Swan Hill (RC),VIC180,20649,177,3284,857.2,31,6,Swan Hill,23/03/2022,2022-03-24
Towong (S),VIC187,6040,32,507,529.8,3,6,Towong,23/03/2022,2022-03-24
Unincorporated Vic,,,5,82,0,3,0,,23/03/2022,2022-03-24
Unknown,,,103,5716,0,18,0,,23/03/2022,2022-03-24
Wangaratta (RC),VIC186,29187,241,4064,825.7,41,6,Wangaratta,23/03/2022,2022-03-24
Warrnambool (C),VIC179,35181,298,5042,847,50,6,Warrnambool,23/03/2022,2022-03-24
Wellington (S),VIC218,44380,238,5003,536.3,63,6,Wellington,23/03/2022,2022-03-24
West Wimmera (S),VIC232,3841,8,213,208.3,0,5,West Wimmera,23/03/2022,2022-03-24
Whitehorse (C),VIC196,178739,1423,24766,796.1,267,6,Whitehorse,23/03/2022,2022-03-24
