LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,38,1478,296.6,6,5,Alpine,09/03/2022,2022-03-10
Ararat (RC),VIC220,11845,63,1278,531.9,17,6,Ararat,09/03/2022,2022-03-10
Ballarat (C),VIC241,109505,1031,15351,941.5,197,6,Ballarat,09/03/2022,2022-03-10
Banyule (C),VIC188,131631,968,19985,735.4,207,6,Banyule,09/03/2022,2022-03-10
Bass Coast (S),VIC173,36320,144,4414,396.5,33,5,Bass Coast,09/03/2022,2022-03-10
Baw Baw (S),VIC194,53396,342,7819,640.5,61,6,Baw Baw,09/03/2022,2022-03-10
Bayside (C),VIC182,106862,739,17218,691.5,136,6,Bayside,09/03/2022,2022-03-10
Benalla (RC),VIC199,14037,93,1491,662.5,18,6,Benalla,09/03/2022,2022-03-10
Boroondara (C),VIC201,183199,1397,25189,762.6,292,6,Boroondara,09/03/2022,2022-03-10
Brimbank (C),VIC189,209523,758,43147,361.8,158,5,Brimbank,09/03/2022,2022-03-10
Buloke (S),VIC183,6124,10,396,163.3,2,4,Buloke,09/03/2022,2022-03-10
Campaspe (S),VIC239,37622,349,4819,927.6,61,6,Campaspe,09/03/2022,2022-03-10
Cardinia (S),VIC212,112159,758,20514,675.8,134,6,Cardinia,09/03/2022,2022-03-10
Casey (C),VIC213,353872,2051,72119,579.6,393,6,Casey,09/03/2022,2022-03-10
Central Goldfields (S),VIC169,13186,73,923,553.6,13,6,Central Goldfields,09/03/2022,2022-03-10
Colac-Otway (S),VIC224,21564,104,2554,482.3,21,5,Colac-Otway,09/03/2022,2022-03-10
Corangamite (S),VIC231,16020,62,1534,387,6,5,Corangamite,09/03/2022,2022-03-10
Darebin (C),VIC205,164184,1020,27680,621.3,219,6,Darebin,09/03/2022,2022-03-10
East Gippsland (S),VIC243,47316,76,3953,160.6,10,4,East Gippsland,09/03/2022,2022-03-10
Frankston (C),VIC227,142643,945,23180,662.5,201,6,Frankston,09/03/2022,2022-03-10
Gannawarra (S),VIC214,10472,109,836,1040.9,22,7,Gannawarra,09/03/2022,2022-03-10
Glen Eira (C),VIC177,156511,1160,26880,741.2,214,6,Glen Eira,09/03/2022,2022-03-10
Glenelg (S),VIC223,19674,134,1567,681.1,24,6,Glenelg,09/03/2022,2022-03-10
Golden Plains (S),VIC230,23722,147,2905,619.7,33,6,Golden Plains,09/03/2022,2022-03-10
Greater Bendigo (C),VIC193,118093,923,13854,781.6,176,6,Greater Bendigo,09/03/2022,2022-03-10
Greater Dandenong (C),VIC247,168201,546,31778,324.6,93,5,Greater Dandenong,09/03/2022,2022-03-10
Greater Geelong (C),VIC215,258934,1631,38522,629.9,340,6,Greater Geelong,09/03/2022,2022-03-10
Greater Shepparton (C),VIC93,66498,358,10888,538.4,66,6,Greater Shepparton,09/03/2022,2022-03-10
Hepburn (S),VIC94,15975,77,1360,482,17,5,Hepburn,09/03/2022,2022-03-10
