LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,113,1747,881.8,32,6,Alpine,29/03/2022,2022-03-30
Ararat (RC),VIC220,11845,43,1434,363,9,5,Ararat,29/03/2022,2022-03-30
Ballarat (C),VIC241,109505,919,18110,839.2,185,6,Ballarat,29/03/2022,2022-03-30
Banyule (C),VIC188,131631,1430,24090,1086.4,258,7,Banyule,29/03/2022,2022-03-30
Bass Coast (S),VIC173,36320,330,5359,908.6,62,6,Bass Coast,29/03/2022,2022-03-30
Baw Baw (S),VIC194,53396,413,8876,773.5,91,6,Baw Baw,29/03/2022,2022-03-30
Bayside (C),VIC182,106862,1050,20132,982.6,216,6,Bayside,29/03/2022,2022-03-30
Benalla (RC),VIC199,14037,105,1810,748,33,6,Benalla,29/03/2022,2022-03-30
Boroondara (C),VIC201,183199,1695,30410,925.2,316,6,Boroondara,29/03/2022,2022-03-30
Brimbank (C),VIC189,209523,1233,46376,588.5,272,6,Brimbank,29/03/2022,2022-03-30
Buloke (S),VIC183,6124,54,478,881.8,14,6,Buloke,29/03/2022,2022-03-30
Campaspe (S),VIC239,37622,282,5809,749.6,56,6,Campaspe,29/03/2022,2022-03-30
Cardinia (S),VIC212,112159,966,23487,861.3,196,6,Cardinia,29/03/2022,2022-03-30
Casey (C),VIC213,353872,2998,80132,847.2,566,6,Casey,29/03/2022,2022-03-30
Central Goldfields (S),VIC169,13186,149,1317,1130,33,7,Central Goldfields,29/03/2022,2022-03-30
Colac-Otway (S),VIC224,21564,172,3084,797.6,29,6,Colac-Otway,29/03/2022,2022-03-30
Corangamite (S),VIC231,16020,122,1835,761.5,37,6,Corangamite,29/03/2022,2022-03-30
Darebin (C),VIC205,164184,1590,32227,968.4,292,6,Darebin,29/03/2022,2022-03-30
East Gippsland (S),VIC243,47316,281,4579,593.9,47,6,East Gippsland,29/03/2022,2022-03-30
Frankston (C),VIC227,142643,1305,26949,914.9,241,6,Frankston,29/03/2022,2022-03-30
Gannawarra (S),VIC214,10472,44,1001,420.2,10,5,Gannawarra,29/03/2022,2022-03-30
Glen Eira (C),VIC177,156511,1760,32101,1124.5,326,7,Glen Eira,29/03/2022,2022-03-30
Glenelg (S),VIC223,19674,172,2031,874.3,47,6,Glenelg,29/03/2022,2022-03-30
Golden Plains (S),VIC230,23722,249,3572,1049.7,49,7,Golden Plains,29/03/2022,2022-03-30
Greater Bendigo (C),VIC193,118093,1341,17914,1135.5,224,7,Greater Bendigo,29/03/2022,2022-03-30
Greater Dandenong (C),VIC247,168201,957,34461,569,183,6,Greater Dandenong,29/03/2022,2022-03-30
Greater Geelong (C),VIC215,258934,2623,46227,1013,539,7,Greater Geelong,29/03/2022,2022-03-30
Greater Shepparton (C),VIC93,66498,400,12164,601.5,70,6,Greater Shepparton,29/03/2022,2022-03-30
Hepburn (S),VIC94,15975,146,1706,913.9,29,6,Hepburn,29/03/2022,2022-03-30
Hindmarsh (S),VIC152,5588,17,503,304.2,1,5,Hindmarsh,29/03/2022,2022-03-30
Hobsons Bay (C),VIC235,97751,803,18155,821.5,194,6,Hobsons Bay,29/03/2022,2022-03-30
Horsham (RC),VIC153,19921,88,2580,441.7,13,5,Horsham,29/03/2022,2022-03-30
Hume (C),VIC198,233471,1549,61853,663.5,302,6,Hume,29/03/2022,2022-03-30
Indigo (S),VIC191,16701,144,1884,862.2,31,6,Indigo,29/03/2022,2022-03-30
Interstate,,,123,4350,0,47,0,,29/03/2022,2022-03-30
Kingston (C),VIC226,165782,1654,31460,997.7,297,6,Kingston,29/03/2022,2022-03-30
Knox (C),VIC209,164538,1631,27900,991.3,328,6,Knox,29/03/2022,2022-03-30
Latrobe (C),VIC219,75561,677,12420,896,138,6,Latrobe,29/03/2022,2022-03-30
Loddon (S),VIC185,7504,76,641,1012.8,10,7,Loddon,29/03/2022,2022-03-30
Macedon Ranges (S),VIC228,50231,502,7575,999.4,97,6,Macedon Ranges,29/03/2022,2022-03-30
Manningham (C),VIC195,127573,1020,21693,799.5,202,6,Manningham,29/03/2022,2022-03-30
Mansfield (S),VIC244,9176,227,1422,2473.8,44,7,Mansfield,29/03/2022,2022-03-30
Maribyrnong (C),VIC234,93448,891,20170,953.5,178,6,Maribyrnong,29/03/2022,2022-03-30
Maroondah (C),VIC207,118558,1150,19718,970,230,6,Maroondah,29/03/2022,2022-03-30
Melbourne (C),VIC132,178955,1696,37814,947.7,339,6,Melbourne,29/03/2022,2022-03-30
Melton (C),VIC237,164895,1367,45011,829,268,6,Melton,29/03/2022,2022-03-30
Mildura (RC),VIC222,55777,589,10069,1056,120,7,Mildura,29/03/2022,2022-03-30
Mitchell (S),VIC211,46082,509,8695,1104.6,106,7,Mitchell,29/03/2022,2022-03-30
Moira (S),VIC190,29925,184,4636,614.9,44,6,Moira,29/03/2022,2022-03-30
Monash (C),VIC210,202847,1622,33416,799.6,352,6,Monash,29/03/2022,2022-03-30
Moonee Valley (C),VIC121,130294,1205,27559,924.8,246,6,Moonee Valley,29/03/2022,2022-03-30
Moorabool (S),VIC236,35049,326,6743,930.1,59,6,Moorabool,29/03/2022,2022-03-30
Moreland (C),VIC131,185767,1688,40715,908.7,314,6,Moreland,29/03/2022,2022-03-30
Mornington Peninsula (S),VIC204,167636,1592,30001,949.7,332,6,Mornington Peninsula,29/03/2022,2022-03-30
Mount Alexander (S),VIC105,19754,137,2189,693.5,31,6,Mount Alexander,29/03/2022,2022-03-30
Moyne (S),VIC229,16953,154,2098,908.4,28,6,Moyne,29/03/2022,2022-03-30
Murrindindi (S),VIC250,14570,112,1756,768.7,17,6,Murrindindi,29/03/2022,2022-03-30
Nillumbik (S),VIC216,65094,732,11427,1124.5,159,7,Nillumbik,29/03/2022,2022-03-30
Northern Grampians (S),VIC166,11402,79,1474,692.9,22,6,Northern Grampians,29/03/2022,2022-03-30
Overseas,,,2,82,0,0,0,,29/03/2022,2022-03-30
Overseas Traveller,,,0,621,0,0,0,,29/03/2022,2022-03-30
Port Phillip (C),VIC208,115601,1008,23875,872,210,6,Port Phillip,29/03/2022,2022-03-30
Pyrenees (S),VIC217,7472,60,849,803,8,6,Pyrenees,29/03/2022,2022-03-30
Queenscliffe (B),VIC238,2940,26,500,884.4,5,6,Queenscliffe,29/03/2022,2022-03-30
South Gippsland (S),VIC178,29914,402,3560,1343.9,72,7,South Gippsland,29/03/2022,2022-03-30
Southern Grampians (S),VIC233,16100,157,1939,975.2,41,6,Southern Grampians,29/03/2022,2022-03-30
Stonnington (C),VIC203,117768,1068,22834,906.9,217,6,Stonnington,29/03/2022,2022-03-30
Strathbogie (S),VIC110,10781,105,1314,973.9,21,6,Strathbogie,29/03/2022,2022-03-30
Surf Coast (S),VIC225,33456,468,6716,1398.9,120,7,Surf Coast,29/03/2022,2022-03-30
Swan Hill (RC),VIC180,20649,169,3442,818.4,24,6,Swan Hill,29/03/2022,2022-03-30
Towong (S),VIC187,6040,32,537,529.8,12,6,Towong,29/03/2022,2022-03-30
Unincorporated Vic,,,5,85,0,2,0,,29/03/2022,2022-03-30
Unknown,,,148,5914,0,19,0,,29/03/2022,2022-03-30
Wangaratta (RC),VIC186,29187,254,4304,870.3,61,6,Wangaratta,29/03/2022,2022-03-30
Warrnambool (C),VIC179,35181,326,5362,926.6,62,6,Warrnambool,29/03/2022,2022-03-30
Wellington (S),VIC218,44380,324,5317,730.1,76,6,Wellington,29/03/2022,2022-03-30
West Wimmera (S),VIC232,3841,13,227,338.5,0,5,West Wimmera,29/03/2022,2022-03-30
Whitehorse (C),VIC196,178739,1549,26230,866.6,310,6,Whitehorse,29/03/2022,2022-03-30
Whittlesea (C),VIC197,230238,2063,53495,896,451,6,Whittlesea,29/03/2022,2022-03-30
Wodonga (C),VIC192,42083,294,6549,698.6,64,6,Wodonga,29/03/2022,2022-03-30
Wyndham (C),VIC221,270487,1962,63348,725.4,459,6,Wyndham,29/03/2022,2022-03-30
Yarra (C),VIC202,101495,1060,21989,1044.4,201,7,Yarra,29/03/2022,2022-03-30
Yarra Ranges (S),VIC206,159462,1477,26370,926.2,299,6,Yarra Ranges,29/03/2022,2022-03-30
Yarriambiack (S),VIC200,6639,30,618,451.9,4,5,Yarriambiack,29/03/2022,2022-03-30
