postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,430,10897,1132.2,67,7,10/03/2022,2022-03-11
3001,0,0,0,0,0,0,10/03/2022,2022-03-11
3002,4957,36,836,726.2,6,6,10/03/2022,2022-03-11
3003,5516,77,1935,1395.9,16,7,10/03/2022,2022-03-11
3004,9311,95,2415,1020.3,15,7,10/03/2022,2022-03-11
3005,523,0,0,0,0,0,10/03/2022,2022-03-11
3006,18811,137,4998,728.3,20,6,10/03/2022,2022-03-11
3008,10438,79,2801,756.8,16,6,10/03/2022,2022-03-11
3010,1595,1,3,62.7,0,3,10/03/2022,2022-03-11
3011,21464,143,4757,666.2,18,6,10/03/2022,2022-03-11
3012,26295,202,5616,768.2,47,6,10/03/2022,2022-03-11
3013,14967,162,2882,1082.4,22,7,10/03/2022,2022-03-11
3015,17472,122,3320,698.3,18,6,10/03/2022,2022-03-11
3016,15558,136,2573,874.1,17,6,10/03/2022,2022-03-11
3018,12685,64,1827,504.5,7,6,10/03/2022,2022-03-11
3019,9199,51,2328,554.4,8,6,10/03/2022,2022-03-11
3020,44784,164,9761,366.2,23,5,10/03/2022,2022-03-11
3021,54190,198,11956,365.4,31,5,10/03/2022,2022-03-11
3022,3102,17,722,548,3,6,10/03/2022,2022-03-11
3023,63974,381,15956,595.6,52,6,10/03/2022,2022-03-11
3024,23852,182,7057,763,34,6,10/03/2022,2022-03-11
3025,12155,48,2865,394.9,6,5,10/03/2022,2022-03-11
3026,72,47,2246,65277.8,13,7,10/03/2022,2022-03-11
3027,6650,48,1894,721.8,5,6,10/03/2022,2022-03-11
3028,29198,160,4933,548,29,6,10/03/2022,2022-03-11
3029,93946,596,28021,634.4,103,6,10/03/2022,2022-03-11
3030,100311,741,21632,738.7,99,6,10/03/2022,2022-03-11
3031,18533,124,3607,669.1,21,6,10/03/2022,2022-03-11
3032,29449,216,6115,733.5,36,6,10/03/2022,2022-03-11
3033,14512,104,2957,716.6,27,6,10/03/2022,2022-03-11
3034,11633,89,2587,765.1,11,6,10/03/2022,2022-03-11
3036,5921,35,1233,591.1,4,6,10/03/2022,2022-03-11
3037,51156,328,12075,641.2,40,6,10/03/2022,2022-03-11
3038,27258,172,5586,631,29,6,10/03/2022,2022-03-11
3039,14252,121,3158,849,20,6,10/03/2022,2022-03-11
3040,25939,234,5443,902.1,40,6,10/03/2022,2022-03-11
3041,12412,125,2672,1007.1,17,7,10/03/2022,2022-03-11
3042,15762,104,3413,659.8,19,6,10/03/2022,2022-03-11
3043,17715,138,3887,779,23,6,10/03/2022,2022-03-11
3044,27116,254,5829,936.7,34,6,10/03/2022,2022-03-11
3045,100,0,79,0,0,0,10/03/2022,2022-03-11
3046,34061,191,8517,560.8,22,6,10/03/2022,2022-03-11
3047,20901,84,5607,401.9,14,5,10/03/2022,2022-03-11
3048,18025,59,4582,327.3,13,5,10/03/2022,2022-03-11
3049,9266,89,2388,960.5,17,6,10/03/2022,2022-03-11
3050,119,0,0,0,0,0,10/03/2022,2022-03-11
3051,14939,122,3024,816.7,22,6,10/03/2022,2022-03-11
3052,5697,161,1671,2826,10,7,10/03/2022,2022-03-11
3053,18538,185,3765,998,21,6,10/03/2022,2022-03-11
3054,8426,53,1633,629,10,6,10/03/2022,2022-03-11
3055,14160,142,2789,1002.8,26,7,10/03/2022,2022-03-11
3056,24475,200,5207,817.2,24,6,10/03/2022,2022-03-11
3057,11502,106,2729,921.6,19,6,10/03/2022,2022-03-11
3058,33783,310,7037,917.6,63,6,10/03/2022,2022-03-11
3059,15466,131,5247,847,8,6,10/03/2022,2022-03-11
3060,14040,77,3361,548.4,14,6,10/03/2022,2022-03-11
3061,5059,20,1393,395.3,4,5,10/03/2022,2022-03-11
3062,0,0,4,0,0,0,10/03/2022,2022-03-11
3063,574,1,93,174.2,0,4,10/03/2022,2022-03-11
3064,75458,545,28657,722.3,66,6,10/03/2022,2022-03-11
3065,10447,89,2414,851.9,16,6,10/03/2022,2022-03-11
3066,8512,82,2148,963.3,18,6,10/03/2022,2022-03-11
3067,8199,65,1797,792.8,19,6,10/03/2022,2022-03-11
3068,18665,168,3772,900.1,33,6,10/03/2022,2022-03-11
3070,24567,262,4705,1066.5,40,7,10/03/2022,2022-03-11
3071,18569,184,3695,990.9,28,6,10/03/2022,2022-03-11
3072,32848,293,6487,892,45,6,10/03/2022,2022-03-11
3073,50479,305,9602,604.2,52,6,10/03/2022,2022-03-11
3074,20522,73,4365,355.7,10,5,10/03/2022,2022-03-11
3075,22594,118,5132,522.3,14,6,10/03/2022,2022-03-11
3076,32395,177,7623,546.4,24,6,10/03/2022,2022-03-11
3078,11638,114,2020,979.5,9,6,10/03/2022,2022-03-11
3079,15990,206,2759,1288.3,34,7,10/03/2022,2022-03-11
3081,13424,99,2696,737.5,19,6,10/03/2022,2022-03-11
3082,29713,173,5620,582.2,22,6,10/03/2022,2022-03-11
3083,31526,251,5866,796.2,29,6,10/03/2022,2022-03-11
3084,25514,246,3951,964.2,36,6,10/03/2022,2022-03-11
3085,13882,134,2093,965.3,15,6,10/03/2022,2022-03-11
3086,908,0,3,0,0,0,10/03/2022,2022-03-11
3087,9033,90,1514,996.3,12,6,10/03/2022,2022-03-11
3088,26890,195,4409,725.2,26,6,10/03/2022,2022-03-11
3089,11739,103,2067,877.4,13,6,10/03/2022,2022-03-11
3090,2362,23,504,973.8,4,6,10/03/2022,2022-03-11
3091,1585,10,247,630.9,1,6,10/03/2022,2022-03-11
3093,3891,22,636,565.4,3,6,10/03/2022,2022-03-11
3094,8963,71,1287,792.1,16,6,10/03/2022,2022-03-11
3095,27770,193,4311,695,34,6,10/03/2022,2022-03-11
3096,1966,10,288,508.6,1,6,10/03/2022,2022-03-11
3097,1443,7,198,485.1,3,5,10/03/2022,2022-03-11
3099,4877,16,709,328.1,3,5,10/03/2022,2022-03-11
3101,24604,245,3804,995.8,29,6,10/03/2022,2022-03-11
3102,6634,73,1113,1100.4,3,7,10/03/2022,2022-03-11
3103,15343,110,1925,716.9,15,6,10/03/2022,2022-03-11
3104,20404,179,2933,877.3,22,6,10/03/2022,2022-03-11
3105,10877,120,1995,1103.2,9,7,10/03/2022,2022-03-11
3106,16620,109,2521,655.8,28,6,10/03/2022,2022-03-11
3107,13557,135,2288,995.8,19,6,10/03/2022,2022-03-11
3108,20823,241,3679,1157.4,36,7,10/03/2022,2022-03-11
3109,28357,228,4192,804,31,6,10/03/2022,2022-03-11
3111,12348,88,1886,712.7,10,6,10/03/2022,2022-03-11
3113,8460,68,1396,803.8,13,6,10/03/2022,2022-03-11
3114,3823,43,608,1124.8,6,7,10/03/2022,2022-03-11
3115,3799,29,581,763.4,3,6,10/03/2022,2022-03-11
3116,9872,76,1772,769.9,7,6,10/03/2022,2022-03-11
3121,30502,241,6865,790.1,32,6,10/03/2022,2022-03-11
3122,23508,225,3826,957.1,37,6,10/03/2022,2022-03-11
3123,14319,136,2492,949.8,18,6,10/03/2022,2022-03-11
3124,22091,228,3487,1032.1,45,7,10/03/2022,2022-03-11
3125,15021,147,2263,978.6,22,6,10/03/2022,2022-03-11
3126,8060,68,1064,843.7,9,6,10/03/2022,2022-03-11
3127,18445,189,2547,1024.7,29,7,10/03/2022,2022-03-11
3128,19832,152,2968,766.4,24,6,10/03/2022,2022-03-11
3129,17374,163,2406,938.2,16,6,10/03/2022,2022-03-11
3130,32171,236,4327,733.6,32,6,10/03/2022,2022-03-11
3131,22499,186,2920,826.7,31,6,10/03/2022,2022-03-11
3132,16148,110,2315,681.2,17,6,10/03/2022,2022-03-11
3133,22119,171,2657,773.1,29,6,10/03/2022,2022-03-11
3134,32782,216,5196,658.9,27,6,10/03/2022,2022-03-11
3135,19954,118,2962,591.4,16,6,10/03/2022,2022-03-11
3136,44373,302,6549,680.6,49,6,10/03/2022,2022-03-11
3137,13872,92,2364,663.2,13,6,10/03/2022,2022-03-11
3138,21964,157,3711,714.8,20,6,10/03/2022,2022-03-11
3139,13722,102,1921,743.3,16,6,10/03/2022,2022-03-11
3140,16532,146,2607,883.1,25,6,10/03/2022,2022-03-11
3141,25149,182,5120,723.7,41,6,10/03/2022,2022-03-11
3142,12912,85,1968,658.3,12,6,10/03/2022,2022-03-11
3143,9052,67,1630,740.2,12,6,10/03/2022,2022-03-11
3144,10885,116,1792,1065.7,18,7,10/03/2022,2022-03-11
3145,23294,241,3977,1034.6,37,7,10/03/2022,2022-03-11
3146,25256,289,4183,1144.3,40,7,10/03/2022,2022-03-11
3147,14634,173,2326,1182.2,19,7,10/03/2022,2022-03-11
3148,8643,79,1536,914,7,6,10/03/2022,2022-03-11
3149,33612,278,4560,827.1,44,6,10/03/2022,2022-03-11
3150,60082,519,8257,863.8,74,6,10/03/2022,2022-03-11
3151,10269,73,1341,710.9,11,6,10/03/2022,2022-03-11
3152,33089,316,4782,955,45,6,10/03/2022,2022-03-11
3153,20552,188,3225,914.8,22,6,10/03/2022,2022-03-11
3154,4418,43,717,973.3,2,6,10/03/2022,2022-03-11
