LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,116,2451,905.3,22,6,Alpine,05/05/2022,2022-05-06
Ararat (RC),VIC220,11845,109,1959,920.2,14,6,Ararat,05/05/2022,2022-05-06
Ballarat (C),VIC241,109505,1216,25026,1110.5,217,7,Ballarat,05/05/2022,2022-05-06
Banyule (C),VIC188,131631,1352,32043,1027.1,217,7,Banyule,05/05/2022,2022-05-06
Bass Coast (S),VIC173,36320,411,7267,1131.6,71,7,Bass Coast,05/05/2022,2022-05-06
Baw Baw (S),VIC194,53396,445,11753,833.4,95,6,Baw Baw,05/05/2022,2022-05-06
Bayside (C),VIC182,106862,972,25972,909.6,175,6,Bayside,05/05/2022,2022-05-06
Benalla (RC),VIC199,14037,113,2420,805,21,6,Benalla,05/05/2022,2022-05-06
Boroondara (C),VIC201,183199,1636,40219,893,273,6,Boroondara,05/05/2022,2022-05-06
Brimbank (C),VIC189,209523,1367,55038,652.4,201,6,Brimbank,05/05/2022,2022-05-06
Buloke (S),VIC183,6124,24,694,391.9,7,5,Buloke,05/05/2022,2022-05-06
Campaspe (S),VIC239,37622,245,7202,651.2,43,6,Campaspe,05/05/2022,2022-05-06
Cardinia (S),VIC212,112159,1014,29747,904.1,177,6,Cardinia,05/05/2022,2022-05-06
Casey (C),VIC213,353872,3142,97707,887.9,576,6,Casey,05/05/2022,2022-05-06
Central Goldfields (S),VIC169,13186,130,2069,985.9,26,6,Central Goldfields,05/05/2022,2022-05-06
Colac-Otway (S),VIC224,21564,169,3970,783.7,24,6,Colac-Otway,05/05/2022,2022-05-06
Corangamite (S),VIC231,16020,88,2514,549.3,14,6,Corangamite,05/05/2022,2022-05-06
Darebin (C),VIC205,164184,1530,41468,931.9,270,6,Darebin,05/05/2022,2022-05-06
East Gippsland (S),VIC243,47316,474,7041,1001.8,75,7,East Gippsland,05/05/2022,2022-05-06
Frankston (C),VIC227,142643,1436,34496,1006.7,238,7,Frankston,05/05/2022,2022-05-06
Gannawarra (S),VIC214,10472,53,1331,506.1,14,6,Gannawarra,05/05/2022,2022-05-06
Glen Eira (C),VIC177,156511,1484,41191,948.2,266,6,Glen Eira,05/05/2022,2022-05-06
Glenelg (S),VIC223,19674,129,3079,655.7,18,6,Glenelg,05/05/2022,2022-05-06
Golden Plains (S),VIC230,23722,200,4798,843.1,49,6,Golden Plains,05/05/2022,2022-05-06
Greater Bendigo (C),VIC193,118093,1448,25676,1226.2,257,7,Greater Bendigo,05/05/2022,2022-05-06
Greater Dandenong (C),VIC247,168201,1152,41006,684.9,191,6,Greater Dandenong,05/05/2022,2022-05-06
Greater Geelong (C),VIC215,258934,2470,60901,953.9,420,6,Greater Geelong,05/05/2022,2022-05-06
Greater Shepparton (C),VIC93,66498,673,14946,1012.1,111,7,Greater Shepparton,05/05/2022,2022-05-06
Hepburn (S),VIC94,15975,153,2491,957.7,21,6,Hepburn,05/05/2022,2022-05-06
Hindmarsh (S),VIC152,5588,81,798,1449.5,23,7,Hindmarsh,05/05/2022,2022-05-06
Hobsons Bay (C),VIC235,97751,867,23224,886.9,176,6,Hobsons Bay,05/05/2022,2022-05-06
Horsham (RC),VIC153,19921,187,3839,938.7,34,6,Horsham,05/05/2022,2022-05-06
Hume (C),VIC198,233471,1709,71318,732,305,6,Hume,05/05/2022,2022-05-06
Indigo (S),VIC191,16701,212,2794,1269.4,30,7,Indigo,05/05/2022,2022-05-06
Interstate,,,188,4576,0,48,0,,05/05/2022,2022-05-06
Kingston (C),VIC226,165782,1709,40466,1030.9,279,7,Kingston,05/05/2022,2022-05-06
Knox (C),VIC209,164538,1533,36910,931.7,224,6,Knox,05/05/2022,2022-05-06
Latrobe (C),VIC219,75561,624,16707,825.8,84,6,Latrobe,05/05/2022,2022-05-06
Loddon (S),VIC185,7504,46,931,613,4,6,Loddon,05/05/2022,2022-05-06
Macedon Ranges (S),VIC228,50231,447,10534,889.9,79,6,Macedon Ranges,05/05/2022,2022-05-06
Manningham (C),VIC195,127573,1154,28468,904.6,228,6,Manningham,05/05/2022,2022-05-06
Mansfield (S),VIC244,9176,75,1986,817.3,15,6,Mansfield,05/05/2022,2022-05-06
Maribyrnong (C),VIC234,93448,855,25268,914.9,150,6,Maribyrnong,05/05/2022,2022-05-06
Maroondah (C),VIC207,118558,1219,26483,1028.2,197,7,Maroondah,05/05/2022,2022-05-06
Melbourne (C),VIC132,178955,1598,47660,893,300,6,Melbourne,05/05/2022,2022-05-06
Melton (C),VIC237,164895,1512,53717,916.9,276,6,Melton,05/05/2022,2022-05-06
Mildura (RC),VIC222,55777,450,12957,806.8,80,6,Mildura,05/05/2022,2022-05-06
Mitchell (S),VIC211,46082,407,11158,883.2,84,6,Mitchell,05/05/2022,2022-05-06
Moira (S),VIC190,29925,236,5866,788.6,37,6,Moira,05/05/2022,2022-05-06
Monash (C),VIC210,202847,1912,43906,942.6,324,6,Monash,05/05/2022,2022-05-06
Moonee Valley (C),VIC121,130294,1109,34440,851.2,183,6,Moonee Valley,05/05/2022,2022-05-06
Moorabool (S),VIC236,35049,300,8457,855.9,66,6,Moorabool,05/05/2022,2022-05-06
Moreland (C),VIC131,185767,1697,51338,913.5,299,6,Moreland,05/05/2022,2022-05-06
Mornington Peninsula (S),VIC204,167636,1453,38784,866.8,240,6,Mornington Peninsula,05/05/2022,2022-05-06
Mount Alexander (S),VIC105,19754,245,3287,1240.3,57,7,Mount Alexander,05/05/2022,2022-05-06
Moyne (S),VIC229,16953,95,2792,560.4,13,6,Moyne,05/05/2022,2022-05-06
Murrindindi (S),VIC250,14570,140,2361,960.9,23,6,Murrindindi,05/05/2022,2022-05-06
Nillumbik (S),VIC216,65094,639,15277,981.7,108,6,Nillumbik,05/05/2022,2022-05-06
Northern Grampians (S),VIC166,11402,114,2048,999.8,19,6,Northern Grampians,05/05/2022,2022-05-06
Overseas,,,2,81,0,0,0,,05/05/2022,2022-05-06
Overseas Traveller,,,0,621,0,0,0,,05/05/2022,2022-05-06
Port Phillip (C),VIC208,115601,898,30016,776.8,155,6,Port Phillip,05/05/2022,2022-05-06
Pyrenees (S),VIC217,7472,57,1122,762.8,15,6,Pyrenees,05/05/2022,2022-05-06
Queenscliffe (B),VIC238,2940,19,652,646.3,1,6,Queenscliffe,05/05/2022,2022-05-06
South Gippsland (S),VIC178,29914,243,5103,812.3,49,6,South Gippsland,05/05/2022,2022-05-06
Southern Grampians (S),VIC233,16100,132,2714,819.9,18,6,Southern Grampians,05/05/2022,2022-05-06
Stonnington (C),VIC203,117768,935,28770,793.9,142,6,Stonnington,05/05/2022,2022-05-06
Strathbogie (S),VIC110,10781,67,1717,621.5,19,6,Strathbogie,05/05/2022,2022-05-06
Surf Coast (S),VIC225,33456,300,9037,896.7,66,6,Surf Coast,05/05/2022,2022-05-06
Swan Hill (RC),VIC180,20649,137,4368,663.5,32,6,Swan Hill,05/05/2022,2022-05-06
Towong (S),VIC187,6040,40,790,662.3,7,6,Towong,05/05/2022,2022-05-06
Unincorporated Vic,,,2,110,0,1,0,,05/05/2022,2022-05-06
Unknown,,,196,7186,0,30,0,,05/05/2022,2022-05-06
Wangaratta (RC),VIC186,29187,174,5721,596.2,30,6,Wangaratta,05/05/2022,2022-05-06
Warrnambool (C),VIC179,35181,274,7318,778.8,58,6,Warrnambool,05/05/2022,2022-05-06
Wellington (S),VIC218,44380,454,7997,1023,87,7,Wellington,05/05/2022,2022-05-06
West Wimmera (S),VIC232,3841,37,405,963.3,10,6,West Wimmera,05/05/2022,2022-05-06
Whitehorse (C),VIC196,178739,1793,36168,1003.1,304,7,Whitehorse,05/05/2022,2022-05-06
Whittlesea (C),VIC197,230238,1833,65123,796.1,320,6,Whittlesea,05/05/2022,2022-05-06
Wodonga (C),VIC192,42083,497,9249,1181,89,7,Wodonga,05/05/2022,2022-05-06
Wyndham (C),VIC221,270487,2365,76056,874.3,374,6,Wyndham,05/05/2022,2022-05-06
Yarra (C),VIC202,101495,921,27804,907.4,141,6,Yarra,05/05/2022,2022-05-06
Yarra Ranges (S),VIC206,159462,1387,35368,869.8,267,6,Yarra Ranges,05/05/2022,2022-05-06
Yarriambiack (S),VIC200,6639,38,845,572.4,2,6,Yarriambiack,05/05/2022,2022-05-06
