LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,104,2404,811.6,24,6,Alpine,03/05/2022,2022-05-04
Ararat (RC),VIC220,11845,108,1919,911.8,18,6,Ararat,03/05/2022,2022-05-04
Ballarat (C),VIC241,109505,1195,24590,1091.3,223,7,Ballarat,03/05/2022,2022-05-04
Banyule (C),VIC188,131631,1287,31547,977.7,192,6,Banyule,03/05/2022,2022-05-04
Bass Coast (S),VIC173,36320,369,7116,1016,84,7,Bass Coast,03/05/2022,2022-05-04
Baw Baw (S),VIC194,53396,439,11585,822.2,77,6,Baw Baw,03/05/2022,2022-05-04
Bayside (C),VIC182,106862,921,25635,861.9,175,6,Bayside,03/05/2022,2022-05-04
Benalla (RC),VIC199,14037,120,2378,854.9,16,6,Benalla,03/05/2022,2022-05-04
Boroondara (C),VIC201,183199,1542,39582,841.7,302,6,Boroondara,03/05/2022,2022-05-04
Brimbank (C),VIC189,209523,1404,54584,670.1,268,6,Brimbank,03/05/2022,2022-05-04
Buloke (S),VIC183,6124,22,685,359.2,6,5,Buloke,03/05/2022,2022-05-04
Campaspe (S),VIC239,37622,238,7110,632.6,44,6,Campaspe,03/05/2022,2022-05-04
Cardinia (S),VIC212,112159,975,29382,869.3,180,6,Cardinia,03/05/2022,2022-05-04
Casey (C),VIC213,353872,3010,96571,850.6,563,6,Casey,03/05/2022,2022-05-04
Central Goldfields (S),VIC169,13186,116,2013,879.7,17,6,Central Goldfields,03/05/2022,2022-05-04
Colac-Otway (S),VIC224,21564,170,3917,788.4,35,6,Colac-Otway,03/05/2022,2022-05-04
Corangamite (S),VIC231,16020,85,2484,530.6,17,6,Corangamite,03/05/2022,2022-05-04
Darebin (C),VIC205,164184,1469,40898,894.7,249,6,Darebin,03/05/2022,2022-05-04
East Gippsland (S),VIC243,47316,441,6886,932,109,6,East Gippsland,03/05/2022,2022-05-04
Frankston (C),VIC227,142643,1351,33985,947.1,247,6,Frankston,03/05/2022,2022-05-04
Gannawarra (S),VIC214,10472,55,1305,525.2,2,6,Gannawarra,03/05/2022,2022-05-04
Glen Eira (C),VIC177,156511,1480,40679,945.6,271,6,Glen Eira,03/05/2022,2022-05-04
Glenelg (S),VIC223,19674,113,3024,574.4,27,6,Glenelg,03/05/2022,2022-05-04
Golden Plains (S),VIC230,23722,189,4720,796.7,39,6,Golden Plains,03/05/2022,2022-05-04
Greater Bendigo (C),VIC193,118093,1323,25125,1120.3,240,7,Greater Bendigo,03/05/2022,2022-05-04
Greater Dandenong (C),VIC247,168201,1140,40597,677.8,183,6,Greater Dandenong,03/05/2022,2022-05-04
Greater Geelong (C),VIC215,258934,2399,60012,926.5,482,6,Greater Geelong,03/05/2022,2022-05-04
Greater Shepparton (C),VIC93,66498,615,14685,924.8,116,6,Greater Shepparton,03/05/2022,2022-05-04
Hepburn (S),VIC94,15975,152,2447,951.5,36,6,Hepburn,03/05/2022,2022-05-04
Hindmarsh (S),VIC152,5588,61,760,1091.6,25,7,Hindmarsh,03/05/2022,2022-05-04
Hobsons Bay (C),VIC235,97751,828,22889,847.1,159,6,Hobsons Bay,03/05/2022,2022-05-04
Horsham (RC),VIC153,19921,172,3765,863.4,28,6,Horsham,03/05/2022,2022-05-04
Hume (C),VIC198,233471,1600,70664,685.3,293,6,Hume,03/05/2022,2022-05-04
Indigo (S),VIC191,16701,201,2731,1203.5,46,7,Indigo,03/05/2022,2022-05-04
Interstate,,,103,4483,0,49,0,,03/05/2022,2022-05-04
Kingston (C),VIC226,165782,1652,39854,996.5,286,6,Kingston,03/05/2022,2022-05-04
Knox (C),VIC209,164538,1471,36346,894,312,6,Knox,03/05/2022,2022-05-04
Latrobe (C),VIC219,75561,604,16519,799.4,124,6,Latrobe,03/05/2022,2022-05-04
Loddon (S),VIC185,7504,43,913,573,7,6,Loddon,03/05/2022,2022-05-04
Macedon Ranges (S),VIC228,50231,403,10353,802.3,80,6,Macedon Ranges,03/05/2022,2022-05-04
Manningham (C),VIC195,127573,1138,28027,892,208,6,Manningham,03/05/2022,2022-05-04
Mansfield (S),VIC244,9176,64,1948,697.5,13,6,Mansfield,03/05/2022,2022-05-04
Maribyrnong (C),VIC234,93448,835,24955,893.5,144,6,Maribyrnong,03/05/2022,2022-05-04
Maroondah (C),VIC207,118558,1154,26048,973.4,207,6,Maroondah,03/05/2022,2022-05-04
Melbourne (C),VIC132,178955,1626,47060,908.6,337,6,Melbourne,03/05/2022,2022-05-04
Melton (C),VIC237,164895,1521,53154,922.4,276,6,Melton,03/05/2022,2022-05-04
Mildura (RC),VIC222,55777,433,12808,776.3,83,6,Mildura,03/05/2022,2022-05-04
