LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,123,3937,959.9,15,6,Alpine,29/07/2022,2022-07-30
Ararat (RC),VIC220,11845,141,3281,1190.4,24,7,Ararat,29/07/2022,2022-07-30
Ballarat (C),VIC241,109505,1287,42731,1175.3,164,7,Ballarat,29/07/2022,2022-07-30
Banyule (C),VIC188,131631,1510,49506,1147.1,196,7,Banyule,29/07/2022,2022-07-30
Bass Coast (S),VIC173,36320,257,12180,707.6,47,6,Bass Coast,29/07/2022,2022-07-30
Baw Baw (S),VIC194,53396,592,18834,1108.7,109,7,Baw Baw,29/07/2022,2022-07-30
Bayside (C),VIC182,106862,932,38085,872.2,148,6,Bayside,29/07/2022,2022-07-30
Benalla (RC),VIC199,14037,155,3854,1104.2,15,7,Benalla,29/07/2022,2022-07-30
Boroondara (C),VIC201,183199,1644,62186,897.4,229,6,Boroondara,29/07/2022,2022-07-30
Brimbank (C),VIC189,209523,1490,71559,711.1,230,6,Brimbank,29/07/2022,2022-07-30
Buloke (S),VIC183,6124,53,1301,865.4,2,6,Buloke,29/07/2022,2022-07-30
Campaspe (S),VIC239,37622,379,11243,1007.4,52,7,Campaspe,29/07/2022,2022-07-30
Cardinia (S),VIC212,112159,1247,43615,1111.8,177,7,Cardinia,29/07/2022,2022-07-30
Casey (C),VIC213,353872,3665,137757,1035.7,559,7,Casey,29/07/2022,2022-07-30
Central Goldfields (S),VIC169,13186,120,3594,910.1,14,6,Central Goldfields,29/07/2022,2022-07-30
Colac-Otway (S),VIC224,21564,175,6158,811.5,36,6,Colac-Otway,29/07/2022,2022-07-30
Corangamite (S),VIC231,16020,115,4006,717.9,13,6,Corangamite,29/07/2022,2022-07-30
Darebin (C),VIC205,164184,1726,62204,1051.3,206,7,Darebin,29/07/2022,2022-07-30
East Gippsland (S),VIC243,47316,270,12255,570.6,45,6,East Gippsland,29/07/2022,2022-07-30
Frankston (C),VIC227,142643,1415,51762,992,186,6,Frankston,29/07/2022,2022-07-30
Gannawarra (S),VIC214,10472,75,2456,716.2,11,6,Gannawarra,29/07/2022,2022-07-30
Glen Eira (C),VIC177,156511,1509,59544,964.1,182,6,Glen Eira,29/07/2022,2022-07-30
Glenelg (S),VIC223,19674,150,5301,762.4,19,6,Glenelg,29/07/2022,2022-07-30
Golden Plains (S),VIC230,23722,223,8102,940.1,26,6,Golden Plains,29/07/2022,2022-07-30
Greater Bendigo (C),VIC193,118093,1497,43987,1267.6,194,7,Greater Bendigo,29/07/2022,2022-07-30
Greater Dandenong (C),VIC247,168201,1152,54692,684.9,142,6,Greater Dandenong,29/07/2022,2022-07-30
Greater Geelong (C),VIC215,258934,2809,99646,1084.8,410,7,Greater Geelong,29/07/2022,2022-07-30
Greater Shepparton (C),VIC93,66498,746,23200,1121.8,88,7,Greater Shepparton,29/07/2022,2022-07-30
Hepburn (S),VIC94,15975,137,4399,857.6,17,6,Hepburn,29/07/2022,2022-07-30
Hindmarsh (S),VIC152,5588,51,1531,912.7,5,6,Hindmarsh,29/07/2022,2022-07-30
Hobsons Bay (C),VIC235,97751,964,35024,986.2,140,6,Hobsons Bay,29/07/2022,2022-07-30
Horsham (RC),VIC153,19921,266,6679,1335.3,19,7,Horsham,29/07/2022,2022-07-30
Hume (C),VIC198,233471,2088,92959,894.3,283,6,Hume,29/07/2022,2022-07-30
Indigo (S),VIC191,16701,138,5059,826.3,15,6,Indigo,29/07/2022,2022-07-30
Interstate,,,120,5893,0,15,0,,29/07/2022,2022-07-30
Kingston (C),VIC226,165782,1549,60540,934.4,188,6,Kingston,29/07/2022,2022-07-30
Knox (C),VIC209,164538,1803,59521,1095.8,254,7,Knox,29/07/2022,2022-07-30
Latrobe (C),VIC219,75561,806,25999,1066.7,95,7,Latrobe,29/07/2022,2022-07-30
Loddon (S),VIC185,7504,58,1706,772.9,5,6,Loddon,29/07/2022,2022-07-30
Macedon Ranges (S),VIC228,50231,578,16826,1150.7,77,7,Macedon Ranges,29/07/2022,2022-07-30
Manningham (C),VIC195,127573,1369,44897,1073.1,180,7,Manningham,29/07/2022,2022-07-30
Mansfield (S),VIC244,9176,90,3056,980.8,12,6,Mansfield,29/07/2022,2022-07-30
Maribyrnong (C),VIC234,93448,942,36818,1008,125,7,Maribyrnong,29/07/2022,2022-07-30
Maroondah (C),VIC207,118558,1256,44136,1059.4,155,7,Maroondah,29/07/2022,2022-07-30
Melbourne (C),VIC132,178955,1667,67621,931.5,264,6,Melbourne,29/07/2022,2022-07-30
Melton (C),VIC237,164895,2044,73302,1239.6,292,7,Melton,29/07/2022,2022-07-30
Mildura (RC),VIC222,55777,791,19110,1418.1,85,7,Mildura,29/07/2022,2022-07-30
Mitchell (S),VIC211,46082,609,17244,1321.6,81,7,Mitchell,29/07/2022,2022-07-30
Moira (S),VIC190,29925,212,8853,708.4,15,6,Moira,29/07/2022,2022-07-30
Monash (C),VIC210,202847,2142,69794,1056,271,7,Monash,29/07/2022,2022-07-30
Moonee Valley (C),VIC121,130294,1159,49254,889.5,152,6,Moonee Valley,29/07/2022,2022-07-30
Moorabool (S),VIC236,35049,363,12770,1035.7,43,7,Moorabool,29/07/2022,2022-07-30
Moreland (C),VIC131,185767,1869,73658,1006.1,213,7,Moreland,29/07/2022,2022-07-30
Mornington Peninsula (S),VIC204,167636,1501,57553,895.4,207,6,Mornington Peninsula,29/07/2022,2022-07-30
Mount Alexander (S),VIC105,19754,186,6096,941.6,41,6,Mount Alexander,29/07/2022,2022-07-30
Moyne (S),VIC229,16953,146,4915,861.2,11,6,Moyne,29/07/2022,2022-07-30
Murrindindi (S),VIC250,14570,137,3880,940.3,20,6,Murrindindi,29/07/2022,2022-07-30
Nillumbik (S),VIC216,65094,866,24328,1330.4,89,7,Nillumbik,29/07/2022,2022-07-30
Northern Grampians (S),VIC166,11402,133,3423,1166.5,9,7,Northern Grampians,29/07/2022,2022-07-30
Overseas,,,12,180,0,1,0,,29/07/2022,2022-07-30
Overseas Traveller,,,0,621,0,0,0,,29/07/2022,2022-07-30
Port Phillip (C),VIC208,115601,934,42349,808,104,6,Port Phillip,29/07/2022,2022-07-30
Pyrenees (S),VIC217,7472,95,2044,1271.4,17,7,Pyrenees,29/07/2022,2022-07-30
Queenscliffe (B),VIC238,2940,27,1035,918.4,2,6,Queenscliffe,29/07/2022,2022-07-30
South Gippsland (S),VIC178,29914,326,8699,1089.8,52,7,South Gippsland,29/07/2022,2022-07-30
Southern Grampians (S),VIC233,16100,206,4855,1279.5,22,7,Southern Grampians,29/07/2022,2022-07-30
Stonnington (C),VIC203,117768,978,40477,830.4,116,6,Stonnington,29/07/2022,2022-07-30
Strathbogie (S),VIC110,10781,71,2764,658.6,8,6,Strathbogie,29/07/2022,2022-07-30
Surf Coast (S),VIC225,33456,275,13704,822,45,6,Surf Coast,29/07/2022,2022-07-30
Swan Hill (RC),VIC180,20649,156,6192,755.5,13,6,Swan Hill,29/07/2022,2022-07-30
Towong (S),VIC187,6040,25,1438,413.9,2,5,Towong,29/07/2022,2022-07-30
Unincorporated Vic,,,18,399,0,5,0,,29/07/2022,2022-07-30
Unknown,,,173,5392,0,19,0,,29/07/2022,2022-07-30
Wangaratta (RC),VIC186,29187,311,9386,1065.5,45,7,Wangaratta,29/07/2022,2022-07-30
Warrnambool (C),VIC179,35181,317,11920,901.1,39,6,Warrnambool,29/07/2022,2022-07-30
Wellington (S),VIC218,44380,400,13634,901.3,50,6,Wellington,29/07/2022,2022-07-30
West Wimmera (S),VIC232,3841,38,803,989.3,2,6,West Wimmera,29/07/2022,2022-07-30
Whitehorse (C),VIC196,178739,1926,61142,1077.5,278,7,Whitehorse,29/07/2022,2022-07-30
Whittlesea (C),VIC197,230238,2385,90587,1035.9,330,7,Whittlesea,29/07/2022,2022-07-30
Wodonga (C),VIC192,42083,416,15547,988.5,39,6,Wodonga,29/07/2022,2022-07-30
Wyndham (C),VIC221,270487,3320,109384,1227.4,456,7,Wyndham,29/07/2022,2022-07-30
Yarra (C),VIC202,101495,935,39711,921.2,144,6,Yarra,29/07/2022,2022-07-30
Yarra Ranges (S),VIC206,159462,1636,56149,1025.9,223,7,Yarra Ranges,29/07/2022,2022-07-30
Yarriambiack (S),VIC200,6639,101,1641,1521.3,8,7,Yarriambiack,29/07/2022,2022-07-30
