postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,515,19632,1356,112,7,06/07/2022,2022-07-07
3001,0,0,0,0,0,0,06/07/2022,2022-07-07
3002,4957,58,1786,1170.1,7,7,06/07/2022,2022-07-07
3003,5516,94,3627,1704.1,23,7,06/07/2022,2022-07-07
3004,9311,113,4381,1213.6,24,7,06/07/2022,2022-07-07
3005,523,0,0,0,0,0,06/07/2022,2022-07-07
3006,18811,246,9019,1307.7,64,7,06/07/2022,2022-07-07
3008,10438,143,5093,1370,28,7,06/07/2022,2022-07-07
3010,1595,0,4,0,0,0,06/07/2022,2022-07-07
3011,21464,222,9065,1034.3,47,7,06/07/2022,2022-07-07
3012,26295,206,10627,783.4,40,6,06/07/2022,2022-07-07
3013,14967,161,6137,1075.7,30,7,06/07/2022,2022-07-07
3015,17472,191,6965,1093.2,29,7,06/07/2022,2022-07-07
3016,15558,168,5522,1079.8,36,7,06/07/2022,2022-07-07
3018,12685,113,4125,890.8,30,6,06/07/2022,2022-07-07
3019,9199,44,3434,478.3,7,5,06/07/2022,2022-07-07
3020,44784,220,14959,491.2,50,5,06/07/2022,2022-07-07
3021,54190,209,16646,385.7,38,5,06/07/2022,2022-07-07
3022,3102,15,1161,483.6,4,5,06/07/2022,2022-07-07
3023,63974,314,24344,490.8,61,5,06/07/2022,2022-07-07
3024,23852,229,12101,960.1,50,6,06/07/2022,2022-07-07
3025,12155,94,4787,773.3,16,6,06/07/2022,2022-07-07
3026,72,42,3356,58333.3,15,7,06/07/2022,2022-07-07
3027,6650,59,3245,887.2,11,6,06/07/2022,2022-07-07
3028,29198,229,9268,784.3,39,6,06/07/2022,2022-07-07
3029,93946,786,43677,836.7,152,6,06/07/2022,2022-07-07
3030,100311,891,39909,888.2,164,6,06/07/2022,2022-07-07
3031,18533,173,6996,933.5,29,6,06/07/2022,2022-07-07
3032,29449,291,11347,988.1,55,6,06/07/2022,2022-07-07
3033,14512,116,5168,799.3,19,6,06/07/2022,2022-07-07
3034,11633,84,4365,722.1,13,6,06/07/2022,2022-07-07
3036,5921,27,1986,456,6,5,06/07/2022,2022-07-07
3037,51156,300,19134,586.4,55,6,06/07/2022,2022-07-07
3038,27258,171,9198,627.3,38,6,06/07/2022,2022-07-07
3039,14252,152,6118,1066.5,44,7,06/07/2022,2022-07-07
3040,25939,218,9944,840.4,55,6,06/07/2022,2022-07-07
3041,12412,115,4879,926.5,30,6,06/07/2022,2022-07-07
3042,15762,91,6021,577.3,18,6,06/07/2022,2022-07-07
3043,17715,99,6487,558.8,22,6,06/07/2022,2022-07-07
3044,27116,292,11044,1076.9,56,7,06/07/2022,2022-07-07
3045,100,1,117,1000,0,7,06/07/2022,2022-07-07
3046,34061,253,13574,742.8,47,6,06/07/2022,2022-07-07
3047,20901,52,7297,248.8,9,5,06/07/2022,2022-07-07
3048,18025,46,5983,255.2,19,5,06/07/2022,2022-07-07
3049,9266,65,3781,701.5,15,6,06/07/2022,2022-07-07
3050,119,0,0,0,0,0,06/07/2022,2022-07-07
3051,14939,169,5805,1131.3,32,7,06/07/2022,2022-07-07
3052,5697,66,2899,1158.5,21,7,06/07/2022,2022-07-07
3053,18538,157,6836,846.9,30,6,06/07/2022,2022-07-07
3054,8426,85,3279,1008.8,14,7,06/07/2022,2022-07-07
3055,14160,136,5684,960.5,21,6,06/07/2022,2022-07-07
3056,24475,242,10524,988.8,53,6,06/07/2022,2022-07-07
3057,11502,173,5666,1504.1,31,7,06/07/2022,2022-07-07
3058,33783,331,14144,979.8,54,6,06/07/2022,2022-07-07
3059,15466,120,7940,775.9,29,6,06/07/2022,2022-07-07
3060,14040,72,4828,512.8,25,6,06/07/2022,2022-07-07
3061,5059,21,1774,415.1,1,5,06/07/2022,2022-07-07
3062,0,0,4,0,0,0,06/07/2022,2022-07-07
3063,574,8,177,1393.7,2,7,06/07/2022,2022-07-07
3064,75458,510,41055,675.9,117,6,06/07/2022,2022-07-07
3065,10447,72,4333,689.2,23,6,06/07/2022,2022-07-07
3066,8512,63,3841,740.1,10,6,06/07/2022,2022-07-07
3067,8199,78,3618,951.3,11,6,06/07/2022,2022-07-07
3068,18665,217,7911,1162.6,52,7,06/07/2022,2022-07-07
3070,24567,273,10377,1111.2,63,7,06/07/2022,2022-07-07
3071,18569,194,7758,1044.8,43,7,06/07/2022,2022-07-07
3072,32848,349,12909,1062.5,70,7,06/07/2022,2022-07-07
3073,50479,434,17872,859.8,82,6,06/07/2022,2022-07-07
3074,20522,83,6603,404.4,19,5,06/07/2022,2022-07-07
3075,22594,113,7899,500.1,22,6,06/07/2022,2022-07-07
3076,32395,222,12349,685.3,54,6,06/07/2022,2022-07-07
3078,11638,149,4735,1280.3,34,7,06/07/2022,2022-07-07
3079,15990,141,5963,881.8,29,6,06/07/2022,2022-07-07
3081,13424,117,5006,871.6,11,6,06/07/2022,2022-07-07
3082,29713,208,10036,700,46,6,06/07/2022,2022-07-07
3083,31526,252,10873,799.3,43,6,06/07/2022,2022-07-07
3084,25514,246,9165,964.2,40,6,06/07/2022,2022-07-07
3085,13882,127,4985,914.9,30,6,06/07/2022,2022-07-07
3086,908,0,7,0,0,0,06/07/2022,2022-07-07
3087,9033,67,3126,741.7,11,6,06/07/2022,2022-07-07
3088,26890,278,9846,1033.8,39,7,06/07/2022,2022-07-07
3089,11739,82,4562,698.5,14,6,06/07/2022,2022-07-07
3090,2362,17,976,719.7,4,6,06/07/2022,2022-07-07
3091,1585,1,431,63.1,1,3,06/07/2022,2022-07-07
3093,3891,57,1434,1464.9,4,7,06/07/2022,2022-07-07
3094,8963,80,3202,892.6,13,6,06/07/2022,2022-07-07
3095,27770,301,10101,1083.9,46,7,06/07/2022,2022-07-07
3096,1966,8,632,406.9,0,5,06/07/2022,2022-07-07
3097,1443,13,470,900.9,0,6,06/07/2022,2022-07-07
3099,4877,34,1494,697.1,8,6,06/07/2022,2022-07-07
3101,24604,216,8193,877.9,42,6,06/07/2022,2022-07-07
