LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,83,3995,647.7,9,6,Alpine,02/08/2022,2022-08-03
Ararat (RC),VIC220,11845,116,3357,979.3,26,6,Ararat,02/08/2022,2022-08-03
Ballarat (C),VIC241,109505,1044,43347,953.4,146,6,Ballarat,02/08/2022,2022-08-03
Banyule (C),VIC188,131631,1203,50201,913.9,150,6,Banyule,02/08/2022,2022-08-03
Bass Coast (S),VIC173,36320,266,12342,732.4,41,6,Bass Coast,02/08/2022,2022-08-03
Baw Baw (S),VIC194,53396,530,19150,992.6,78,6,Baw Baw,02/08/2022,2022-08-03
Bayside (C),VIC182,106862,788,38578,737.4,115,6,Bayside,02/08/2022,2022-08-03
Benalla (RC),VIC199,14037,110,3912,783.6,12,6,Benalla,02/08/2022,2022-08-03
Boroondara (C),VIC201,183199,1405,63043,766.9,242,6,Boroondara,02/08/2022,2022-08-03
Brimbank (C),VIC189,209523,1167,72231,557,174,6,Brimbank,02/08/2022,2022-08-03
Buloke (S),VIC183,6124,37,1326,604.2,8,6,Buloke,02/08/2022,2022-08-03
Campaspe (S),VIC239,37622,265,11399,704.4,46,6,Campaspe,02/08/2022,2022-08-03
Cardinia (S),VIC212,112159,1097,44315,978.1,168,6,Cardinia,02/08/2022,2022-08-03
Casey (C),VIC213,353872,3161,139644,893.3,483,6,Casey,02/08/2022,2022-08-03
Central Goldfields (S),VIC169,13186,72,3624,546,7,6,Central Goldfields,02/08/2022,2022-08-03
Colac-Otway (S),VIC224,21564,144,6246,667.8,31,6,Colac-Otway,02/08/2022,2022-08-03
Corangamite (S),VIC231,16020,84,4055,524.3,12,6,Corangamite,02/08/2022,2022-08-03
Darebin (C),VIC205,164184,1378,63032,839.3,232,6,Darebin,02/08/2022,2022-08-03
East Gippsland (S),VIC243,47316,293,12472,619.2,68,6,East Gippsland,02/08/2022,2022-08-03
Frankston (C),VIC227,142643,1207,52472,846.2,181,6,Frankston,02/08/2022,2022-08-03
Gannawarra (S),VIC214,10472,79,2514,754.4,16,6,Gannawarra,02/08/2022,2022-08-03
Glen Eira (C),VIC177,156511,1224,60288,782.1,213,6,Glen Eira,02/08/2022,2022-08-03
Glenelg (S),VIC223,19674,95,5356,482.9,13,5,Glenelg,02/08/2022,2022-08-03
Golden Plains (S),VIC230,23722,233,8250,982.2,49,6,Golden Plains,02/08/2022,2022-08-03
Greater Bendigo (C),VIC193,118093,1258,44767,1065.3,213,7,Greater Bendigo,02/08/2022,2022-08-03
Greater Dandenong (C),VIC247,168201,955,55291,567.8,183,6,Greater Dandenong,02/08/2022,2022-08-03
Greater Geelong (C),VIC215,258934,2523,101232,974.4,494,6,Greater Geelong,02/08/2022,2022-08-03
Greater Shepparton (C),VIC93,66498,626,23581,941.4,115,6,Greater Shepparton,02/08/2022,2022-08-03
Hepburn (S),VIC94,15975,112,4462,701.1,14,6,Hepburn,02/08/2022,2022-08-03
Hindmarsh (S),VIC152,5588,40,1554,715.8,7,6,Hindmarsh,02/08/2022,2022-08-03
Hobsons Bay (C),VIC235,97751,776,35480,793.9,136,6,Hobsons Bay,02/08/2022,2022-08-03
Horsham (RC),VIC153,19921,172,6789,863.4,20,6,Horsham,02/08/2022,2022-08-03
Hume (C),VIC198,233471,1711,94021,732.9,287,6,Hume,02/08/2022,2022-08-03
Indigo (S),VIC191,16701,111,5121,664.6,20,6,Indigo,02/08/2022,2022-08-03
Interstate,,,78,5927,0,13,0,,02/08/2022,2022-08-03
Kingston (C),VIC226,165782,1393,61420,840.3,250,6,Kingston,02/08/2022,2022-08-03
Knox (C),VIC209,164538,1467,60410,891.6,236,6,Knox,02/08/2022,2022-08-03
Latrobe (C),VIC219,75561,719,26437,951.5,122,6,Latrobe,02/08/2022,2022-08-03
Loddon (S),VIC185,7504,47,1737,626.3,10,6,Loddon,02/08/2022,2022-08-03
Macedon Ranges (S),VIC228,50231,519,17161,1033.2,78,7,Macedon Ranges,02/08/2022,2022-08-03
Manningham (C),VIC195,127573,1039,45541,814.4,169,6,Manningham,02/08/2022,2022-08-03
Mansfield (S),VIC244,9176,59,3086,643,8,6,Mansfield,02/08/2022,2022-08-03
Maribyrnong (C),VIC234,93448,770,37290,824,121,6,Maribyrnong,02/08/2022,2022-08-03
Maroondah (C),VIC207,118558,1051,44791,886.5,180,6,Maroondah,02/08/2022,2022-08-03
Melbourne (C),VIC132,178955,1405,68441,785.1,239,6,Melbourne,02/08/2022,2022-08-03
Melton (C),VIC237,164895,1720,74388,1043.1,301,7,Melton,02/08/2022,2022-08-03
Mildura (RC),VIC222,55777,584,19454,1047,107,7,Mildura,02/08/2022,2022-08-03
Mitchell (S),VIC211,46082,514,17560,1115.4,100,7,Mitchell,02/08/2022,2022-08-03
Moira (S),VIC190,29925,160,8953,534.7,27,6,Moira,02/08/2022,2022-08-03
Monash (C),VIC210,202847,1688,70849,832.2,252,6,Monash,02/08/2022,2022-08-03
Moonee Valley (C),VIC121,130294,1007,49884,772.9,160,6,Moonee Valley,02/08/2022,2022-08-03
Moorabool (S),VIC236,35049,318,12967,907.3,43,6,Moorabool,02/08/2022,2022-08-03
Moreland (C),VIC131,185767,1532,74604,824.7,284,6,Moreland,02/08/2022,2022-08-03
Mornington Peninsula (S),VIC204,167636,1238,58305,738.5,185,6,Mornington Peninsula,02/08/2022,2022-08-03
Mount Alexander (S),VIC105,19754,174,6202,880.8,35,6,Mount Alexander,02/08/2022,2022-08-03
Moyne (S),VIC229,16953,105,4980,619.4,18,6,Moyne,02/08/2022,2022-08-03
Murrindindi (S),VIC250,14570,109,3943,748.1,16,6,Murrindindi,02/08/2022,2022-08-03
Nillumbik (S),VIC216,65094,530,24497,814.2,84,6,Nillumbik,02/08/2022,2022-08-03
Northern Grampians (S),VIC166,11402,111,3493,973.5,24,6,Northern Grampians,02/08/2022,2022-08-03
Overseas,,,6,181,0,1,0,,02/08/2022,2022-08-03
Overseas Traveller,,,0,621,0,0,0,,02/08/2022,2022-08-03
Port Phillip (C),VIC208,115601,784,42847,678.2,138,6,Port Phillip,02/08/2022,2022-08-03
Pyrenees (S),VIC217,7472,72,2078,963.6,5,6,Pyrenees,02/08/2022,2022-08-03
Queenscliffe (B),VIC238,2940,24,1051,816.3,5,6,Queenscliffe,02/08/2022,2022-08-03
South Gippsland (S),VIC178,29914,289,8868,966.1,41,6,South Gippsland,02/08/2022,2022-08-03
Southern Grampians (S),VIC233,16100,137,4932,850.9,28,6,Southern Grampians,02/08/2022,2022-08-03
Stonnington (C),VIC203,117768,736,40909,625,107,6,Stonnington,02/08/2022,2022-08-03
