LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,102,2233,796,17,6,Alpine,22/04/2022,2022-04-23
Ararat (RC),VIC220,11845,96,1728,810.5,21,6,Ararat,22/04/2022,2022-04-23
Ballarat (C),VIC241,109505,1126,22632,1028.3,153,7,Ballarat,22/04/2022,2022-04-23
Banyule (C),VIC188,131631,1256,29347,954.2,185,6,Banyule,22/04/2022,2022-04-23
Bass Coast (S),VIC173,36320,310,6541,853.5,46,6,Bass Coast,22/04/2022,2022-04-23
Baw Baw (S),VIC194,53396,427,10828,799.7,50,6,Baw Baw,22/04/2022,2022-04-23
Bayside (C),VIC182,106862,838,24046,784.2,142,6,Bayside,22/04/2022,2022-04-23
Benalla (RC),VIC199,14037,122,2179,869.1,22,6,Benalla,22/04/2022,2022-04-23
Boroondara (C),VIC201,183199,1404,36778,766.4,208,6,Boroondara,22/04/2022,2022-04-23
Brimbank (C),VIC189,209523,1499,52022,715.4,170,6,Brimbank,22/04/2022,2022-04-23
Buloke (S),VIC183,6124,24,643,391.9,3,5,Buloke,22/04/2022,2022-04-23
Campaspe (S),VIC239,37622,236,6709,627.3,35,6,Campaspe,22/04/2022,2022-04-23
Cardinia (S),VIC212,112159,994,27685,886.2,153,6,Cardinia,22/04/2022,2022-04-23
Casey (C),VIC213,353872,2696,91481,761.9,398,6,Casey,22/04/2022,2022-04-23
Central Goldfields (S),VIC169,13186,124,1831,940.4,15,6,Central Goldfields,22/04/2022,2022-04-23
Colac-Otway (S),VIC224,21564,133,3660,616.8,21,6,Colac-Otway,22/04/2022,2022-04-23
Corangamite (S),VIC231,16020,101,2332,630.5,24,6,Corangamite,22/04/2022,2022-04-23
Darebin (C),VIC205,164184,1540,38277,938,222,6,Darebin,22/04/2022,2022-04-23
East Gippsland (S),VIC243,47316,386,6148,815.8,49,6,East Gippsland,22/04/2022,2022-04-23
Frankston (C),VIC227,142643,1161,31744,813.9,183,6,Frankston,22/04/2022,2022-04-23
Gannawarra (S),VIC214,10472,53,1207,506.1,8,6,Gannawarra,22/04/2022,2022-04-23
Glen Eira (C),VIC177,156511,1347,38161,860.6,184,6,Glen Eira,22/04/2022,2022-04-23
Glenelg (S),VIC223,19674,164,2819,833.6,9,6,Glenelg,22/04/2022,2022-04-23
Golden Plains (S),VIC230,23722,190,4390,800.9,27,6,Golden Plains,22/04/2022,2022-04-23
Greater Bendigo (C),VIC193,118093,1093,22879,925.5,170,6,Greater Bendigo,22/04/2022,2022-04-23
Greater Dandenong (C),VIC247,168201,1046,38584,621.9,146,6,Greater Dandenong,22/04/2022,2022-04-23
Greater Geelong (C),VIC215,258934,2306,55802,890.6,365,6,Greater Geelong,22/04/2022,2022-04-23
Greater Shepparton (C),VIC93,66498,397,13706,597,56,6,Greater Shepparton,22/04/2022,2022-04-23
Hepburn (S),VIC94,15975,122,2212,763.7,15,6,Hepburn,22/04/2022,2022-04-23
Hindmarsh (S),VIC152,5588,42,654,751.6,5,6,Hindmarsh,22/04/2022,2022-04-23
Hobsons Bay (C),VIC235,97751,796,21472,814.3,110,6,Hobsons Bay,22/04/2022,2022-04-23
Horsham (RC),VIC153,19921,252,3398,1265,32,7,Horsham,22/04/2022,2022-04-23
Hume (C),VIC198,233471,1450,67961,621.1,227,6,Hume,22/04/2022,2022-04-23
Indigo (S),VIC191,16701,129,2418,772.4,23,6,Indigo,22/04/2022,2022-04-23
Interstate,,,54,4394,0,41,0,,22/04/2022,2022-04-23
Kingston (C),VIC226,165782,1365,37056,823.4,185,6,Kingston,22/04/2022,2022-04-23
Knox (C),VIC209,164538,1373,33796,834.5,182,6,Knox,22/04/2022,2022-04-23
Latrobe (C),VIC219,75561,731,15478,967.4,117,6,Latrobe,22/04/2022,2022-04-23
Loddon (S),VIC185,7504,34,850,453.1,6,5,Loddon,22/04/2022,2022-04-23
Macedon Ranges (S),VIC228,50231,408,9654,812.2,66,6,Macedon Ranges,22/04/2022,2022-04-23
Manningham (C),VIC195,127573,982,26033,769.8,148,6,Manningham,22/04/2022,2022-04-23
Mansfield (S),VIC244,9176,81,1820,882.7,11,6,Mansfield,22/04/2022,2022-04-23
Maribyrnong (C),VIC234,93448,832,23491,890.3,120,6,Maribyrnong,22/04/2022,2022-04-23
