postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,460,21790,1211.2,64,7,31/07/2022,2022-08-01
3001,0,0,0,0,0,0,31/07/2022,2022-08-01
3002,4957,42,2008,847.3,7,6,31/07/2022,2022-08-01
3003,5516,79,3961,1432.2,5,7,31/07/2022,2022-08-01
3004,9311,112,4859,1202.9,18,7,31/07/2022,2022-08-01
3005,523,0,0,0,0,0,31/07/2022,2022-08-01
3006,18811,196,9999,1041.9,26,7,31/07/2022,2022-08-01
3008,10438,153,5753,1465.8,23,7,31/07/2022,2022-08-01
3010,1595,0,4,0,0,0,31/07/2022,2022-08-01
3011,21464,227,10060,1057.6,23,7,31/07/2022,2022-08-01
3012,26295,259,11797,985,37,6,31/07/2022,2022-08-01
3013,14967,207,6914,1383,27,7,31/07/2022,2022-08-01
3015,17472,230,7885,1316.4,22,7,31/07/2022,2022-08-01
3016,15558,142,6201,912.7,18,6,31/07/2022,2022-08-01
3018,12685,103,4643,812,8,6,31/07/2022,2022-08-01
3019,9199,78,3757,847.9,8,6,31/07/2022,2022-08-01
3020,44784,328,16358,732.4,30,6,31/07/2022,2022-08-01
3021,54190,289,17887,533.3,40,6,31/07/2022,2022-08-01
3022,3102,26,1239,838.2,2,6,31/07/2022,2022-08-01
3023,63974,641,26592,1002,98,7,31/07/2022,2022-08-01
3024,23852,410,13593,1718.9,45,7,31/07/2022,2022-08-01
3025,12155,117,5284,962.6,10,6,31/07/2022,2022-08-01
3026,72,61,3676,84722.2,5,7,31/07/2022,2022-08-01
3027,6650,71,3611,1067.7,6,7,31/07/2022,2022-08-01
3028,29198,287,10492,982.9,28,6,31/07/2022,2022-08-01
3029,93946,1263,48529,1344.4,166,7,31/07/2022,2022-08-01
3030,100311,1323,45030,1318.9,162,7,31/07/2022,2022-08-01
3031,18533,179,7791,965.8,37,6,31/07/2022,2022-08-01
3032,29449,277,12614,940.6,41,6,31/07/2022,2022-08-01
3033,14512,117,5763,806.2,13,6,31/07/2022,2022-08-01
3034,11633,92,4835,790.9,8,6,31/07/2022,2022-08-01
3036,5921,41,2162,692.5,11,6,31/07/2022,2022-08-01
3037,51156,410,20957,801.5,42,6,31/07/2022,2022-08-01
3038,27258,174,10106,638.3,17,6,31/07/2022,2022-08-01
3039,14252,154,6788,1080.6,27,7,31/07/2022,2022-08-01
3040,25939,237,10947,913.7,35,6,31/07/2022,2022-08-01
3041,12412,115,5351,926.5,10,6,31/07/2022,2022-08-01
3042,15762,143,6641,907.2,13,6,31/07/2022,2022-08-01
3043,17715,149,7073,841.1,16,6,31/07/2022,2022-08-01
3044,27116,256,12299,944.1,29,6,31/07/2022,2022-08-01
3045,100,0,124,0,0,0,31/07/2022,2022-08-01
3046,34061,325,15001,954.2,42,6,31/07/2022,2022-08-01
3047,20901,110,7771,526.3,17,6,31/07/2022,2022-08-01
3048,18025,77,6280,427.2,10,5,31/07/2022,2022-08-01
3049,9266,104,4133,1122.4,17,7,31/07/2022,2022-08-01
3050,119,0,1,0,0,0,31/07/2022,2022-08-01
3051,14939,172,6538,1151.3,22,7,31/07/2022,2022-08-01
3052,5697,89,3212,1562.2,12,7,31/07/2022,2022-08-01
3053,18538,207,7657,1116.6,25,7,31/07/2022,2022-08-01
