LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,55,4062,429.2,8,5,Alpine,2022-08-09,2022-08-10
Ararat (RC),VIC220,11845,109,3473,920.2,28,6,Ararat,2022-08-09,2022-08-10
Ballarat (C),VIC241,109505,759,44220,693.1,124,6,Ballarat,2022-08-09,2022-08-10
Banyule (C),VIC188,131631,776,51099,589.5,134,6,Banyule,2022-08-09,2022-08-10
Bass Coast (S),VIC173,36320,233,12625,641.5,34,6,Bass Coast,2022-08-09,2022-08-10
Baw Baw (S),VIC194,53396,356,19581,666.7,64,6,Baw Baw,2022-08-09,2022-08-10
Bayside (C),VIC182,106862,516,39207,482.9,87,5,Bayside,2022-08-09,2022-08-10
Benalla (RC),VIC199,14037,74,4001,527.2,7,6,Benalla,2022-08-09,2022-08-10
Boroondara (C),VIC201,183199,887,64111,484.2,136,5,Boroondara,2022-08-09,2022-08-10
Brimbank (C),VIC189,209523,770,73181,367.5,110,5,Brimbank,2022-08-09,2022-08-10
Buloke (S),VIC183,6124,24,1357,391.9,6,5,Buloke,2022-08-09,2022-08-10
Campaspe (S),VIC239,37622,193,11625,513,30,6,Campaspe,2022-08-09,2022-08-10
Cardinia (S),VIC212,112159,719,45193,641.1,110,6,Cardinia,2022-08-09,2022-08-10
Casey (C),VIC213,353872,2004,142097,566.3,307,6,Casey,2022-08-09,2022-08-10
Central Goldfields (S),VIC169,13186,29,3656,219.9,7,5,Central Goldfields,2022-08-09,2022-08-10
Colac-Otway (S),VIC224,21564,107,6376,496.2,15,5,Colac-Otway,2022-08-09,2022-08-10
Corangamite (S),VIC231,16020,86,4158,536.8,17,6,Corangamite,2022-08-09,2022-08-10
Darebin (C),VIC205,164184,885,64086,539,151,6,Darebin,2022-08-09,2022-08-10
East Gippsland (S),VIC243,47316,251,12781,530.5,36,6,East Gippsland,2022-08-09,2022-08-10
Frankston (C),VIC227,142643,870,53515,609.9,138,6,Frankston,2022-08-09,2022-08-10
Gannawarra (S),VIC214,10472,30,2555,286.5,4,5,Gannawarra,2022-08-09,2022-08-10
Glen Eira (C),VIC177,156511,828,61292,529,133,6,Glen Eira,2022-08-09,2022-08-10
Glenelg (S),VIC223,19674,95,5467,482.9,13,5,Glenelg,2022-08-09,2022-08-10
Golden Plains (S),VIC230,23722,156,8437,657.6,30,6,Golden Plains,2022-08-09,2022-08-10
Greater Bendigo (C),VIC193,118093,749,45636,634.2,104,6,Greater Bendigo,2022-08-09,2022-08-10
Greater Dandenong (C),VIC247,168201,735,56198,437,126,5,Greater Dandenong,2022-08-09,2022-08-10
Greater Geelong (C),VIC215,258934,1901,103484,734.2,307,6,Greater Geelong,2022-08-09,2022-08-10
Greater Shepparton (C),VIC93,66498,402,24056,604.5,87,6,Greater Shepparton,2022-08-09,2022-08-10
Hepburn (S),VIC94,15975,73,4549,457,12,5,Hepburn,2022-08-09,2022-08-10
Hindmarsh (S),VIC152,5588,17,1574,304.2,3,5,Hindmarsh,2022-08-09,2022-08-10
Hobsons Bay (C),VIC235,97751,518,36113,529.9,93,6,Hobsons Bay,2022-08-09,2022-08-10
Horsham (RC),VIC153,19921,108,6918,542.1,12,6,Horsham,2022-08-09,2022-08-10
Hume (C),VIC198,233471,1130,95416,484,186,5,Hume,2022-08-09,2022-08-10
Indigo (S),VIC191,16701,99,5237,592.8,24,6,Indigo,2022-08-09,2022-08-10
Interstate,,,57,5973,0,20,0,,2022-08-09,2022-08-10
Kingston (C),VIC226,165782,820,62388,494.6,122,5,Kingston,2022-08-09,2022-08-10
Knox (C),VIC209,164538,1002,61617,609,139,6,Knox,2022-08-09,2022-08-10
Latrobe (C),VIC219,75561,532,27072,704.1,89,6,Latrobe,2022-08-09,2022-08-10
Loddon (S),VIC185,7504,32,1779,426.4,6,5,Loddon,2022-08-09,2022-08-10
Macedon Ranges (S),VIC228,50231,360,17573,716.7,53,6,Macedon Ranges,2022-08-09,2022-08-10
Manningham (C),VIC195,127573,655,46317,513.4,91,6,Manningham,2022-08-09,2022-08-10
Mansfield (S),VIC244,9176,43,3141,468.6,7,5,Mansfield,2022-08-09,2022-08-10
Maribyrnong (C),VIC234,93448,499,37894,534,81,6,Maribyrnong,2022-08-09,2022-08-10
Maroondah (C),VIC207,118558,661,45573,557.5,101,6,Maroondah,2022-08-09,2022-08-10
Melbourne (C),VIC132,178955,852,69484,476.1,131,5,Melbourne,2022-08-09,2022-08-10
Melton (C),VIC237,164895,1085,75736,658,174,6,Melton,2022-08-09,2022-08-10
Mildura (RC),VIC222,55777,409,19929,733.3,68,6,Mildura,2022-08-09,2022-08-10
Mitchell (S),VIC211,46082,397,18015,861.5,63,6,Mitchell,2022-08-09,2022-08-10
Moira (S),VIC190,29925,133,9113,444.4,14,5,Moira,2022-08-09,2022-08-10
Monash (C),VIC210,202847,1113,72233,548.7,168,6,Monash,2022-08-09,2022-08-10
Moonee Valley (C),VIC121,130294,708,50708,543.4,103,6,Moonee Valley,2022-08-09,2022-08-10
Moorabool (S),VIC236,35049,212,13222,604.9,34,6,Moorabool,2022-08-09,2022-08-10
Moreland (C),VIC131,185767,997,75790,536.7,156,6,Moreland,2022-08-09,2022-08-10
Mornington Peninsula (S),VIC204,167636,834,59297,497.5,121,5,Mornington Peninsula,2022-08-09,2022-08-10
Mount Alexander (S),VIC105,19754,123,6347,622.7,23,6,Mount Alexander,2022-08-09,2022-08-10
Moyne (S),VIC229,16953,67,5064,395.2,11,5,Moyne,2022-08-09,2022-08-10
Murrindindi (S),VIC250,14570,51,4007,350,9,5,Murrindindi,2022-08-09,2022-08-10
Nillumbik (S),VIC216,65094,388,24951,596.1,65,6,Nillumbik,2022-08-09,2022-08-10
Northern Grampians (S),VIC166,11402,89,3607,780.6,16,6,Northern Grampians,2022-08-09,2022-08-10
Overseas,,,6,182,0,1,0,,2022-08-09,2022-08-10
Overseas Traveller,,,0,621,0,0,0,,2022-08-09,2022-08-10
Port Phillip (C),VIC208,115601,465,43454,402.2,79,5,Port Phillip,2022-08-09,2022-08-10
Pyrenees (S),VIC217,7472,45,2136,602.2,9,6,Pyrenees,2022-08-09,2022-08-10
Queenscliffe (B),VIC238,2940,13,1069,442.2,1,5,Queenscliffe,2022-08-09,2022-08-10
South Gippsland (S),VIC178,29914,164,9055,548.2,18,6,South Gippsland,2022-08-09,2022-08-10
Southern Grampians (S),VIC233,16100,108,5046,670.8,10,6,Southern Grampians,2022-08-09,2022-08-10
Stonnington (C),VIC203,117768,578,41602,490.8,90,5,Stonnington,2022-08-09,2022-08-10
Strathbogie (S),VIC110,10781,49,2875,454.5,12,5,Strathbogie,2022-08-09,2022-08-10
Surf Coast (S),VIC225,33456,218,14126,651.6,37,6,Surf Coast,2022-08-09,2022-08-10
Swan Hill (RC),VIC180,20649,98,6394,474.6,21,5,Swan Hill,2022-08-09,2022-08-10
Towong (S),VIC187,6040,31,1494,513.2,6,6,Towong,2022-08-09,2022-08-10
Unincorporated Vic,,,8,423,0,2,0,,2022-08-09,2022-08-10
Unknown,,,83,5570,0,12,0,,2022-08-09,2022-08-10
Wangaratta (RC),VIC186,29187,177,9745,606.4,28,6,Wangaratta,2022-08-09,2022-08-10
Warrnambool (C),VIC179,35181,193,12357,548.6,27,6,Warrnambool,2022-08-09,2022-08-10
Wellington (S),VIC218,44380,211,14085,475.4,29,5,Wellington,2022-08-09,2022-08-10
