postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,529,20605,1392.9,94,7,18/07/2022,2022-07-19
3001,0,0,0,0,0,0,18/07/2022,2022-07-19
3002,4957,75,1908,1513,27,7,18/07/2022,2022-07-19
3003,5516,91,3798,1649.7,13,7,18/07/2022,2022-07-19
3004,9311,107,4598,1149.2,16,7,18/07/2022,2022-07-19
3005,523,0,0,0,0,0,18/07/2022,2022-07-19
3006,18811,242,9488,1286.5,49,7,18/07/2022,2022-07-19
3008,10438,183,5404,1753.2,37,7,18/07/2022,2022-07-19
3010,1595,0,4,0,0,0,18/07/2022,2022-07-19
3011,21464,274,9556,1276.6,55,7,18/07/2022,2022-07-19
3012,26295,281,11186,1068.6,44,7,18/07/2022,2022-07-19
3013,14967,192,6477,1282.8,39,7,18/07/2022,2022-07-19
3015,17472,234,7377,1339.3,37,7,18/07/2022,2022-07-19
3016,15558,184,5852,1182.7,28,7,18/07/2022,2022-07-19
3018,12685,140,4398,1103.7,30,7,18/07/2022,2022-07-19
3019,9199,110,3599,1195.8,23,7,18/07/2022,2022-07-19
3020,44784,373,15593,832.9,73,6,18/07/2022,2022-07-19
3021,54190,277,17172,511.2,59,6,18/07/2022,2022-07-19
3022,3102,20,1187,644.7,2,6,18/07/2022,2022-07-19
3023,63974,560,25259,875.4,123,6,18/07/2022,2022-07-19
3024,23852,339,12767,1421.3,81,7,18/07/2022,2022-07-19
3025,12155,153,5044,1258.7,20,7,18/07/2022,2022-07-19
3026,72,81,3516,112500,7,7,18/07/2022,2022-07-19
3027,6650,108,3431,1624.1,27,7,18/07/2022,2022-07-19
3028,29198,311,9806,1065.1,50,7,18/07/2022,2022-07-19
3029,93946,1058,45645,1126.2,189,7,18/07/2022,2022-07-19
3030,100311,1183,42007,1179.3,234,7,18/07/2022,2022-07-19
3031,18533,216,7406,1165.5,35,7,18/07/2022,2022-07-19
3032,29449,313,11970,1062.9,58,7,18/07/2022,2022-07-19
3033,14512,174,5449,1199,45,7,18/07/2022,2022-07-19
3034,11633,124,4605,1065.9,33,7,18/07/2022,2022-07-19
