LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,120,3574,936.5,23,6,Alpine,14/07/2022,2022-07-15
Ararat (RC),VIC220,11845,78,2938,658.5,14,6,Ararat,14/07/2022,2022-07-15
Ballarat (C),VIC241,109505,1210,39173,1105,223,7,Ballarat,14/07/2022,2022-07-15
Banyule (C),VIC188,131631,1292,45779,981.5,229,6,Banyule,14/07/2022,2022-07-15
Bass Coast (S),VIC173,36320,352,11399,969.2,67,6,Bass Coast,14/07/2022,2022-07-15
Baw Baw (S),VIC194,53396,460,17388,861.5,89,6,Baw Baw,14/07/2022,2022-07-15
Bayside (C),VIC182,106862,887,35661,830,175,6,Bayside,14/07/2022,2022-07-15
Benalla (RC),VIC199,14037,88,3507,626.9,17,6,Benalla,14/07/2022,2022-07-15
Boroondara (C),VIC201,183199,1758,57631,959.6,343,6,Boroondara,14/07/2022,2022-07-15
Brimbank (C),VIC189,209523,1249,67490,596.1,217,6,Brimbank,14/07/2022,2022-07-15
Buloke (S),VIC183,6124,51,1188,832.8,10,6,Buloke,14/07/2022,2022-07-15
Campaspe (S),VIC239,37622,313,10337,832,40,6,Campaspe,14/07/2022,2022-07-15
Cardinia (S),VIC212,112159,1099,40473,979.9,192,6,Cardinia,14/07/2022,2022-07-15
Casey (C),VIC213,353872,3191,128554,901.7,543,6,Casey,14/07/2022,2022-07-15
Central Goldfields (S),VIC169,13186,120,3291,910.1,18,6,Central Goldfields,14/07/2022,2022-07-15
Colac-Otway (S),VIC224,21564,194,5679,899.6,37,6,Colac-Otway,14/07/2022,2022-07-15
Corangamite (S),VIC231,16020,103,3720,642.9,21,6,Corangamite,14/07/2022,2022-07-15
Darebin (C),VIC205,164184,1517,57945,924,276,6,Darebin,14/07/2022,2022-07-15
East Gippsland (S),VIC243,47316,311,11440,657.3,55,6,East Gippsland,14/07/2022,2022-07-15
Frankston (C),VIC227,142643,1288,48109,903,217,6,Frankston,14/07/2022,2022-07-15
Gannawarra (S),VIC214,10472,122,2203,1165,15,7,Gannawarra,14/07/2022,2022-07-15
Glen Eira (C),VIC177,156511,1515,55740,968,258,6,Glen Eira,14/07/2022,2022-07-15
Glenelg (S),VIC223,19674,115,4840,584.5,17,6,Glenelg,14/07/2022,2022-07-15
Golden Plains (S),VIC230,23722,221,7550,931.6,36,6,Golden Plains,14/07/2022,2022-07-15
Greater Bendigo (C),VIC193,118093,1355,40076,1147.4,232,7,Greater Bendigo,14/07/2022,2022-07-15
Greater Dandenong (C),VIC247,168201,1170,51588,695.6,221,6,Greater Dandenong,14/07/2022,2022-07-15
Greater Geelong (C),VIC215,258934,2655,92407,1025.4,492,7,Greater Geelong,14/07/2022,2022-07-15
Greater Shepparton (C),VIC93,66498,651,21304,979,108,6,Greater Shepparton,14/07/2022,2022-07-15
Hepburn (S),VIC94,15975,123,4017,770,24,6,Hepburn,14/07/2022,2022-07-15
Hindmarsh (S),VIC152,5588,44,1391,787.4,6,6,Hindmarsh,14/07/2022,2022-07-15
Hobsons Bay (C),VIC235,97751,902,32394,922.8,141,6,Hobsons Bay,14/07/2022,2022-07-15
Horsham (RC),VIC153,19921,229,6059,1149.5,44,7,Horsham,14/07/2022,2022-07-15
Hume (C),VIC198,233471,1553,87620,665.2,283,6,Hume,14/07/2022,2022-07-15
Indigo (S),VIC191,16701,167,4673,999.9,34,6,Indigo,14/07/2022,2022-07-15
Interstate,,,133,5689,0,28,0,,14/07/2022,2022-07-15
Kingston (C),VIC226,165782,1475,56574,889.7,240,6,Kingston,14/07/2022,2022-07-15
Knox (C),VIC209,164538,1847,54761,1122.5,301,7,Knox,14/07/2022,2022-07-15
Latrobe (C),VIC219,75561,703,24215,930.4,128,6,Latrobe,14/07/2022,2022-07-15
Loddon (S),VIC185,7504,43,1529,573,9,6,Loddon,14/07/2022,2022-07-15
Macedon Ranges (S),VIC228,50231,402,15436,800.3,68,6,Macedon Ranges,14/07/2022,2022-07-15
Manningham (C),VIC195,127573,1306,41308,1023.7,241,7,Manningham,14/07/2022,2022-07-15
Mansfield (S),VIC244,9176,73,2850,795.6,12,6,Mansfield,14/07/2022,2022-07-15
Maribyrnong (C),VIC234,93448,899,34341,962,158,6,Maribyrnong,14/07/2022,2022-07-15
Maroondah (C),VIC207,118558,1443,40601,1217.1,245,7,Maroondah,14/07/2022,2022-07-15
Melbourne (C),VIC132,178955,1615,62817,902.5,294,6,Melbourne,14/07/2022,2022-07-15
Melton (C),VIC237,164895,1313,68459,796.3,219,6,Melton,14/07/2022,2022-07-15
Mildura (RC),VIC222,55777,515,17261,923.3,81,6,Mildura,14/07/2022,2022-07-15
Mitchell (S),VIC211,46082,436,15756,946.1,78,6,Mitchell,14/07/2022,2022-07-15
Moira (S),VIC190,29925,234,8205,782,46,6,Moira,14/07/2022,2022-07-15
Monash (C),VIC210,202847,2213,63919,1091,405,7,Monash,14/07/2022,2022-07-15
Moonee Valley (C),VIC121,130294,1089,46121,835.8,171,6,Moonee Valley,14/07/2022,2022-07-15
Moorabool (S),VIC236,35049,300,11879,855.9,56,6,Moorabool,14/07/2022,2022-07-15
Moreland (C),VIC131,185767,1746,68808,939.9,291,6,Moreland,14/07/2022,2022-07-15
Mornington Peninsula (S),VIC204,167636,1546,53745,922.2,282,6,Mornington Peninsula,14/07/2022,2022-07-15
Mount Alexander (S),VIC105,19754,289,5549,1463,41,7,Mount Alexander,14/07/2022,2022-07-15
Moyne (S),VIC229,16953,136,4502,802.2,19,6,Moyne,14/07/2022,2022-07-15
Murrindindi (S),VIC250,14570,121,3546,830.5,27,6,Murrindindi,14/07/2022,2022-07-15
Nillumbik (S),VIC216,65094,600,22406,921.7,109,6,Nillumbik,14/07/2022,2022-07-15
Northern Grampians (S),VIC166,11402,187,3085,1640.1,40,7,Northern Grampians,14/07/2022,2022-07-15
Overseas,,,15,158,0,4,0,,14/07/2022,2022-07-15
Overseas Traveller,,,0,621,0,0,0,,14/07/2022,2022-07-15
Port Phillip (C),VIC208,115601,918,39895,794.1,160,6,Port Phillip,14/07/2022,2022-07-15
Pyrenees (S),VIC217,7472,65,1803,869.9,13,6,Pyrenees,14/07/2022,2022-07-15
Queenscliffe (B),VIC238,2940,35,942,1190.5,4,7,Queenscliffe,14/07/2022,2022-07-15
South Gippsland (S),VIC178,29914,332,7821,1109.8,54,7,South Gippsland,14/07/2022,2022-07-15
Southern Grampians (S),VIC233,16100,119,4342,739.1,22,6,Southern Grampians,14/07/2022,2022-07-15
Stonnington (C),VIC203,117768,849,37944,720.9,139,6,Stonnington,14/07/2022,2022-07-15
Strathbogie (S),VIC110,10781,53,2553,491.6,4,5,Strathbogie,14/07/2022,2022-07-15
Surf Coast (S),VIC225,33456,301,12900,899.7,52,6,Surf Coast,14/07/2022,2022-07-15
Swan Hill (RC),VIC180,20649,140,5741,678,20,6,Swan Hill,14/07/2022,2022-07-15
