LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,156,3829,1217.4,28,7,Alpine,24/07/2022,2022-07-25
Ararat (RC),VIC220,11845,164,3168,1384.6,24,7,Ararat,24/07/2022,2022-07-25
Ballarat (C),VIC241,109505,1543,41620,1409.1,190,7,Ballarat,24/07/2022,2022-07-25
Banyule (C),VIC188,131631,1596,48190,1212.5,228,7,Banyule,24/07/2022,2022-07-25
Bass Coast (S),VIC173,36320,300,11946,826,38,6,Bass Coast,24/07/2022,2022-07-25
Baw Baw (S),VIC194,53396,537,18290,1005.7,73,7,Baw Baw,24/07/2022,2022-07-25
Bayside (C),VIC182,106862,981,37242,918,152,6,Bayside,24/07/2022,2022-07-25
Benalla (RC),VIC199,14037,141,3712,1004.5,23,7,Benalla,24/07/2022,2022-07-25
Boroondara (C),VIC201,183199,1832,60651,1000,238,7,Boroondara,24/07/2022,2022-07-25
Brimbank (C),VIC189,209523,1568,70026,748.4,227,6,Brimbank,24/07/2022,2022-07-25
Buloke (S),VIC183,6124,50,1261,816.5,16,6,Buloke,24/07/2022,2022-07-25
Campaspe (S),VIC239,37622,363,10883,964.9,45,6,Campaspe,24/07/2022,2022-07-25
Cardinia (S),VIC212,112159,1291,42522,1151,203,7,Cardinia,24/07/2022,2022-07-25
Casey (C),VIC213,353872,3784,134538,1069.3,577,7,Casey,24/07/2022,2022-07-25
Central Goldfields (S),VIC169,13186,147,3496,1114.8,19,7,Central Goldfields,24/07/2022,2022-07-25
Colac-Otway (S),VIC224,21564,203,6006,941.4,26,6,Colac-Otway,24/07/2022,2022-07-25
Corangamite (S),VIC231,16020,129,3906,805.2,17,6,Corangamite,24/07/2022,2022-07-25
Darebin (C),VIC205,164184,1681,60591,1023.9,256,7,Darebin,24/07/2022,2022-07-25
East Gippsland (S),VIC243,47316,376,12019,794.7,34,6,East Gippsland,24/07/2022,2022-07-25
Frankston (C),VIC227,142643,1469,50516,1029.8,215,7,Frankston,24/07/2022,2022-07-25
Gannawarra (S),VIC214,10472,115,2387,1098.2,16,7,Gannawarra,24/07/2022,2022-07-25
Glen Eira (C),VIC177,156511,1479,58182,945,233,6,Glen Eira,24/07/2022,2022-07-25
Glenelg (S),VIC223,19674,217,5177,1103,22,7,Glenelg,24/07/2022,2022-07-25
Golden Plains (S),VIC230,23722,191,7895,805.2,28,6,Golden Plains,24/07/2022,2022-07-25
Greater Bendigo (C),VIC193,118093,1697,42707,1437,221,7,Greater Bendigo,24/07/2022,2022-07-25
Greater Dandenong (C),VIC247,168201,1310,53677,778.8,207,6,Greater Dandenong,24/07/2022,2022-07-25
Greater Geelong (C),VIC215,258934,2978,97122,1150.1,405,7,Greater Geelong,24/07/2022,2022-07-25
Greater Shepparton (C),VIC93,66498,763,22510,1147.4,116,7,Greater Shepparton,24/07/2022,2022-07-25
Hepburn (S),VIC94,15975,169,4276,1057.9,16,7,Hepburn,24/07/2022,2022-07-25
Hindmarsh (S),VIC152,5588,56,1490,1002.1,5,7,Hindmarsh,24/07/2022,2022-07-25
Hobsons Bay (C),VIC235,97751,1024,34079,1047.6,148,7,Hobsons Bay,24/07/2022,2022-07-25
Horsham (RC),VIC153,19921,246,6458,1234.9,32,7,Horsham,24/07/2022,2022-07-25
Hume (C),VIC198,233471,2139,90995,916.2,335,6,Hume,24/07/2022,2022-07-25
Indigo (S),VIC191,16701,148,4906,886.2,25,6,Indigo,24/07/2022,2022-07-25
Interstate,,,144,5834,0,23,0,,24/07/2022,2022-07-25
Kingston (C),VIC226,165782,1623,59155,979,229,6,Kingston,24/07/2022,2022-07-25
Knox (C),VIC209,164538,2025,57944,1230.7,263,7,Knox,24/07/2022,2022-07-25
Latrobe (C),VIC219,75561,683,25263,903.9,95,6,Latrobe,24/07/2022,2022-07-25
Loddon (S),VIC185,7504,92,1657,1226,6,7,Loddon,24/07/2022,2022-07-25
Macedon Ranges (S),VIC228,50231,582,16310,1158.6,105,7,Macedon Ranges,24/07/2022,2022-07-25
Manningham (C),VIC195,127573,1481,43650,1160.9,227,7,Manningham,24/07/2022,2022-07-25
Mansfield (S),VIC244,9176,68,2964,741.1,8,6,Mansfield,24/07/2022,2022-07-25
Maribyrnong (C),VIC234,93448,963,35915,1030.5,151,7,Maribyrnong,24/07/2022,2022-07-25
Maroondah (C),VIC207,118558,1540,43024,1298.9,209,7,Maroondah,24/07/2022,2022-07-25
Melbourne (C),VIC132,178955,1844,65716,1030.4,237,7,Melbourne,24/07/2022,2022-07-25
Melton (C),VIC237,164895,1903,71470,1154.1,367,7,Melton,24/07/2022,2022-07-25
Mildura (RC),VIC222,55777,822,18463,1473.7,146,7,Mildura,24/07/2022,2022-07-25
Mitchell (S),VIC211,46082,658,16727,1427.9,100,7,Mitchell,24/07/2022,2022-07-25
Moira (S),VIC190,29925,298,8656,995.8,32,6,Moira,24/07/2022,2022-07-25
Monash (C),VIC210,202847,2475,67897,1220.1,339,7,Monash,24/07/2022,2022-07-25
Moonee Valley (C),VIC121,130294,1334,48212,1023.8,176,7,Moonee Valley,24/07/2022,2022-07-25
Moorabool (S),VIC236,35049,369,12443,1052.8,56,7,Moorabool,24/07/2022,2022-07-25
Moreland (C),VIC131,185767,2020,71960,1087.4,295,7,Moreland,24/07/2022,2022-07-25
Mornington Peninsula (S),VIC204,167636,1529,56241,912.1,216,6,Mornington Peninsula,24/07/2022,2022-07-25
Mount Alexander (S),VIC105,19754,247,5927,1250.4,28,7,Mount Alexander,24/07/2022,2022-07-25
Moyne (S),VIC229,16953,182,4789,1073.6,25,7,Moyne,24/07/2022,2022-07-25
Murrindindi (S),VIC250,14570,132,3754,906,14,6,Murrindindi,24/07/2022,2022-07-25
Nillumbik (S),VIC216,65094,775,23568,1190.6,131,7,Nillumbik,24/07/2022,2022-07-25
Northern Grampians (S),VIC166,11402,124,3301,1087.5,12,7,Northern Grampians,24/07/2022,2022-07-25
Overseas,,,15,175,0,4,0,,24/07/2022,2022-07-25
Overseas Traveller,,,0,621,0,0,0,,24/07/2022,2022-07-25
Port Phillip (C),VIC208,115601,983,41437,850.3,133,6,Port Phillip,24/07/2022,2022-07-25
Pyrenees (S),VIC217,7472,119,1969,1592.6,27,7,Pyrenees,24/07/2022,2022-07-25
Queenscliffe (B),VIC238,2940,34,1013,1156.5,7,7,Queenscliffe,24/07/2022,2022-07-25
South Gippsland (S),VIC178,29914,370,8412,1236.9,44,7,South Gippsland,24/07/2022,2022-07-25
Southern Grampians (S),VIC233,16100,237,4698,1472,35,7,Southern Grampians,24/07/2022,2022-07-25
Stonnington (C),VIC203,117768,978,39533,830.4,144,6,Stonnington,24/07/2022,2022-07-25
Strathbogie (S),VIC110,10781,96,2701,890.5,18,6,Strathbogie,24/07/2022,2022-07-25
Surf Coast (S),VIC225,33456,321,13437,959.5,40,6,Surf Coast,24/07/2022,2022-07-25
Swan Hill (RC),VIC180,20649,183,6029,886.2,14,6,Swan Hill,24/07/2022,2022-07-25
Towong (S),VIC187,6040,45,1404,745,5,6,Towong,24/07/2022,2022-07-25
Unincorporated Vic,,,23,381,0,1,0,,24/07/2022,2022-07-25
Unknown,,,284,9136,0,32,0,,24/07/2022,2022-07-25
Wangaratta (RC),VIC186,29187,296,9106,1014.2,45,7,Wangaratta,24/07/2022,2022-07-25
Warrnambool (C),VIC179,35181,363,11642,1031.8,54,7,Warrnambool,24/07/2022,2022-07-25
Wellington (S),VIC218,44380,419,13255,944.1,50,6,Wellington,24/07/2022,2022-07-25
West Wimmera (S),VIC232,3841,35,775,911.2,10,6,West Wimmera,24/07/2022,2022-07-25
Whitehorse (C),VIC196,178739,2268,59430,1268.9,301,7,Whitehorse,24/07/2022,2022-07-25
Whittlesea (C),VIC197,230238,2595,88461,1127.1,376,7,Whittlesea,24/07/2022,2022-07-25
Wodonga (C),VIC192,42083,560,15187,1330.7,71,7,Wodonga,24/07/2022,2022-07-25
Wyndham (C),VIC221,270487,3330,106360,1231.1,522,7,Wyndham,24/07/2022,2022-07-25
Yarra (C),VIC202,101495,857,38783,844.4,133,6,Yarra,24/07/2022,2022-07-25
Yarra Ranges (S),VIC206,159462,1805,54720,1131.9,247,7,Yarra Ranges,24/07/2022,2022-07-25
Yarriambiack (S),VIC200,6639,109,1558,1641.8,20,7,Yarriambiack,24/07/2022,2022-07-25
