LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,50,3371,390.2,6,5,Alpine,01/07/2022,2022-07-02
Ararat (RC),VIC220,11845,49,2780,413.7,8,5,Ararat,01/07/2022,2022-07-02
Ballarat (C),VIC241,109505,888,36931,810.9,125,6,Ballarat,01/07/2022,2022-07-02
Banyule (C),VIC188,131631,975,43193,740.7,128,6,Banyule,01/07/2022,2022-07-02
Bass Coast (S),VIC173,36320,234,10660,644.3,29,6,Bass Coast,01/07/2022,2022-07-02
Baw Baw (S),VIC194,53396,373,16443,698.6,55,6,Baw Baw,01/07/2022,2022-07-02
Bayside (C),VIC182,106862,713,33780,667.2,91,6,Bayside,01/07/2022,2022-07-02
Benalla (RC),VIC199,14037,51,3323,363.3,8,5,Benalla,01/07/2022,2022-07-02
Boroondara (C),VIC201,183199,1259,54060,687.2,176,6,Boroondara,01/07/2022,2022-07-02
Brimbank (C),VIC189,209523,807,65053,385.2,114,5,Brimbank,01/07/2022,2022-07-02
Buloke (S),VIC183,6124,36,1075,587.9,3,6,Buloke,01/07/2022,2022-07-02
Campaspe (S),VIC239,37622,278,9767,738.9,31,6,Campaspe,01/07/2022,2022-07-02
Cardinia (S),VIC212,112159,777,38281,692.8,92,6,Cardinia,01/07/2022,2022-07-02
Casey (C),VIC213,353872,2117,122295,598.2,314,6,Casey,01/07/2022,2022-07-02
Central Goldfields (S),VIC169,13186,75,3068,568.8,9,6,Central Goldfields,01/07/2022,2022-07-02
Colac-Otway (S),VIC224,21564,122,5272,565.8,18,6,Colac-Otway,01/07/2022,2022-07-02
Corangamite (S),VIC231,16020,94,3497,586.8,11,6,Corangamite,01/07/2022,2022-07-02
Darebin (C),VIC205,164184,1246,54700,758.9,169,6,Darebin,01/07/2022,2022-07-02
East Gippsland (S),VIC243,47316,315,10750,665.7,55,6,East Gippsland,01/07/2022,2022-07-02
Frankston (C),VIC227,142643,1033,45522,724.2,128,6,Frankston,01/07/2022,2022-07-02
Gannawarra (S),VIC214,10472,31,2000,296,3,5,Gannawarra,01/07/2022,2022-07-02
Glen Eira (C),VIC177,156511,1040,52639,664.5,147,6,Glen Eira,01/07/2022,2022-07-02
Glenelg (S),VIC223,19674,88,4604,447.3,9,5,Glenelg,01/07/2022,2022-07-02
Golden Plains (S),VIC230,23722,186,7104,784.1,26,6,Golden Plains,01/07/2022,2022-07-02
Greater Bendigo (C),VIC193,118093,1160,37232,982.3,162,6,Greater Bendigo,01/07/2022,2022-07-02
Greater Dandenong (C),VIC247,168201,749,49388,445.3,141,5,Greater Dandenong,01/07/2022,2022-07-02
Greater Geelong (C),VIC215,258934,2356,86757,909.9,314,6,Greater Geelong,01/07/2022,2022-07-02
Greater Shepparton (C),VIC93,66498,433,20008,651.1,57,6,Greater Shepparton,01/07/2022,2022-07-02
Hepburn (S),VIC94,15975,109,3781,682.3,13,6,Hepburn,01/07/2022,2022-07-02
Hindmarsh (S),VIC152,5588,23,1315,411.6,5,5,Hindmarsh,01/07/2022,2022-07-02
