LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Surf Coast (S),VIC225,33456,92,14489,275,6,5,Surf Coast,2022-08-27,2022-08-28
Swan Hill (RC),VIC180,20649,46,6573,222.8,10,5,Swan Hill,2022-08-27,2022-08-28
Towong (S),VIC187,6040,14,1549,231.8,2,5,Towong,2022-08-27,2022-08-28
Unincorporated Vic,,,4,441,0,2,0,,2022-08-27,2022-08-28
Unknown,,,54,5771,0,2,0,,2022-08-27,2022-08-28
Wangaratta (RC),VIC186,29187,101,10100,346,11,5,Wangaratta,2022-08-27,2022-08-28
Warrnambool (C),VIC179,35181,140,12773,397.9,19,5,Warrnambool,2022-08-27,2022-08-28
Wellington (S),VIC218,44380,121,14511,272.6,16,5,Wellington,2022-08-27,2022-08-28
West Wimmera (S),VIC232,3841,12,884,312.4,0,5,West Wimmera,2022-08-27,2022-08-28
Whitehorse (C),VIC196,178739,352,65021,196.9,45,4,Whitehorse,2022-08-27,2022-08-28
Whittlesea (C),VIC197,230238,600,95331,260.6,80,5,Whittlesea,2022-08-27,2022-08-28
Wodonga (C),VIC192,42083,148,16685,351.7,9,5,Wodonga,2022-08-27,2022-08-28
Wyndham (C),VIC221,270487,814,116819,300.9,94,5,Wyndham,2022-08-27,2022-08-28
Yarra (C),VIC202,101495,180,41494,177.3,16,4,Yarra,2022-08-27,2022-08-28
Yarra Ranges (S),VIC206,159462,459,59483,287.8,53,5,Yarra Ranges,2022-08-27,2022-08-28
Yarriambiack (S),VIC200,6639,14,1771,210.9,4,5,Yarriambiack,2022-08-27,2022-08-28
