LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Alpine (S),VIC242,12814,22,4298,171.7,4,4,Alpine,2022-10-06,2022-10-07,27
Ararat (RC),VIC220,11845,2,3765,16.9,0,1,Ararat,2022-10-06,2022-10-07,4
Ballarat (C),VIC241,109505,155,47364,141.5,14,4,Ballarat,2022-10-06,2022-10-07,187
Banyule (C),VIC188,131631,176,53648,133.7,23,4,Banyule,2022-10-06,2022-10-07,205
Bass Coast (S),VIC173,36320,38,13370,104.6,7,4,Bass Coast,2022-10-06,2022-10-07,47
Baw Baw (S),VIC194,53396,48,20607,89.9,5,3,Baw Baw,2022-10-06,2022-10-07,59
Bayside (C),VIC182,106862,92,40869,86.1,19,3,Bayside,2022-10-06,2022-10-07,118
Benalla (RC),VIC199,14037,16,4572,114,2,4,Benalla,2022-10-06,2022-10-07,21
Boroondara (C),VIC201,183199,209,67187,114.1,34,4,Boroondara,2022-10-06,2022-10-07,253
Brimbank (C),VIC189,209523,181,76147,86.4,32,3,Brimbank,2022-10-06,2022-10-07,226
Buloke (S),VIC183,6124,4,1500,65.3,0,3,Buloke,2022-10-06,2022-10-07,7
Campaspe (S),VIC239,37622,53,12484,140.9,8,4,Campaspe,2022-10-06,2022-10-07,59
Cardinia (S),VIC212,112159,138,47558,123,27,4,Cardinia,2022-10-06,2022-10-07,174
Casey (C),VIC213,353872,370,149099,104.6,55,4,Casey,2022-10-06,2022-10-07,448
Central Goldfields (S),VIC169,13186,8,3894,60.7,0,3,Central Goldfields,2022-10-06,2022-10-07,10
Colac-Otway (S),VIC224,21564,19,6754,88.1,6,3,Colac-Otway,2022-10-06,2022-10-07,27
Corangamite (S),VIC231,16020,10,4377,62.4,2,3,Corangamite,2022-10-06,2022-10-07,16
Darebin (C),VIC205,164184,199,67092,121.2,39,4,Darebin,2022-10-06,2022-10-07,240
East Gippsland (S),VIC243,47316,60,13722,126.8,15,4,East Gippsland,2022-10-06,2022-10-07,74
Frankston (C),VIC227,142643,143,56648,100.3,21,4,Frankston,2022-10-06,2022-10-07,179
Gannawarra (S),VIC214,10472,13,2759,124.1,3,4,Gannawarra,2022-10-06,2022-10-07,17
Glen Eira (C),VIC177,156511,156,64067,99.7,29,3,Glen Eira,2022-10-06,2022-10-07,184
Glenelg (S),VIC223,19674,24,5833,122,2,4,Glenelg,2022-10-06,2022-10-07,30
Golden Plains (S),VIC230,23722,32,9042,134.9,4,4,Golden Plains,2022-10-06,2022-10-07,40
Greater Bendigo (C),VIC193,118093,148,48290,125.3,21,4,Greater Bendigo,2022-10-06,2022-10-07,182
Greater Dandenong (C),VIC247,168201,140,58771,83.2,23,3,Greater Dandenong,2022-10-06,2022-10-07,176
Greater Geelong (C),VIC215,258934,386,109887,149.1,57,4,Greater Geelong,2022-10-06,2022-10-07,473
Greater Shepparton (C),VIC93,66498,83,25629,124.8,12,4,Greater Shepparton,2022-10-06,2022-10-07,96
Hepburn (S),VIC94,15975,19,4895,118.9,6,4,Hepburn,2022-10-06,2022-10-07,24
