LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Alpine (S),VIC242,12814,24,4402,187.3,6,4,Alpine,2022-11-24,2022-11-25,27
Ararat (RC),VIC220,11845,57,3979,481.2,5,5,Ararat,2022-11-24,2022-11-25,64
Ballarat (C),VIC241,109505,406,49208,370.8,73,5,Ballarat,2022-11-24,2022-11-25,434
Banyule (C),VIC188,131631,549,56028,417.1,107,5,Banyule,2022-11-24,2022-11-25,600
Bass Coast (S),VIC173,36320,85,13874,234,23,5,Bass Coast,2022-11-24,2022-11-25,98
Baw Baw (S),VIC194,53396,200,21484,374.6,40,5,Baw Baw,2022-11-24,2022-11-25,219
Bayside (C),VIC182,106862,347,42536,324.7,77,5,Bayside,2022-11-24,2022-11-25,381
Benalla (RC),VIC199,14037,31,4722,220.8,12,5,Benalla,2022-11-24,2022-11-25,36
Boroondara (C),VIC201,183199,639,70081,348.8,120,5,Boroondara,2022-11-24,2022-11-25,701
Brimbank (C),VIC189,209523,482,78267,230,92,5,Brimbank,2022-11-24,2022-11-25,543
Buloke (S),VIC183,6124,5,1528,81.6,0,3,Buloke,2022-11-24,2022-11-25,6
Campaspe (S),VIC239,37622,101,12903,268.5,12,5,Campaspe,2022-11-24,2022-11-25,111
Cardinia (S),VIC212,112159,331,49048,295.1,68,5,Cardinia,2022-11-24,2022-11-25,369
Casey (C),VIC213,353872,941,153632,265.9,181,5,Casey,2022-11-24,2022-11-25,1049
Central Goldfields (S),VIC169,13186,38,4057,288.2,4,5,Central Goldfields,2022-11-24,2022-11-25,41
Colac-Otway (S),VIC224,21564,68,6979,315.3,17,5,Colac-Otway,2022-11-24,2022-11-25,70
Corangamite (S),VIC231,16020,70,4592,437,15,5,Corangamite,2022-11-24,2022-11-25,79
Darebin (C),VIC205,164184,633,70005,385.5,108,5,Darebin,2022-11-24,2022-11-25,709
East Gippsland (S),VIC243,47316,131,14273,276.9,22,5,East Gippsland,2022-11-24,2022-11-25,145
Frankston (C),VIC227,142643,451,58600,316.2,83,5,Frankston,2022-11-24,2022-11-25,484
Gannawarra (S),VIC214,10472,16,2827,152.8,3,4,Gannawarra,2022-11-24,2022-11-25,18
Glen Eira (C),VIC177,156511,493,66533,315,96,5,Glen Eira,2022-11-24,2022-11-25,550
Glenelg (S),VIC223,19674,67,6105,340.6,6,5,Glenelg,2022-11-24,2022-11-25,70
Golden Plains (S),VIC230,23722,89,9355,375.2,12,5,Golden Plains,2022-11-24,2022-11-25,103
Greater Bendigo (C),VIC193,118093,513,50526,434.4,85,5,Greater Bendigo,2022-11-24,2022-11-25,558
Greater Dandenong (C),VIC247,168201,344,60276,204.5,57,5,Greater Dandenong,2022-11-24,2022-11-25,376
Greater Geelong (C),VIC215,258934,1016,114397,392.4,187,5,Greater Geelong,2022-11-24,2022-11-25,1125
Greater Shepparton (C),VIC93,66498,160,26283,240.6,25,5,Greater Shepparton,2022-11-24,2022-11-25,183
Hepburn (S),VIC94,15975,64,5146,400.6,11,5,Hepburn,2022-11-24,2022-11-25,74
Hindmarsh (S),VIC152,5588,17,1749,304.2,1,5,Hindmarsh,2022-11-24,2022-11-25,18
Hobsons Bay (C),VIC235,97751,260,39184,266,50,5,Hobsons Bay,2022-11-24,2022-11-25,294
Horsham (RC),VIC153,19921,74,7605,371.5,22,5,Horsham,2022-11-24,2022-11-25,87
Hume (C),VIC198,233471,618,102042,264.7,124,5,Hume,2022-11-24,2022-11-25,667
Indigo (S),VIC191,16701,52,5821,311.4,13,5,Indigo,2022-11-24,2022-11-25,65
Interstate,,,53,6245,0,15,0,,2022-11-24,2022-11-25,56
Kingston (C),VIC226,165782,509,67761,307,99,5,Kingston,2022-11-24,2022-11-25,550
Knox (C),VIC209,164538,488,67902,296.6,93,5,Knox,2022-11-24,2022-11-25,539
Latrobe (C),VIC219,75561,280,30197,370.6,59,5,Latrobe,2022-11-24,2022-11-25,310
Loddon (S),VIC185,7504,16,1956,213.2,1,5,Loddon,2022-11-24,2022-11-25,16
Macedon Ranges (S),VIC228,50231,169,19313,336.4,32,5,Macedon Ranges,2022-11-24,2022-11-25,193
Manningham (C),VIC195,127573,357,50272,279.8,81,5,Manningham,2022-11-24,2022-11-25,408
Mansfield (S),VIC244,9176,13,3381,141.7,0,4,Mansfield,2022-11-24,2022-11-25,16
Maribyrnong (C),VIC234,93448,367,41064,392.7,74,5,Maribyrnong,2022-11-24,2022-11-25,406
Maroondah (C),VIC207,118558,409,49933,345,57,5,Maroondah,2022-11-24,2022-11-25,470
Melbourne (C),VIC132,178955,569,76011,318,91,5,Melbourne,2022-11-24,2022-11-25,625
Melton (C),VIC237,164895,489,82032,296.6,100,5,Melton,2022-11-24,2022-11-25,534
Merri-bek (C),VIC131,185767,771,82177,415,118,5,Merri-bek,2022-11-24,2022-11-25,835
Mildura (RC),VIC222,55777,100,21775,179.3,13,4,Mildura,2022-11-24,2022-11-25,105
Mitchell (S),VIC211,46082,174,19864,377.6,42,5,Mitchell,2022-11-24,2022-11-25,183
Moira (S),VIC190,29925,62,9973,207.2,11,5,Moira,2022-11-24,2022-11-25,69
Monash (C),VIC210,202847,599,79339,295.3,111,5,Monash,2022-11-24,2022-11-25,689
Moonee Valley (C),VIC121,130294,463,54801,355.4,80,5,Moonee Valley,2022-11-24,2022-11-25,539
Moorabool (S),VIC236,35049,100,14618,285.3,19,5,Moorabool,2022-11-24,2022-11-25,109
Mornington Peninsula (S),VIC204,167636,550,65041,328.1,106,5,Mornington Peninsula,2022-11-24,2022-11-25,608
Mount Alexander (S),VIC105,19754,41,7082,207.6,11,5,Mount Alexander,2022-11-24,2022-11-25,48
Moyne (S),VIC229,16953,62,5608,365.7,22,5,Moyne,2022-11-24,2022-11-25,69
Murrindindi (S),VIC250,14570,21,4388,144.1,3,4,Murrindindi,2022-11-24,2022-11-25,23
Nillumbik (S),VIC216,65094,239,27319,367.2,48,5,Nillumbik,2022-11-24,2022-11-25,259
Northern Grampians (S),VIC166,11402,26,4077,228,9,5,Northern Grampians,2022-11-24,2022-11-25,28
Overseas,,,12,257,0,1,0,,2022-11-24,2022-11-25,10
Overseas Traveller,,,0,621,0,0,0,,2022-11-24,2022-11-25,0
Port Phillip (C),VIC208,115601,349,46943,301.9,82,5,Port Phillip,2022-11-24,2022-11-25,389
Pyrenees (S),VIC217,7472,23,2327,307.8,2,5,Pyrenees,2022-11-24,2022-11-25,24
Queenscliffe (B),VIC238,2940,12,1206,408.2,3,5,Queenscliffe,2022-11-24,2022-11-25,14
South Gippsland (S),VIC178,29914,71,9918,237.3,12,5,South Gippsland,2022-11-24,2022-11-25,82
Southern Grampians (S),VIC233,16100,50,5588,310.6,9,5,Southern Grampians,2022-11-24,2022-11-25,63
Stonnington (C),VIC203,117768,291,45115,247.1,51,5,Stonnington,2022-11-24,2022-11-25,328
Strathbogie (S),VIC110,10781,21,3134,194.8,6,4,Strathbogie,2022-11-24,2022-11-25,24
Surf Coast (S),VIC225,33456,104,15374,310.9,21,5,Surf Coast,2022-11-24,2022-11-25,125
Swan Hill (RC),VIC180,20649,30,6905,145.3,25,4,Swan Hill,2022-11-24,2022-11-25,47
Towong (S),VIC187,6040,24,1699,397.4,5,5,Towong,2022-11-24,2022-11-25,27
Unincorporated Vic,,,0,458,0,0,0,,2022-11-24,2022-11-25,0
Unknown,,,35,6334,0,6,0,,2022-11-24,2022-11-25,41
Wangaratta (RC),VIC186,29187,71,10794,243.3,9,5,Wangaratta,2022-11-24,2022-11-25,79
Warrnambool (C),VIC179,35181,129,13898,366.7,27,5,Warrnambool,2022-11-24,2022-11-25,161
Wellington (S),VIC218,44380,98,15634,220.8,23,5,Wellington,2022-11-24,2022-11-25,115
West Wimmera (S),VIC232,3841,13,975,338.5,0,5,West Wimmera,2022-11-24,2022-11-25,14
Whitehorse (C),VIC196,178739,626,69743,350.2,115,5,Whitehorse,2022-11-24,2022-11-25,696
Whittlesea (C),VIC197,230238,660,100194,286.7,136,5,Whittlesea,2022-11-24,2022-11-25,704
Wodonga (C),VIC192,42083,101,17649,240,17,5,Wodonga,2022-11-24,2022-11-25,108
Wyndham (C),VIC221,270487,762,123638,281.7,148,5,Wyndham,2022-11-24,2022-11-25,862
Yarra (C),VIC202,101495,392,44137,386.2,70,5,Yarra,2022-11-24,2022-11-25,421
