postcode,population,active,cases,rate,new,band,data_date,file_processed_date,last7days_new
3875,18625,26,6420,139.6,5,4,2022-11-03,2022-11-04,29
3878,1098,3,377,273.2,1,5,2022-11-03,2022-11-04,3
3880,4037,6,1155,148.6,0,4,2022-11-03,2022-11-04,6
3882,1094,1,411,91.4,0,3,2022-11-03,2022-11-04,1
3885,1868,1,516,53.5,1,3,2022-11-03,2022-11-04,2
3886,395,0,92,0,0,0,2022-11-03,2022-11-04,0
3887,342,0,75,0,0,0,2022-11-03,2022-11-04,0
3888,3421,8,818,233.8,0,5,2022-11-03,2022-11-04,12
3889,179,0,21,0,0,0,2022-11-03,2022-11-04,0
3890,324,0,64,0,0,0,2022-11-03,2022-11-04,0
3891,104,0,15,0,0,0,2022-11-03,2022-11-04,0
3892,1060,0,268,0,0,0,2022-11-03,2022-11-04,0
3893,22,0,5,0,0,0,2022-11-03,2022-11-04,0
3895,194,3,31,1546.4,0,7,2022-11-03,2022-11-04,3
3896,405,0,74,0,0,0,2022-11-03,2022-11-04,0
3898,790,0,205,0,0,0,2022-11-03,2022-11-04,0
3900,151,0,22,0,0,0,2022-11-03,2022-11-04,0
3902,412,0,90,0,0,0,2022-11-03,2022-11-04,0
3903,746,1,249,134,0,4,2022-11-03,2022-11-04,1
3904,1452,4,508,275.5,0,5,2022-11-03,2022-11-04,7
3909,7901,10,2378,126.6,0,4,2022-11-03,2022-11-04,11
3910,22587,30,10057,132.8,5,4,2022-11-03,2022-11-04,33
3911,3413,3,1265,87.9,0,3,2022-11-03,2022-11-04,3
3912,15154,15,6190,99,6,3,2022-11-03,2022-11-04,17
3913,3337,2,1350,59.9,0,3,2022-11-03,2022-11-04,3
3915,9960,9,3879,90.4,1,3,2022-11-03,2022-11-04,12
3916,952,0,407,0,0,0,2022-11-03,2022-11-04,0
3918,3704,5,1468,135,2,4,2022-11-03,2022-11-04,8
3919,3182,6,1187,188.6,1,4,2022-11-03,2022-11-04,6
3920,1037,0,300,0,0,0,2022-11-03,2022-11-04,0
3921,114,0,16,0,0,0,2022-11-03,2022-11-04,0
3922,7740,12,3339,155,4,4,2022-11-03,2022-11-04,15
3923,516,0,239,0,0,0,2022-11-03,2022-11-04,0
3925,3377,9,1579,266.5,2,5,2022-11-03,2022-11-04,10
3926,3240,6,1249,185.2,0,4,2022-11-03,2022-11-04,9
3927,1671,5,716,299.2,1,5,2022-11-03,2022-11-04,8
3928,413,3,184,726.4,0,6,2022-11-03,2022-11-04,3
3929,906,4,363,441.5,0,5,2022-11-03,2022-11-04,3
3930,17889,22,7011,123,6,4,2022-11-03,2022-11-04,29
3931,23991,32,9729,133.4,4,4,2022-11-03,2022-11-04,38
3933,1101,2,322,181.7,2,4,2022-11-03,2022-11-04,2
3934,18547,23,7546,124,4,4,2022-11-03,2022-11-04,25
3936,11024,19,5068,172.4,4,4,2022-11-03,2022-11-04,23
3937,1519,1,560,65.8,0,3,2022-11-03,2022-11-04,1
3938,2820,4,1225,141.8,2,4,2022-11-03,2022-11-04,8
3939,14522,19,5855,130.8,1,4,2022-11-03,2022-11-04,21
3940,4930,2,1808,40.6,0,2,2022-11-03,2022-11-04,2
3941,12174,14,5248,115,3,4,2022-11-03,2022-11-04,18
3942,2317,5,1116,215.8,1,5,2022-11-03,2022-11-04,6
3943,1593,7,770,439.4,2,5,2022-11-03,2022-11-04,8
3944,510,2,395,392.2,0,5,2022-11-03,2022-11-04,2
3945,976,1,342,102.5,0,4,2022-11-03,2022-11-04,2
3946,216,0,63,0,0,0,2022-11-03,2022-11-04,0
3950,4798,7,1885,145.9,3,4,2022-11-03,2022-11-04,7
3951,1005,2,313,199,1,4,2022-11-03,2022-11-04,3
3953,7859,10,2680,127.2,3,4,2022-11-03,2022-11-04,11
3954,404,0,120,0,0,0,2022-11-03,2022-11-04,0
3956,2818,5,848,177.4,1,4,2022-11-03,2022-11-04,5
3957,279,0,103,0,0,0,2022-11-03,2022-11-04,0
3958,272,0,77,0,0,0,2022-11-03,2022-11-04,0
3959,1153,4,426,346.9,0,5,2022-11-03,2022-11-04,4
3960,2477,11,860,444.1,5,5,2022-11-03,2022-11-04,11
3962,913,1,279,109.5,0,4,2022-11-03,2022-11-04,2
3964,133,0,59,0,0,0,2022-11-03,2022-11-04,0
3965,208,0,45,0,0,0,2022-11-03,2022-11-04,0
3966,510,0,150,0,0,0,2022-11-03,2022-11-04,0
3967,127,0,17,0,0,0,2022-11-03,2022-11-04,0
3971,4017,5,1113,124.5,0,4,2022-11-03,2022-11-04,7
3975,15246,29,7496,190.2,6,4,2022-11-03,2022-11-04,31
3976,25532,19,9650,74.4,4,3,2022-11-03,2022-11-04,18
3977,93322,138,49398,147.9,42,4,2022-11-03,2022-11-04,158
3978,10648,42,20442,394.4,7,5,2022-11-03,2022-11-04,50
3979,315,1,94,317.5,0,5,2022-11-03,2022-11-04,1
3980,3350,3,1286,89.6,1,3,2022-11-03,2022-11-04,4
3981,4901,9,1879,183.6,1,4,2022-11-03,2022-11-04,11
3984,5212,16,2363,307,3,5,2022-11-03,2022-11-04,18
3987,1527,2,478,131,0,4,2022-11-03,2022-11-04,2
3988,1001,0,302,0,0,0,2022-11-03,2022-11-04,0
3990,110,0,32,0,0,0,2022-11-03,2022-11-04,0
3991,357,0,90,0,0,0,2022-11-03,2022-11-04,0
3992,966,1,439,103.5,0,4,2022-11-03,2022-11-04,1
3995,10171,25,3922,245.8,6,5,2022-11-03,2022-11-04,27
3996,5541,12,2350,216.6,3,5,2022-11-03,2022-11-04,12
9998,,0,621,0,0,0,2022-11-03,2022-11-04,0
9999,,61,24223,0,15,0,2022-11-03,2022-11-04,0
