postcode,population,active,cases,rate,new,band,data_date,file_processed_date,last7days_new
3000,37979,102,23085,268.6,26,5,2022-09-08,2022-09-09,137
3001,0,0,0,0,0,0,2022-09-08,2022-09-09,0
3002,4957,8,2110,161.4,1,4,2022-09-08,2022-09-09,8
3003,5516,25,4173,453.2,7,5,2022-09-08,2022-09-09,30
3004,9311,37,5126,397.4,6,5,2022-09-08,2022-09-09,40
3005,523,0,0,0,0,0,2022-09-08,2022-09-09,0
3006,18811,47,10499,249.9,10,5,2022-09-08,2022-09-09,56
3008,10438,17,6034,162.9,2,4,2022-09-08,2022-09-09,19
3010,1595,0,4,0,0,0,2022-09-08,2022-09-09,0
3011,21464,44,10631,205,10,5,2022-09-08,2022-09-09,55
3012,26295,47,12419,178.7,11,4,2022-09-08,2022-09-09,53
3013,14967,26,7244,173.7,1,4,2022-09-08,2022-09-09,30
3015,17472,25,8337,143.1,5,4,2022-09-08,2022-09-09,28
3016,15558,21,6567,135,1,4,2022-09-08,2022-09-09,28
3018,12685,17,4960,134,5,4,2022-09-08,2022-09-09,19
3019,9199,15,3946,163.1,0,4,2022-09-08,2022-09-09,19
3020,44784,79,17249,176.4,19,4,2022-09-08,2022-09-09,98
3021,54190,67,18737,123.6,8,4,2022-09-08,2022-09-09,77
3022,3102,8,1310,257.9,1,5,2022-09-08,2022-09-09,10
3023,63974,92,28006,143.8,27,4,2022-09-08,2022-09-09,118
3024,23852,71,14597,297.7,14,5,2022-09-08,2022-09-09,88
3025,12155,21,5550,172.8,7,4,2022-09-08,2022-09-09,28
3026,72,12,3829,16666.7,3,7,2022-09-08,2022-09-09,14
3027,6650,15,3909,225.6,3,5,2022-09-08,2022-09-09,18
3028,29198,52,11224,178.1,8,4,2022-09-08,2022-09-09,69
3029,93946,250,51925,266.1,33,5,2022-09-08,2022-09-09,317
3030,100311,239,48446,238.3,41,5,2022-09-08,2022-09-09,288
3031,18533,43,8222,232,3,5,2022-09-08,2022-09-09,47
3032,29449,41,13256,139.2,7,4,2022-09-08,2022-09-09,47
3033,14512,28,6112,192.9,8,4,2022-09-08,2022-09-09,31
3034,11633,10,5034,86,3,3,2022-09-08,2022-09-09,12
3036,5921,6,2232,101.3,0,4,2022-09-08,2022-09-09,7
3037,51156,60,22018,117.3,14,4,2022-09-08,2022-09-09,72
3038,27258,35,10536,128.4,6,4,2022-09-08,2022-09-09,40
3039,14252,23,7083,161.4,2,4,2022-09-08,2022-09-09,28
3040,25939,43,11532,165.8,15,4,2022-09-08,2022-09-09,51
3041,12412,17,5642,137,5,4,2022-09-08,2022-09-09,24
3042,15762,22,7030,139.6,8,4,2022-09-08,2022-09-09,28
3043,17715,37,7466,208.9,6,5,2022-09-08,2022-09-09,45
3044,27116,46,12967,169.6,6,4,2022-09-08,2022-09-09,53
3045,100,0,125,0,0,0,2022-09-08,2022-09-09,0
3046,34061,49,15769,143.9,14,4,2022-09-08,2022-09-09,57
3047,20901,35,8110,167.5,5,4,2022-09-08,2022-09-09,39
3048,18025,17,6560,94.3,3,3,2022-09-08,2022-09-09,22
3049,9266,13,4388,140.3,4,4,2022-09-08,2022-09-09,18
3050,119,0,2,0,0,0,2022-09-08,2022-09-09,0
3051,14939,34,6956,227.6,5,5,2022-09-08,2022-09-09,42
3052,5697,46,3465,807.4,19,6,2022-09-08,2022-09-09,52
3053,18538,36,8116,194.2,6,4,2022-09-08,2022-09-09,47
3054,8426,18,3813,213.6,2,5,2022-09-08,2022-09-09,19
3055,14160,24,6770,169.5,3,4,2022-09-08,2022-09-09,32
3056,24475,45,12234,183.9,9,4,2022-09-08,2022-09-09,49
3057,11502,18,6735,156.5,2,4,2022-09-08,2022-09-09,21
3058,33783,46,16585,136.2,7,4,2022-09-08,2022-09-09,51
3059,15466,30,9096,194,13,4,2022-09-08,2022-09-09,36
3060,14040,14,5480,99.7,1,3,2022-09-08,2022-09-09,16
3061,5059,8,1952,158.1,1,4,2022-09-08,2022-09-09,9
3062,0,0,5,0,0,0,2022-09-08,2022-09-09,0
3063,574,0,206,0,0,0,2022-09-08,2022-09-09,0
3064,75458,156,46827,206.7,26,5,2022-09-08,2022-09-09,180
3065,10447,18,4905,172.3,3,4,2022-09-08,2022-09-09,21
3066,8512,10,4374,117.5,1,4,2022-09-08,2022-09-09,12
3067,8199,8,4237,97.6,2,3,2022-09-08,2022-09-09,11
3068,18665,35,9333,187.5,12,4,2022-09-08,2022-09-09,44
3070,24567,52,12290,211.7,11,5,2022-09-08,2022-09-09,59
3071,18569,53,9060,285.4,8,5,2022-09-08,2022-09-09,62
3072,32848,77,15322,234.4,14,5,2022-09-08,2022-09-09,88
3073,50479,94,20961,186.2,14,4,2022-09-08,2022-09-09,109
3074,20522,11,7507,53.6,3,3,2022-09-08,2022-09-09,14
3075,22594,26,9061,115.1,7,4,2022-09-08,2022-09-09,29
3076,32395,43,14322,132.7,8,4,2022-09-08,2022-09-09,53
3078,11638,19,5662,163.3,5,4,2022-09-08,2022-09-09,25
3079,15990,25,7185,156.3,7,4,2022-09-08,2022-09-09,33
3081,13424,22,5927,163.9,2,4,2022-09-08,2022-09-09,28
3082,29713,64,11825,215.4,11,5,2022-09-08,2022-09-09,74
3083,31526,43,12798,136.4,5,4,2022-09-08,2022-09-09,54
3084,25514,29,11077,113.7,5,4,2022-09-08,2022-09-09,36
3085,13882,31,5954,223.3,6,5,2022-09-08,2022-09-09,34
3086,908,0,9,0,0,0,2022-09-08,2022-09-09,0
3087,9033,14,3754,155,1,4,2022-09-08,2022-09-09,14
3088,26890,49,11552,182.2,14,4,2022-09-08,2022-09-09,53
3089,11739,14,5437,119.3,2,4,2022-09-08,2022-09-09,17
3090,2362,5,1135,211.7,1,5,2022-09-08,2022-09-09,10
3091,1585,1,488,63.1,0,3,2022-09-08,2022-09-09,1
3093,3891,3,1668,77.1,1,3,2022-09-08,2022-09-09,3
3094,8963,21,3826,234.3,3,5,2022-09-08,2022-09-09,23
3095,27770,58,12093,208.9,10,5,2022-09-08,2022-09-09,68
3096,1966,1,775,50.9,0,3,2022-09-08,2022-09-09,1
3097,1443,0,539,0,0,0,2022-09-08,2022-09-09,0
3099,4877,8,1847,164,4,4,2022-09-08,2022-09-09,9
3101,24604,36,9709,146.3,7,4,2022-09-08,2022-09-09,43
3102,6634,7,2776,105.5,1,4,2022-09-08,2022-09-09,11
3103,15343,43,5421,280.3,9,5,2022-09-08,2022-09-09,50
3104,20404,34,8055,166.6,6,4,2022-09-08,2022-09-09,42
3105,10877,12,4466,110.3,2,4,2022-09-08,2022-09-09,14
3106,16620,12,6424,72.2,4,3,2022-09-08,2022-09-09,19
3107,13557,15,5538,110.6,2,4,2022-09-08,2022-09-09,23
3108,20823,55,9654,264.1,7,5,2022-09-08,2022-09-09,61
3109,28357,57,11492,201,9,5,2022-09-08,2022-09-09,66
3111,12348,22,4920,178.2,1,4,2022-09-08,2022-09-09,28
3113,8460,10,3547,118.2,1,4,2022-09-08,2022-09-09,13
3114,3823,3,1476,78.5,1,3,2022-09-08,2022-09-09,3
3115,3799,3,1455,79,1,3,2022-09-08,2022-09-09,6
3116,9872,14,4695,141.8,4,4,2022-09-08,2022-09-09,18
3121,30502,37,14050,121.3,2,4,2022-09-08,2022-09-09,46
3122,23508,33,9290,140.4,7,4,2022-09-08,2022-09-09,40
3123,14319,20,6087,139.7,3,4,2022-09-08,2022-09-09,23
3124,22091,44,8917,199.2,2,4,2022-09-08,2022-09-09,57
3125,15021,29,5804,193.1,5,4,2022-09-08,2022-09-09,32
3126,8060,11,2881,136.5,1,4,2022-09-08,2022-09-09,13
3127,18445,28,7260,151.8,4,4,2022-09-08,2022-09-09,36
3128,19832,54,8433,272.3,9,5,2022-09-08,2022-09-09,60
3129,17374,26,6862,149.6,4,4,2022-09-08,2022-09-09,32
3130,32171,49,13578,152.3,6,4,2022-09-08,2022-09-09,57
3131,22499,45,8871,200,6,5,2022-09-08,2022-09-09,57
3132,16148,24,6872,148.6,3,4,2022-09-08,2022-09-09,29
3133,22119,44,8867,198.9,3,4,2022-09-08,2022-09-09,53
3134,32782,67,14205,204.4,9,5,2022-09-08,2022-09-09,69
3135,19954,49,8562,245.6,6,5,2022-09-08,2022-09-09,59
3136,44373,86,18855,193.8,14,4,2022-09-08,2022-09-09,97
3137,13872,22,6115,158.6,4,4,2022-09-08,2022-09-09,29
3138,21964,39,9692,177.6,10,4,2022-09-08,2022-09-09,50
3139,13722,15,4997,109.3,7,4,2022-09-08,2022-09-09,23
3140,16532,18,6917,108.9,2,4,2022-09-08,2022-09-09,24
3141,25149,43,10439,171,10,4,2022-09-08,2022-09-09,53
3142,12912,21,4374,162.6,6,4,2022-09-08,2022-09-09,24
3143,9052,14,3611,154.7,4,4,2022-09-08,2022-09-09,16
3144,10885,6,4182,55.1,0,3,2022-09-08,2022-09-09,7
3145,23294,38,9679,163.1,11,4,2022-09-08,2022-09-09,48
3146,25256,35,10507,138.6,8,4,2022-09-08,2022-09-09,41
3147,14634,29,6320,198.2,3,4,2022-09-08,2022-09-09,38
3148,8643,21,3756,243,4,5,2022-09-08,2022-09-09,22
3149,33612,97,13551,288.6,15,5,2022-09-08,2022-09-09,112
3150,60082,155,23258,258,26,5,2022-09-08,2022-09-09,180
3151,10269,16,3865,155.8,4,4,2022-09-08,2022-09-09,17
3152,33089,91,13789,275,18,5,2022-09-08,2022-09-09,105
3153,20552,42,8824,204.4,7,5,2022-09-08,2022-09-09,50
3154,4418,12,1923,271.6,5,5,2022-09-08,2022-09-09,12
3155,22193,43,9398,193.8,7,4,2022-09-08,2022-09-09,58
3156,37458,58,15788,154.8,13,4,2022-09-08,2022-09-09,76
3158,6648,9,2931,135.4,0,4,2022-09-08,2022-09-09,10
3159,2652,3,1047,113.1,1,4,2022-09-08,2022-09-09,4
3160,9014,20,3910,221.9,3,5,2022-09-08,2022-09-09,23
3161,15271,22,7398,144.1,9,4,2022-09-08,2022-09-09,26
3162,17452,33,8051,189.1,5,4,2022-09-08,2022-09-09,36
3163,32355,49,13500,151.4,9,4,2022-09-08,2022-09-09,58
3164,0,0,0,0,0,0,2022-09-08,2022-09-09,0
3165,27636,50,12835,180.9,11,4,2022-09-08,2022-09-09,58
3166,23759,51,10545,214.7,16,5,2022-09-08,2022-09-09,55
3167,9259,21,3985,226.8,2,5,2022-09-08,2022-09-09,24
3168,20200,44,9361,217.8,6,5,2022-09-08,2022-09-09,54
3169,20122,41,8059,203.8,5,5,2022-09-08,2022-09-09,46
3170,19370,57,8116,294.3,10,5,2022-09-08,2022-09-09,60
3171,21713,30,7644,138.2,1,4,2022-09-08,2022-09-09,37
3172,23091,29,8654,125.6,1,4,2022-09-08,2022-09-09,33
3173,25785,35,11669,135.7,7,4,2022-09-08,2022-09-09,45
3174,38465,59,14857,153.4,8,4,2022-09-08,2022-09-09,69
3175,53297,84,19551,157.6,13,4,2022-09-08,2022-09-09,96
3177,11305,19,4004,168.1,1,4,2022-09-08,2022-09-09,19
3178,33669,53,13647,157.4,10,4,2022-09-08,2022-09-09,69
3179,6019,22,2605,365.5,3,5,2022-09-08,2022-09-09,25
3180,7462,20,2974,268,5,5,2022-09-08,2022-09-09,22
3181,20267,32,9042,157.9,6,4,2022-09-08,2022-09-09,39
3182,23394,37,10269,158.2,7,4,2022-09-08,2022-09-09,40
3183,18491,22,8435,119,6,4,2022-09-08,2022-09-09,27
3184,15547,16,6342,102.9,3,4,2022-09-08,2022-09-09,22
3185,12932,22,5745,170.1,3,4,2022-09-08,2022-09-09,26
3186,23258,49,8890,210.7,6,5,2022-09-08,2022-09-09,52
3187,15997,24,6936,150,2,4,2022-09-08,2022-09-09,26
3188,18082,27,7392,149.3,4,4,2022-09-08,2022-09-09,30
3189,5894,18,2815,305.4,2,5,2022-09-08,2022-09-09,19
3190,10457,15,5145,143.4,1,4,2022-09-08,2022-09-09,16
3191,10242,19,4425,185.5,3,4,2022-09-08,2022-09-09,20
3192,22292,39,10203,175,12,4,2022-09-08,2022-09-09,48
3193,19505,33,7709,169.2,4,4,2022-09-08,2022-09-09,37
3194,12965,28,5447,216,4,5,2022-09-08,2022-09-09,36
3195,35867,57,15777,158.9,11,4,2022-09-08,2022-09-09,65
3196,25329,36,10939,142.1,7,4,2022-09-08,2022-09-09,41
3197,11547,19,4488,164.5,3,4,2022-09-08,2022-09-09,19
3198,16462,34,6839,206.5,6,5,2022-09-08,2022-09-09,46
3199,54299,129,21825,237.6,22,5,2022-09-08,2022-09-09,146
3200,5759,18,2198,312.6,3,5,2022-09-08,2022-09-09,20
3201,20713,46,8993,222.1,7,5,2022-09-08,2022-09-09,53
3202,2907,7,1135,240.8,2,5,2022-09-08,2022-09-09,8
3204,30642,77,13548,251.3,12,5,2022-09-08,2022-09-09,83
