LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,32,4215,249.7,4,5,Alpine,2022-09-01,2022-09-02
Ararat (RC),VIC220,11845,25,3691,211.1,8,5,Ararat,2022-09-01,2022-09-02
Ballarat (C),VIC241,109505,333,46142,304.1,38,5,Ballarat,2022-09-01,2022-09-02
Banyule (C),VIC188,131631,283,52635,215,42,5,Banyule,2022-09-01,2022-09-02
Bass Coast (S),VIC173,36320,80,13060,220.3,12,5,Bass Coast,2022-09-01,2022-09-02
Baw Baw (S),VIC194,53396,109,20195,204.1,12,5,Baw Baw,2022-09-01,2022-09-02
Bayside (C),VIC182,106862,181,40214,169.4,23,4,Bayside,2022-09-01,2022-09-02
Benalla (RC),VIC199,14037,87,4371,619.8,17,6,Benalla,2022-09-01,2022-09-02
Boroondara (C),VIC201,183199,312,65877,170.3,55,4,Boroondara,2022-09-01,2022-09-02
Brimbank (C),VIC189,209523,361,74898,172.3,48,4,Brimbank,2022-09-01,2022-09-02
Buloke (S),VIC183,6124,19,1432,310.3,3,5,Buloke,2022-09-01,2022-09-02
Campaspe (S),VIC239,37622,107,12120,284.4,24,5,Campaspe,2022-09-01,2022-09-02
Cardinia (S),VIC212,112159,257,46631,229.1,42,5,Cardinia,2022-09-01,2022-09-02
Casey (C),VIC213,353872,790,146427,223.2,131,5,Casey,2022-09-01,2022-09-02
Central Goldfields (S),VIC169,13186,26,3802,197.2,4,4,Central Goldfields,2022-09-01,2022-09-02
Colac-Otway (S),VIC224,21564,48,6634,222.6,3,5,Colac-Otway,2022-09-01,2022-09-02
Corangamite (S),VIC231,16020,18,4295,112.4,2,4,Corangamite,2022-09-01,2022-09-02
Darebin (C),VIC205,164184,335,65795,204,58,5,Darebin,2022-09-01,2022-09-02
East Gippsland (S),VIC243,47316,101,13270,213.5,19,5,East Gippsland,2022-09-01,2022-09-02
Frankston (C),VIC227,142643,386,55454,270.6,57,5,Frankston,2022-09-01,2022-09-02
Gannawarra (S),VIC214,10472,24,2653,229.2,4,5,Gannawarra,2022-09-01,2022-09-02
Glen Eira (C),VIC177,156511,328,62947,209.6,59,5,Glen Eira,2022-09-01,2022-09-02
Glenelg (S),VIC223,19674,40,5674,203.3,4,5,Glenelg,2022-09-01,2022-09-02
Golden Plains (S),VIC230,23722,72,8809,303.5,13,5,Golden Plains,2022-09-01,2022-09-02
Greater Bendigo (C),VIC193,118093,318,47122,269.3,49,5,Greater Bendigo,2022-09-01,2022-09-02
Greater Dandenong (C),VIC247,168201,272,57789,161.7,47,4,Greater Dandenong,2022-09-01,2022-09-02
Greater Geelong (C),VIC215,258934,720,107238,278.1,93,5,Greater Geelong,2022-09-01,2022-09-02
Greater Shepparton (C),VIC93,66498,159,24851,239.1,32,5,Greater Shepparton,2022-09-01,2022-09-02
Hepburn (S),VIC94,15975,48,4767,300.5,6,5,Hepburn,2022-09-01,2022-09-02
Hindmarsh (S),VIC152,5588,22,1624,393.7,4,5,Hindmarsh,2022-09-01,2022-09-02
Hobsons Bay (C),VIC235,97751,224,37204,229.2,38,5,Hobsons Bay,2022-09-01,2022-09-02
Horsham (RC),VIC153,19921,39,7148,195.8,4,4,Horsham,2022-09-01,2022-09-02
Hume (C),VIC198,233471,457,97844,195.7,75,4,Hume,2022-09-01,2022-09-02
Indigo (S),VIC191,16701,37,5461,221.5,5,5,Indigo,2022-09-01,2022-09-02
Interstate,,,30,6077,0,4,0,,2022-09-01,2022-09-02
Kingston (C),VIC226,165782,378,64303,228,58,5,Kingston,2022-09-01,2022-09-02
Knox (C),VIC209,164538,386,63789,234.6,57,5,Knox,2022-09-01,2022-09-02
Latrobe (C),VIC219,75561,227,28235,300.4,49,5,Latrobe,2022-09-01,2022-09-02
Loddon (S),VIC185,7504,8,1849,106.6,1,4,Loddon,2022-09-01,2022-09-02
Macedon Ranges (S),VIC228,50231,97,18183,193.1,16,4,Macedon Ranges,2022-09-01,2022-09-02
Manningham (C),VIC195,127573,262,47617,205.4,36,5,Manningham,2022-09-01,2022-09-02
Mansfield (S),VIC244,9176,8,3225,87.2,1,3,Mansfield,2022-09-01,2022-09-02
Maribyrnong (C),VIC234,93448,180,38799,192.6,27,4,Maribyrnong,2022-09-01,2022-09-02
Maroondah (C),VIC207,118558,279,47037,235.3,44,5,Maroondah,2022-09-01,2022-09-02
Melbourne (C),VIC132,178955,350,71359,195.6,81,4,Melbourne,2022-09-01,2022-09-02
Melton (C),VIC237,164895,514,78265,311.7,89,5,Melton,2022-09-01,2022-09-02
Mildura (RC),VIC222,55777,153,20660,274.3,25,5,Mildura,2022-09-01,2022-09-02
Mitchell (S),VIC211,46082,145,18700,314.7,14,5,Mitchell,2022-09-01,2022-09-02
Moira (S),VIC190,29925,63,9450,210.5,10,5,Moira,2022-09-01,2022-09-02
