LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Alpine (S),VIC242,12814,7,4328,54.6,0,3,Alpine,2022-10-27,2022-10-28,7
Ararat (RC),VIC220,11845,11,3827,92.9,5,3,Ararat,2022-10-27,2022-10-28,16
Ballarat (C),VIC241,109505,186,47953,169.9,28,4,Ballarat,2022-10-27,2022-10-28,210
Banyule (C),VIC188,131631,222,54220,168.7,37,4,Banyule,2022-10-27,2022-10-28,243
Bass Coast (S),VIC173,36320,50,13488,137.7,16,4,Bass Coast,2022-10-27,2022-10-28,54
Baw Baw (S),VIC194,53396,107,20879,200.4,12,5,Baw Baw,2022-10-27,2022-10-28,121
Bayside (C),VIC182,106862,116,41253,108.6,24,4,Bayside,2022-10-27,2022-10-28,125
Benalla (RC),VIC199,14037,13,4612,92.6,3,3,Benalla,2022-10-27,2022-10-28,16
Boroondara (C),VIC201,183199,270,67909,147.4,59,4,Boroondara,2022-10-27,2022-10-28,291
Brimbank (C),VIC189,209523,145,76619,69.2,24,3,Brimbank,2022-10-27,2022-10-28,162
Buloke (S),VIC183,6124,0,1502,0,0,0,Buloke,2022-10-27,2022-10-28,0
Campaspe (S),VIC239,37622,21,12600,55.8,4,3,Campaspe,2022-10-27,2022-10-28,27
Cardinia (S),VIC212,112159,145,47941,129.3,28,4,Cardinia,2022-10-27,2022-10-28,171
Casey (C),VIC213,353872,421,150277,119,77,4,Casey,2022-10-27,2022-10-28,477
Central Goldfields (S),VIC169,13186,12,3928,91,0,3,Central Goldfields,2022-10-27,2022-10-28,13
Colac-Otway (S),VIC224,21564,14,6805,64.9,4,3,Colac-Otway,2022-10-27,2022-10-28,15
Corangamite (S),VIC231,16020,13,4418,81.1,1,3,Corangamite,2022-10-27,2022-10-28,14
Darebin (C),VIC205,164184,209,67716,127.3,39,4,Darebin,2022-10-27,2022-10-28,230
East Gippsland (S),VIC243,47316,57,13891,120.5,11,4,East Gippsland,2022-10-27,2022-10-28,65
Frankston (C),VIC227,142643,179,57178,125.5,26,4,Frankston,2022-10-27,2022-10-28,203
Gannawarra (S),VIC214,10472,9,2778,85.9,1,3,Gannawarra,2022-10-27,2022-10-28,10
Glen Eira (C),VIC177,156511,210,64645,134.2,35,4,Glen Eira,2022-10-27,2022-10-28,226
Glenelg (S),VIC223,19674,27,5894,137.2,5,4,Glenelg,2022-10-27,2022-10-28,28
Golden Plains (S),VIC230,23722,18,9102,75.9,4,3,Golden Plains,2022-10-27,2022-10-28,24
Greater Bendigo (C),VIC193,118093,183,48801,155,29,4,Greater Bendigo,2022-10-27,2022-10-28,197
Greater Dandenong (C),VIC247,168201,117,59089,69.6,18,3,Greater Dandenong,2022-10-27,2022-10-28,137
Greater Geelong (C),VIC215,258934,380,111003,146.8,61,4,Greater Geelong,2022-10-27,2022-10-28,430
Greater Shepparton (C),VIC93,66498,29,25792,43.6,3,2,Greater Shepparton,2022-10-27,2022-10-28,39
Hepburn (S),VIC94,15975,16,4939,100.2,4,4,Hepburn,2022-10-27,2022-10-28,19
Hindmarsh (S),VIC152,5588,6,1696,107.4,1,4,Hindmarsh,2022-10-27,2022-10-28,7
Hobsons Bay (C),VIC235,97751,94,38187,96.2,13,3,Hobsons Bay,2022-10-27,2022-10-28,104
Horsham (RC),VIC153,19921,21,7398,105.4,2,4,Horsham,2022-10-27,2022-10-28,24
Hume (C),VIC198,233471,201,100126,86.1,36,3,Hume,2022-10-27,2022-10-28,232
Indigo (S),VIC191,16701,18,5679,107.8,4,4,Indigo,2022-10-27,2022-10-28,19
Interstate,,,30,6169,0,4,0,,2022-10-27,2022-10-28,34
Kingston (C),VIC226,165782,181,65988,109.2,34,4,Kingston,2022-10-27,2022-10-28,203
Knox (C),VIC209,164538,230,65985,139.8,38,4,Knox,2022-10-27,2022-10-28,262
Latrobe (C),VIC219,75561,101,29386,133.7,26,4,Latrobe,2022-10-27,2022-10-28,110
Loddon (S),VIC185,7504,5,1922,66.6,0,3,Loddon,2022-10-27,2022-10-28,5
Macedon Ranges (S),VIC228,50231,45,18743,89.6,8,3,Macedon Ranges,2022-10-27,2022-10-28,48
Manningham (C),VIC195,127573,129,48954,101.1,25,4,Manningham,2022-10-27,2022-10-28,144
Mansfield (S),VIC244,9176,8,3311,87.2,0,3,Mansfield,2022-10-27,2022-10-28,10
Maribyrnong (C),VIC234,93448,98,39858,104.9,14,4,Maribyrnong,2022-10-27,2022-10-28,111
