LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Alpine (S),VIC242,12814,20,4375,156.1,7,4,Alpine,2022-11-17,2022-11-18,22
Ararat (RC),VIC220,11845,25,3915,211.1,7,5,Ararat,2022-11-17,2022-11-18,33
Ballarat (C),VIC241,109505,304,48774,277.6,48,5,Ballarat,2022-11-17,2022-11-18,340
Banyule (C),VIC188,131631,454,55416,344.9,69,5,Banyule,2022-11-17,2022-11-18,508
Bass Coast (S),VIC173,36320,93,13775,256.1,10,5,Bass Coast,2022-11-17,2022-11-18,109
Baw Baw (S),VIC194,53396,131,21263,245.3,32,5,Baw Baw,2022-11-17,2022-11-18,143
Bayside (C),VIC182,106862,301,42164,281.7,48,5,Bayside,2022-11-17,2022-11-18,354
Benalla (RC),VIC199,14037,31,4685,220.8,3,5,Benalla,2022-11-17,2022-11-18,37
Boroondara (C),VIC201,183199,513,69383,280,84,5,Boroondara,2022-11-17,2022-11-18,604
Brimbank (C),VIC189,209523,468,77721,223.4,69,5,Brimbank,2022-11-17,2022-11-18,538
Buloke (S),VIC183,6124,9,1522,147,2,4,Buloke,2022-11-17,2022-11-18,11
Campaspe (S),VIC239,37622,83,12792,220.6,14,5,Campaspe,2022-11-17,2022-11-18,97
Cardinia (S),VIC212,112159,249,48670,222,40,5,Cardinia,2022-11-17,2022-11-18,276
Casey (C),VIC213,353872,824,152569,232.9,129,5,Casey,2022-11-17,2022-11-18,951
Central Goldfields (S),VIC169,13186,36,4015,273,5,5,Central Goldfields,2022-11-17,2022-11-18,43
Colac-Otway (S),VIC224,21564,29,6908,134.5,5,4,Colac-Otway,2022-11-17,2022-11-18,38
Corangamite (S),VIC231,16020,38,4513,237.2,6,5,Corangamite,2022-11-17,2022-11-18,45
Darebin (C),VIC205,164184,588,69301,358.1,83,5,Darebin,2022-11-17,2022-11-18,672
East Gippsland (S),VIC243,47316,62,14127,131,8,4,East Gippsland,2022-11-17,2022-11-18,77
Frankston (C),VIC227,142643,383,58121,268.5,54,5,Frankston,2022-11-17,2022-11-18,419
Gannawarra (S),VIC214,10472,16,2809,152.8,2,4,Gannawarra,2022-11-17,2022-11-18,16
Glen Eira (C),VIC177,156511,488,65977,311.8,76,5,Glen Eira,2022-11-17,2022-11-18,554
Glenelg (S),VIC223,19674,39,6035,198.2,10,4,Glenelg,2022-11-17,2022-11-18,40
Golden Plains (S),VIC230,23722,66,9250,278.2,9,5,Golden Plains,2022-11-17,2022-11-18,72
Greater Bendigo (C),VIC193,118093,414,49967,350.6,82,5,Greater Bendigo,2022-11-17,2022-11-18,484
Greater Dandenong (C),VIC247,168201,335,59908,199.2,49,4,Greater Dandenong,2022-11-17,2022-11-18,366
Greater Geelong (C),VIC215,258934,847,113270,327.1,119,5,Greater Geelong,2022-11-17,2022-11-18,987
Greater Shepparton (C),VIC93,66498,145,26102,218.1,20,5,Greater Shepparton,2022-11-17,2022-11-18,157
Hepburn (S),VIC94,15975,59,5070,369.3,18,5,Hepburn,2022-11-17,2022-11-18,64
Hindmarsh (S),VIC152,5588,21,1731,375.8,1,5,Hindmarsh,2022-11-17,2022-11-18,22
