LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Alpine (S),VIC242,12814,7,4336,54.6,2,3,Alpine,2022-11-03,2022-11-04,9
Ararat (RC),VIC220,11845,27,3854,227.9,3,5,Ararat,2022-11-03,2022-11-04,27
Ballarat (C),VIC241,109505,188,48176,171.7,47,4,Ballarat,2022-11-03,2022-11-04,223
Banyule (C),VIC188,131631,247,54497,187.6,36,4,Banyule,2022-11-03,2022-11-04,281
Bass Coast (S),VIC173,36320,75,13572,206.5,18,5,Bass Coast,2022-11-03,2022-11-04,84
Baw Baw (S),VIC194,53396,89,20984,166.7,18,4,Baw Baw,2022-11-03,2022-11-04,108
Bayside (C),VIC182,106862,171,41449,160,42,4,Bayside,2022-11-03,2022-11-04,195
Benalla (RC),VIC199,14037,11,4624,78.4,5,3,Benalla,2022-11-03,2022-11-04,12
Boroondara (C),VIC201,183199,289,68231,157.8,75,4,Boroondara,2022-11-03,2022-11-04,332
Brimbank (C),VIC189,209523,172,76822,82.1,47,3,Brimbank,2022-11-03,2022-11-04,201
Buloke (S),VIC183,6124,1,1503,16.3,0,1,Buloke,2022-11-03,2022-11-04,1
Campaspe (S),VIC239,37622,33,12635,87.7,7,3,Campaspe,2022-11-03,2022-11-04,35
Cardinia (S),VIC212,112159,157,48131,140,35,4,Cardinia,2022-11-03,2022-11-04,190
Casey (C),VIC213,353872,452,150788,127.7,99,4,Casey,2022-11-03,2022-11-04,510
Central Goldfields (S),VIC169,13186,7,3937,53.1,3,3,Central Goldfields,2022-11-03,2022-11-04,11
Colac-Otway (S),VIC224,21564,15,6823,69.6,6,3,Colac-Otway,2022-11-03,2022-11-04,18
Corangamite (S),VIC231,16020,19,4443,118.6,3,4,Corangamite,2022-11-03,2022-11-04,24
Darebin (C),VIC205,164184,300,68057,182.7,75,4,Darebin,2022-11-03,2022-11-04,336
East Gippsland (S),VIC243,47316,64,13966,135.3,7,4,East Gippsland,2022-11-03,2022-11-04,76
Frankston (C),VIC227,142643,188,57402,131.8,47,4,Frankston,2022-11-03,2022-11-04,219
Gannawarra (S),VIC214,10472,4,2786,38.2,0,2,Gannawarra,2022-11-03,2022-11-04,8
Glen Eira (C),VIC177,156511,247,64922,157.8,47,4,Glen Eira,2022-11-03,2022-11-04,275
Glenelg (S),VIC223,19674,51,5948,259.2,3,5,Glenelg,2022-11-03,2022-11-04,55
Golden Plains (S),VIC230,23722,29,9136,122.2,3,4,Golden Plains,2022-11-03,2022-11-04,33
Greater Bendigo (C),VIC193,118093,211,49037,178.7,42,4,Greater Bendigo,2022-11-03,2022-11-04,239
Greater Dandenong (C),VIC247,168201,172,59277,102.3,47,4,Greater Dandenong,2022-11-03,2022-11-04,186
Greater Geelong (C),VIC215,258934,443,111499,171.1,97,4,Greater Geelong,2022-11-03,2022-11-04,502
Greater Shepparton (C),VIC93,66498,54,25852,81.2,10,3,Greater Shepparton,2022-11-03,2022-11-04,57
Hepburn (S),VIC94,15975,31,4980,194.1,7,4,Hepburn,2022-11-03,2022-11-04,41
