LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Alpine (S),VIC242,12814,8,4311,62.4,1,3,Alpine,2022-10-13,2022-10-14,16
Ararat (RC),VIC220,11845,22,3790,185.7,2,4,Ararat,2022-10-13,2022-10-14,24
Ballarat (C),VIC241,109505,152,47533,138.8,22,4,Ballarat,2022-10-13,2022-10-14,173
Banyule (C),VIC188,131631,175,53845,132.9,19,4,Banyule,2022-10-13,2022-10-14,206
Bass Coast (S),VIC173,36320,34,13404,93.6,2,3,Bass Coast,2022-10-13,2022-10-14,38
Baw Baw (S),VIC194,53396,52,20684,97.4,4,3,Baw Baw,2022-10-13,2022-10-14,62
Bayside (C),VIC182,106862,115,40995,107.6,16,4,Bayside,2022-10-13,2022-10-14,128
Benalla (RC),VIC199,14037,10,4586,71.2,1,3,Benalla,2022-10-13,2022-10-14,13
Boroondara (C),VIC201,183199,195,67407,106.4,39,4,Boroondara,2022-10-13,2022-10-14,224
Brimbank (C),VIC189,209523,126,76318,60.1,31,3,Brimbank,2022-10-13,2022-10-14,170
Buloke (S),VIC183,6124,1,1501,16.3,0,1,Buloke,2022-10-13,2022-10-14,1
Campaspe (S),VIC239,37622,36,12530,95.7,5,3,Campaspe,2022-10-13,2022-10-14,47
Cardinia (S),VIC212,112159,94,47671,83.8,15,3,Cardinia,2022-10-13,2022-10-14,122
Casey (C),VIC213,353872,327,149496,92.4,49,3,Casey,2022-10-13,2022-10-14,393
Central Goldfields (S),VIC169,13186,6,3901,45.5,0,2,Central Goldfields,2022-10-13,2022-10-14,7
Colac-Otway (S),VIC224,21564,18,6773,83.5,1,3,Colac-Otway,2022-10-13,2022-10-14,23
Corangamite (S),VIC231,16020,8,4385,49.9,0,2,Corangamite,2022-10-13,2022-10-14,9
Darebin (C),VIC205,164184,158,67287,96.2,31,3,Darebin,2022-10-13,2022-10-14,200
East Gippsland (S),VIC243,47316,50,13785,105.7,10,4,East Gippsland,2022-10-13,2022-10-14,68
Frankston (C),VIC227,142643,140,56833,98.1,27,3,Frankston,2022-10-13,2022-10-14,184
Gannawarra (S),VIC214,10472,5,2766,47.7,1,2,Gannawarra,2022-10-13,2022-10-14,8
Glen Eira (C),VIC177,156511,153,64240,97.8,21,3,Glen Eira,2022-10-13,2022-10-14,180
Glenelg (S),VIC223,19674,17,5851,86.4,5,3,Glenelg,2022-10-13,2022-10-14,18
Golden Plains (S),VIC230,23722,11,9059,46.4,2,2,Golden Plains,2022-10-13,2022-10-14,15
Greater Bendigo (C),VIC193,118093,117,48438,99.1,23,3,Greater Bendigo,2022-10-13,2022-10-14,145
Greater Dandenong (C),VIC247,168201,111,58895,66,21,3,Greater Dandenong,2022-10-13,2022-10-14,134
Greater Geelong (C),VIC215,258934,307,110263,118.6,58,4,Greater Geelong,2022-10-13,2022-10-14,387
Greater Shepparton (C),VIC93,66498,63,25703,94.7,15,3,Greater Shepparton,2022-10-13,2022-10-14,76
Hepburn (S),VIC94,15975,11,4906,68.9,4,3,Hepburn,2022-10-13,2022-10-14,12
Hindmarsh (S),VIC152,5588,3,1680,53.7,0,3,Hindmarsh,2022-10-13,2022-10-14,7
Hobsons Bay (C),VIC235,97751,94,37999,96.2,18,3,Hobsons Bay,2022-10-13,2022-10-14,113
Horsham (RC),VIC153,19921,40,7343,200.8,10,5,Horsham,2022-10-13,2022-10-14,42
Hume (C),VIC198,233471,183,99718,78.4,38,3,Hume,2022-10-13,2022-10-14,221
Indigo (S),VIC191,16701,8,5653,47.9,3,2,Indigo,2022-10-13,2022-10-14,9
Interstate,,,4,6131,0,2,0,,2022-10-13,2022-10-14,4
Kingston (C),VIC226,165782,129,65625,77.8,19,3,Kingston,2022-10-13,2022-10-14,152
Knox (C),VIC209,164538,172,65540,104.5,30,4,Knox,2022-10-13,2022-10-14,222
Latrobe (C),VIC219,75561,75,29177,99.3,13,3,Latrobe,2022-10-13,2022-10-14,95
Loddon (S),VIC185,7504,3,1915,40,0,2,Loddon,2022-10-13,2022-10-14,3
Macedon Ranges (S),VIC228,50231,46,18660,91.6,4,3,Macedon Ranges,2022-10-13,2022-10-14,51
Manningham (C),VIC195,127573,134,48674,105,23,4,Manningham,2022-10-13,2022-10-14,158
Mansfield (S),VIC244,9176,3,3297,32.7,0,2,Mansfield,2022-10-13,2022-10-14,5
Maribyrnong (C),VIC234,93448,88,39616,94.2,21,3,Maribyrnong,2022-10-13,2022-10-14,107
Maroondah (C),VIC207,118558,153,48253,129.1,29,4,Maroondah,2022-10-13,2022-10-14,178
Melbourne (C),VIC132,178955,226,73286,126.3,37,4,Melbourne,2022-10-13,2022-10-14,271
Melton (C),VIC237,164895,201,79991,121.9,33,4,Melton,2022-10-13,2022-10-14,233
Merri-bek (C),VIC131,185767,199,79236,107.1,45,4,Merri-bek,2022-10-13,2022-10-14,244
Mildura (RC),VIC222,55777,64,21285,114.7,11,4,Mildura,2022-10-13,2022-10-14,75
Mitchell (S),VIC211,46082,53,19261,115,7,4,Mitchell,2022-10-13,2022-10-14,73
Moira (S),VIC190,29925,19,9724,63.5,5,3,Moira,2022-10-13,2022-10-14,23
Monash (C),VIC210,202847,165,76554,81.3,26,3,Monash,2022-10-13,2022-10-14,209
Moonee Valley (C),VIC121,130294,117,52902,89.8,21,3,Moonee Valley,2022-10-13,2022-10-14,142
Moorabool (S),VIC236,35049,36,14199,102.7,4,4,Moorabool,2022-10-13,2022-10-14,44
Moreland (C),VIC131,185767,0,0,0,0,0,Moreland,2022-10-13,2022-10-14,0
Mornington Peninsula (S),VIC204,167636,154,62601,91.9,28,3,Mornington Peninsula,2022-10-13,2022-10-14,185
Mount Alexander (S),VIC105,19754,19,6786,96.2,1,3,Mount Alexander,2022-10-13,2022-10-14,24
Moyne (S),VIC229,16953,4,5402,23.6,3,2,Moyne,2022-10-13,2022-10-14,7
Murrindindi (S),VIC250,14570,14,4240,96.1,4,3,Murrindindi,2022-10-13,2022-10-14,14
Nillumbik (S),VIC216,65094,83,26352,127.5,9,4,Nillumbik,2022-10-13,2022-10-14,90
Northern Grampians (S),VIC166,11402,12,3946,105.2,2,4,Northern Grampians,2022-10-13,2022-10-14,17
Overseas,,,4,208,0,1,0,,2022-10-13,2022-10-14,3
Overseas Traveller,,,0,621,0,0,0,,2022-10-13,2022-10-14,0
Port Phillip (C),VIC208,115601,103,45358,89.1,16,3,Port Phillip,2022-10-13,2022-10-14,131
Pyrenees (S),VIC217,7472,4,2256,53.5,0,3,Pyrenees,2022-10-13,2022-10-14,5
Queenscliffe (B),VIC238,2940,6,1143,204.1,1,5,Queenscliffe,2022-10-13,2022-10-14,6
South Gippsland (S),VIC178,29914,46,9588,153.8,10,4,South Gippsland,2022-10-13,2022-10-14,50
Southern Grampians (S),VIC233,16100,31,5361,192.5,5,4,Southern Grampians,2022-10-13,2022-10-14,34
Stonnington (C),VIC203,117768,117,43463,99.3,26,3,Stonnington,2022-10-13,2022-10-14,142
Strathbogie (S),VIC110,10781,2,3056,18.6,1,1,Strathbogie,2022-10-13,2022-10-14,3
Surf Coast (S),VIC225,33456,32,14870,95.6,5,3,Surf Coast,2022-10-13,2022-10-14,40
Swan Hill (RC),VIC180,20649,20,6794,96.9,0,3,Swan Hill,2022-10-13,2022-10-14,24
Towong (S),VIC187,6040,1,1604,16.6,0,1,Towong,2022-10-13,2022-10-14,2
Unincorporated Vic,,,0,455,0,0,0,,2022-10-13,2022-10-14,0
Unknown,,,18,5868,0,4,0,,2022-10-13,2022-10-14,18
