LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,39,4200,304.4,11,5,Alpine,2022-08-29,2022-08-30
Ararat (RC),VIC220,11845,26,3673,219.5,4,5,Ararat,2022-08-29,2022-08-30
Ballarat (C),VIC241,109505,389,45982,355.2,54,5,Ballarat,2022-08-29,2022-08-30
Banyule (C),VIC188,131631,333,52502,253,52,5,Banyule,2022-08-29,2022-08-30
Bass Coast (S),VIC173,36320,78,13015,214.8,9,5,Bass Coast,2022-08-29,2022-08-30
Baw Baw (S),VIC194,53396,134,20139,251,24,5,Baw Baw,2022-08-29,2022-08-30
Bayside (C),VIC182,106862,216,40109,202.1,37,5,Bayside,2022-08-29,2022-08-30
Benalla (RC),VIC199,14037,92,4321,655.4,19,6,Benalla,2022-08-29,2022-08-30
Boroondara (C),VIC201,183199,338,65697,184.5,54,4,Boroondara,2022-08-29,2022-08-30
Brimbank (C),VIC189,209523,403,74725,192.3,76,4,Brimbank,2022-08-29,2022-08-30
Buloke (S),VIC183,6124,27,1425,440.9,5,5,Buloke,2022-08-29,2022-08-30
Campaspe (S),VIC239,37622,117,12049,311,21,5,Campaspe,2022-08-29,2022-08-30
Cardinia (S),VIC212,112159,273,46511,243.4,51,5,Cardinia,2022-08-29,2022-08-30
Casey (C),VIC213,353872,871,146024,246.1,172,5,Casey,2022-08-29,2022-08-30
Central Goldfields (S),VIC169,13186,32,3792,242.7,7,5,Central Goldfields,2022-08-29,2022-08-30
Colac-Otway (S),VIC224,21564,54,6605,250.4,5,5,Colac-Otway,2022-08-29,2022-08-30
Corangamite (S),VIC231,16020,21,4290,131.1,7,4,Corangamite,2022-08-29,2022-08-30
Darebin (C),VIC205,164184,359,65609,218.7,65,5,Darebin,2022-08-29,2022-08-30
East Gippsland (S),VIC243,47316,89,13208,188.1,14,4,East Gippsland,2022-08-29,2022-08-30
Frankston (C),VIC227,142643,463,55274,324.6,79,5,Frankston,2022-08-29,2022-08-30
Gannawarra (S),VIC214,10472,17,2635,162.3,5,4,Gannawarra,2022-08-29,2022-08-30
Glen Eira (C),VIC177,156511,368,62777,235.1,63,5,Glen Eira,2022-08-29,2022-08-30
Glenelg (S),VIC223,19674,41,5658,208.4,7,5,Glenelg,2022-08-29,2022-08-30
Golden Plains (S),VIC230,23722,94,8777,396.3,14,5,Golden Plains,2022-08-29,2022-08-30
Greater Bendigo (C),VIC193,118093,323,46959,273.5,63,5,Greater Bendigo,2022-08-29,2022-08-30
Greater Dandenong (C),VIC247,168201,356,57675,211.7,77,5,Greater Dandenong,2022-08-29,2022-08-30
Greater Geelong (C),VIC215,258934,781,106853,301.6,126,5,Greater Geelong,2022-08-29,2022-08-30
Greater Shepparton (C),VIC93,66498,135,24769,203,34,5,Greater Shepparton,2022-08-29,2022-08-30
Hepburn (S),VIC94,15975,43,4739,269.2,3,5,Hepburn,2022-08-29,2022-08-30
Hindmarsh (S),VIC152,5588,22,1617,393.7,5,5,Hindmarsh,2022-08-29,2022-08-30
Hobsons Bay (C),VIC235,97751,211,37093,215.9,36,5,Hobsons Bay,2022-08-29,2022-08-30
Horsham (RC),VIC153,19921,40,7127,200.8,6,5,Horsham,2022-08-29,2022-08-30
Hume (C),VIC198,233471,462,97596,197.9,95,4,Hume,2022-08-29,2022-08-30
Indigo (S),VIC191,16701,50,5441,299.4,10,5,Indigo,2022-08-29,2022-08-30
Interstate,,,31,6062,0,3,0,,2022-08-29,2022-08-30
Kingston (C),VIC226,165782,404,64107,243.7,84,5,Kingston,2022-08-29,2022-08-30
Knox (C),VIC209,164538,430,63601,261.3,78,5,Knox,2022-08-29,2022-08-30
Latrobe (C),VIC219,75561,198,28085,262,42,5,Latrobe,2022-08-29,2022-08-30
Loddon (S),VIC185,7504,21,1846,279.9,4,5,Loddon,2022-08-29,2022-08-30
Macedon Ranges (S),VIC228,50231,103,18126,205.1,22,5,Macedon Ranges,2022-08-29,2022-08-30
Manningham (C),VIC195,127573,269,47495,210.9,50,5,Manningham,2022-08-29,2022-08-30
Mansfield (S),VIC244,9176,12,3220,130.8,2,4,Mansfield,2022-08-29,2022-08-30
Maribyrnong (C),VIC234,93448,173,38695,185.1,33,4,Maribyrnong,2022-08-29,2022-08-30
Maroondah (C),VIC207,118558,290,46902,244.6,52,5,Maroondah,2022-08-29,2022-08-30
Melbourne (C),VIC132,178955,370,71152,206.8,63,5,Melbourne,2022-08-29,2022-08-30
Melton (C),VIC237,164895,564,77997,342,120,5,Melton,2022-08-29,2022-08-30
Mildura (RC),VIC222,55777,156,20579,279.7,36,5,Mildura,2022-08-29,2022-08-30
Mitchell (S),VIC211,46082,149,18633,323.3,30,5,Mitchell,2022-08-29,2022-08-30
Moira (S),VIC190,29925,72,9410,240.6,10,5,Moira,2022-08-29,2022-08-30
Monash (C),VIC210,202847,505,74324,249,81,5,Monash,2022-08-29,2022-08-30
Moonee Valley (C),VIC121,130294,223,51753,171.2,45,4,Moonee Valley,2022-08-29,2022-08-30
Moorabool (S),VIC236,35049,118,13699,336.7,28,5,Moorabool,2022-08-29,2022-08-30
Moreland (C),VIC131,185767,331,77530,178.2,68,4,Moreland,2022-08-29,2022-08-30
Mornington Peninsula (S),VIC204,167636,453,61003,270.2,84,5,Mornington Peninsula,2022-08-29,2022-08-30
Mount Alexander (S),VIC105,19754,54,6557,273.4,9,5,Mount Alexander,2022-08-29,2022-08-30
Moyne (S),VIC229,16953,49,5254,289,10,5,Moyne,2022-08-29,2022-08-30
Murrindindi (S),VIC250,14570,24,4118,164.7,5,4,Murrindindi,2022-08-29,2022-08-30
Nillumbik (S),VIC216,65094,185,25687,284.2,25,5,Nillumbik,2022-08-29,2022-08-30
Northern Grampians (S),VIC166,11402,29,3800,254.3,3,5,Northern Grampians,2022-08-29,2022-08-30
Overseas,,,4,191,0,0,0,,2022-08-29,2022-08-30
Overseas Traveller,,,0,621,0,0,0,,2022-08-29,2022-08-30
Port Phillip (C),VIC208,115601,222,44370,192,49,4,Port Phillip,2022-08-29,2022-08-30
Pyrenees (S),VIC217,7472,2,2201,26.8,1,2,Pyrenees,2022-08-29,2022-08-30
Queenscliffe (B),VIC238,2940,3,1102,102,0,4,Queenscliffe,2022-08-29,2022-08-30
South Gippsland (S),VIC178,29914,57,9333,190.5,15,4,South Gippsland,2022-08-29,2022-08-30
Southern Grampians (S),VIC233,16100,34,5218,211.2,1,5,Southern Grampians,2022-08-29,2022-08-30
Stonnington (C),VIC203,117768,200,42498,169.8,39,4,Stonnington,2022-08-29,2022-08-30
Strathbogie (S),VIC110,10781,32,2967,296.8,3,5,Strathbogie,2022-08-29,2022-08-30
Surf Coast (S),VIC225,33456,72,14513,215.2,13,5,Surf Coast,2022-08-29,2022-08-30
Swan Hill (RC),VIC180,20649,57,6590,276,12,5,Swan Hill,2022-08-29,2022-08-30
Towong (S),VIC187,6040,15,1551,248.3,2,5,Towong,2022-08-29,2022-08-30
Unincorporated Vic,,,4,442,0,0,0,,2022-08-29,2022-08-30
Unknown,,,49,5774,0,6,0,,2022-08-29,2022-08-30
Wangaratta (RC),VIC186,29187,90,10126,308.4,16,5,Wangaratta,2022-08-29,2022-08-30
Warrnambool (C),VIC179,35181,124,12816,352.5,24,5,Warrnambool,2022-08-29,2022-08-30
Wellington (S),VIC218,44380,119,14554,268.1,26,5,Wellington,2022-08-29,2022-08-30
West Wimmera (S),VIC232,3841,8,885,208.3,1,5,West Wimmera,2022-08-29,2022-08-30
Whitehorse (C),VIC196,178739,354,65130,198.1,67,4,Whitehorse,2022-08-29,2022-08-30
Whittlesea (C),VIC197,230238,565,95496,245.4,104,5,Whittlesea,2022-08-29,2022-08-30
Wodonga (C),VIC192,42083,119,16725,282.8,21,5,Wodonga,2022-08-29,2022-08-30
