LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Alpine (S),VIC242,12814,11,4273,85.8,2,3,Alpine,2022-09-29,2022-09-30,12
Ararat (RC),VIC220,11845,12,3760,101.3,2,4,Ararat,2022-09-29,2022-09-30,14
Ballarat (C),VIC241,109505,172,47197,157.1,31,4,Ballarat,2022-09-29,2022-09-30,207
Banyule (C),VIC188,131631,165,53454,125.4,31,4,Banyule,2022-09-29,2022-09-30,188
Bass Coast (S),VIC173,36320,48,13321,132.2,9,4,Bass Coast,2022-09-29,2022-09-30,58
Baw Baw (S),VIC194,53396,52,20552,97.4,2,3,Baw Baw,2022-09-29,2022-09-30,63
Bayside (C),VIC182,106862,100,40762,93.6,26,3,Bayside,2022-09-29,2022-09-30,109
Benalla (RC),VIC199,14037,25,4547,178.1,3,4,Benalla,2022-09-29,2022-09-30,31
Boroondara (C),VIC201,183199,198,66934,108.1,30,4,Boroondara,2022-09-29,2022-09-30,227
Brimbank (C),VIC189,209523,183,75932,87.3,32,3,Brimbank,2022-09-29,2022-09-30,233
Buloke (S),VIC183,6124,17,1493,277.6,5,5,Buloke,2022-09-29,2022-09-30,18
Campaspe (S),VIC239,37622,68,12429,180.7,3,4,Campaspe,2022-09-29,2022-09-30,79
Cardinia (S),VIC212,112159,144,47390,128.4,26,4,Cardinia,2022-09-29,2022-09-30,168
Casey (C),VIC213,353872,410,148684,115.9,77,4,Casey,2022-09-29,2022-09-30,469
Central Goldfields (S),VIC169,13186,10,3883,75.8,0,3,Central Goldfields,2022-09-29,2022-09-30,11
Colac-Otway (S),VIC224,21564,17,6723,78.8,3,3,Colac-Otway,2022-09-29,2022-09-30,19
Corangamite (S),VIC231,16020,15,4361,93.6,1,3,Corangamite,2022-09-29,2022-09-30,17
Darebin (C),VIC205,164184,197,66866,120,33,4,Darebin,2022-09-29,2022-09-30,235
East Gippsland (S),VIC243,47316,79,13647,167,19,4,East Gippsland,2022-09-29,2022-09-30,89
Frankston (C),VIC227,142643,135,56478,94.6,14,3,Frankston,2022-09-29,2022-09-30,171
Gannawarra (S),VIC214,10472,18,2742,171.9,7,4,Gannawarra,2022-09-29,2022-09-30,21
Glen Eira (C),VIC177,156511,173,63882,110.5,24,4,Glen Eira,2022-09-29,2022-09-30,196
Glenelg (S),VIC223,19674,31,5804,157.6,3,4,Glenelg,2022-09-29,2022-09-30,34
Golden Plains (S),VIC230,23722,30,9004,126.5,3,4,Golden Plains,2022-09-29,2022-09-30,39
Greater Bendigo (C),VIC193,118093,226,48143,191.4,33,4,Greater Bendigo,2022-09-29,2022-09-30,277
Greater Dandenong (C),VIC247,168201,184,58603,109.4,21,4,Greater Dandenong,2022-09-29,2022-09-30,208
Greater Geelong (C),VIC215,258934,436,109427,168.4,88,4,Greater Geelong,2022-09-29,2022-09-30,500
Greater Shepparton (C),VIC93,66498,115,25533,172.9,27,4,Greater Shepparton,2022-09-29,2022-09-30,136
Hepburn (S),VIC94,15975,27,4870,169,5,4,Hepburn,2022-09-29,2022-09-30,30
Hindmarsh (S),VIC152,5588,12,1661,214.7,2,5,Hindmarsh,2022-09-29,2022-09-30,15
Hobsons Bay (C),VIC235,97751,86,37775,88,14,3,Hobsons Bay,2022-09-29,2022-09-30,111
Horsham (RC),VIC153,19921,27,7278,135.5,2,4,Horsham,2022-09-29,2022-09-30,33
Hume (C),VIC198,233471,238,99186,101.9,40,4,Hume,2022-09-29,2022-09-30,286
Indigo (S),VIC191,16701,28,5621,167.7,1,4,Indigo,2022-09-29,2022-09-30,29
Interstate,,,15,6137,0,4,0,,2022-09-29,2022-09-30,16
Kingston (C),VIC226,165782,188,65268,113.4,25,4,Kingston,2022-09-29,2022-09-30,213
Knox (C),VIC209,164538,256,65083,155.6,38,4,Knox,2022-09-29,2022-09-30,301
Latrobe (C),VIC219,75561,160,28934,211.7,26,5,Latrobe,2022-09-29,2022-09-30,181
Loddon (S),VIC185,7504,10,1906,133.3,0,4,Loddon,2022-09-29,2022-09-30,10
Macedon Ranges (S),VIC228,50231,79,18533,157.3,12,4,Macedon Ranges,2022-09-29,2022-09-30,93
Manningham (C),VIC195,127573,115,48340,90.1,22,3,Manningham,2022-09-29,2022-09-30,133
Mansfield (S),VIC244,9176,13,3270,141.7,0,4,Mansfield,2022-09-29,2022-09-30,18
Maribyrnong (C),VIC234,93448,118,39359,126.3,17,4,Maribyrnong,2022-09-29,2022-09-30,148
Maroondah (C),VIC207,118558,153,47936,129.1,23,4,Maroondah,2022-09-29,2022-09-30,185
Melbourne (C),VIC132,178955,260,72699,145.3,49,4,Melbourne,2022-09-29,2022-09-30,312
Melton (C),VIC237,164895,203,79537,123.1,29,4,Melton,2022-09-29,2022-09-30,262
Merri-bek (C),VIC131,185767,232,78782,124.9,46,4,Merri-bek,2022-09-29,2022-09-30,264
Mildura (RC),VIC222,55777,65,21131,116.5,7,4,Mildura,2022-09-29,2022-09-30,80
Mitchell (S),VIC211,46082,77,19102,167.1,13,4,Mitchell,2022-09-29,2022-09-30,87
Moira (S),VIC190,29925,43,9646,143.7,9,4,Moira,2022-09-29,2022-09-30,53
Monash (C),VIC210,202847,249,76082,122.8,35,4,Monash,2022-09-29,2022-09-30,282
Moonee Valley (C),VIC121,130294,134,52589,102.8,19,4,Moonee Valley,2022-09-29,2022-09-30,156
Moorabool (S),VIC236,35049,71,14103,202.6,10,5,Moorabool,2022-09-29,2022-09-30,87
Moreland (C),VIC131,185767,0,0,0,0,0,Moreland,2022-09-29,2022-09-30,0
Mornington Peninsula (S),VIC204,167636,184,62226,109.8,26,4,Mornington Peninsula,2022-09-29,2022-09-30,207
Mount Alexander (S),VIC105,19754,20,6738,101.2,6,4,Mount Alexander,2022-09-29,2022-09-30,26
Moyne (S),VIC229,16953,11,5392,64.9,0,3,Moyne,2022-09-29,2022-09-30,13
Murrindindi (S),VIC250,14570,12,4205,82.4,2,3,Murrindindi,2022-09-29,2022-09-30,16
Nillumbik (S),VIC216,65094,88,26184,135.2,14,4,Nillumbik,2022-09-29,2022-09-30,95
Northern Grampians (S),VIC166,11402,23,3911,201.7,5,5,Northern Grampians,2022-09-29,2022-09-30,23
Overseas,,,3,202,0,1,0,,2022-09-29,2022-09-30,2
Overseas Traveller,,,0,621,0,0,0,,2022-09-29,2022-09-30,0
Port Phillip (C),VIC208,115601,119,45089,102.9,18,4,Port Phillip,2022-09-29,2022-09-30,138
Pyrenees (S),VIC217,7472,7,2243,93.7,1,3,Pyrenees,2022-09-29,2022-09-30,8
Queenscliffe (B),VIC238,2940,4,1130,136.1,0,4,Queenscliffe,2022-09-29,2022-09-30,4
South Gippsland (S),VIC178,29914,44,9507,147.1,9,4,South Gippsland,2022-09-29,2022-09-30,46
Southern Grampians (S),VIC233,16100,10,5316,62.1,2,3,Southern Grampians,2022-09-29,2022-09-30,12
Stonnington (C),VIC203,117768,117,43219,99.3,17,3,Stonnington,2022-09-29,2022-09-30,131
Strathbogie (S),VIC110,10781,29,3038,269,1,5,Strathbogie,2022-09-29,2022-09-30,29
Surf Coast (S),VIC225,33456,36,14786,107.6,4,4,Surf Coast,2022-09-29,2022-09-30,47
Swan Hill (RC),VIC180,20649,25,6743,121.1,4,4,Swan Hill,2022-09-29,2022-09-30,31
Towong (S),VIC187,6040,10,1596,165.6,1,4,Towong,2022-09-29,2022-09-30,12
Unincorporated Vic,,,1,452,0,0,0,,2022-09-29,2022-09-30,1
Unknown,,,11,5855,0,5,0,,2022-09-29,2022-09-30,15
Wangaratta (RC),VIC186,29187,51,10406,174.7,3,4,Wangaratta,2022-09-29,2022-09-30,58
Warrnambool (C),VIC179,35181,45,13150,127.9,2,4,Warrnambool,2022-09-29,2022-09-30,52
Wellington (S),VIC218,44380,68,14925,153.2,10,4,Wellington,2022-09-29,2022-09-30,77
West Wimmera (S),VIC232,3841,2,908,52.1,0,3,West Wimmera,2022-09-29,2022-09-30,2
Whitehorse (C),VIC196,178739,237,66554,132.6,53,4,Whitehorse,2022-09-29,2022-09-30,272
Whittlesea (C),VIC197,230238,271,97173,117.7,36,4,Whittlesea,2022-09-29,2022-09-30,313
Wodonga (C),VIC192,42083,60,17154,142.6,11,4,Wodonga,2022-09-29,2022-09-30,73
Wyndham (C),VIC221,270487,356,119517,131.6,73,4,Wyndham,2022-09-29,2022-09-30,425
Yarra (C),VIC202,101495,137,42184,135,27,4,Yarra,2022-09-29,2022-09-30,147
Yarra Ranges (S),VIC206,159462,228,60862,143,35,4,Yarra Ranges,2022-09-29,2022-09-30,268
Yarriambiack (S),VIC200,6639,9,1818,135.6,1,4,Yarriambiack,2022-09-29,2022-09-30,10
