LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,38,4211,296.6,6,5,Alpine,2022-08-31,2022-09-01
Ararat (RC),VIC220,11845,20,3683,168.8,5,4,Ararat,2022-08-31,2022-09-01
Ballarat (C),VIC241,109505,370,46106,337.9,64,5,Ballarat,2022-08-31,2022-09-01
Banyule (C),VIC188,131631,299,52593,227.2,42,5,Banyule,2022-08-31,2022-09-01
Bass Coast (S),VIC173,36320,78,13045,214.8,11,5,Bass Coast,2022-08-31,2022-09-01
Baw Baw (S),VIC194,53396,120,20184,224.7,16,5,Baw Baw,2022-08-31,2022-09-01
Bayside (C),VIC182,106862,194,40190,181.5,37,4,Bayside,2022-08-31,2022-09-01
Benalla (RC),VIC199,14037,89,4352,634,14,6,Benalla,2022-08-31,2022-09-01
Boroondara (C),VIC201,183199,314,65824,171.4,53,4,Boroondara,2022-08-31,2022-09-01
Brimbank (C),VIC189,209523,377,74851,179.9,59,4,Brimbank,2022-08-31,2022-09-01
Buloke (S),VIC183,6124,23,1429,375.6,1,5,Buloke,2022-08-31,2022-09-01
Campaspe (S),VIC239,37622,105,12097,279.1,25,5,Campaspe,2022-08-31,2022-09-01
Cardinia (S),VIC212,112159,247,46595,220.2,40,5,Cardinia,2022-08-31,2022-09-01
Casey (C),VIC213,353872,800,146286,226.1,134,5,Casey,2022-08-31,2022-09-01
Central Goldfields (S),VIC169,13186,23,3798,174.4,1,4,Central Goldfields,2022-08-31,2022-09-01
Colac-Otway (S),VIC224,21564,58,6632,269,19,5,Colac-Otway,2022-08-31,2022-09-01
Corangamite (S),VIC231,16020,16,4293,99.9,1,3,Corangamite,2022-08-31,2022-09-01
Darebin (C),VIC205,164184,319,65733,194.3,72,4,Darebin,2022-08-31,2022-09-01
East Gippsland (S),VIC243,47316,95,13251,200.8,19,5,East Gippsland,2022-08-31,2022-09-01
Frankston (C),VIC227,142643,415,55400,290.9,69,5,Frankston,2022-08-31,2022-09-01
Gannawarra (S),VIC214,10472,21,2649,200.5,4,5,Gannawarra,2022-08-31,2022-09-01
Glen Eira (C),VIC177,156511,342,62890,218.5,53,5,Glen Eira,2022-08-31,2022-09-01
Glenelg (S),VIC223,19674,44,5671,223.6,5,5,Glenelg,2022-08-31,2022-09-01
Golden Plains (S),VIC230,23722,74,8795,311.9,7,5,Golden Plains,2022-08-31,2022-09-01
