LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Alpine (S),VIC242,12814,8,4247,62.4,2,3,Alpine,2022-09-15,2022-09-16,13
Ararat (RC),VIC220,11845,17,3737,143.5,3,4,Ararat,2022-09-15,2022-09-16,19
Ballarat (C),VIC241,109505,234,46771,213.7,42,5,Ballarat,2022-09-15,2022-09-16,276
Banyule (C),VIC188,131631,211,53099,160.3,35,4,Banyule,2022-09-15,2022-09-16,242
Bass Coast (S),VIC173,36320,84,13213,231.3,10,5,Bass Coast,2022-09-15,2022-09-16,92
Baw Baw (S),VIC194,53396,91,20425,170.4,14,4,Baw Baw,2022-09-15,2022-09-16,107
Bayside (C),VIC182,106862,124,40540,116,18,4,Bayside,2022-09-15,2022-09-16,150
Benalla (RC),VIC199,14037,51,4476,363.3,11,5,Benalla,2022-09-15,2022-09-16,56
Boroondara (C),VIC201,183199,236,66491,128.8,48,4,Boroondara,2022-09-15,2022-09-16,271
Brimbank (C),VIC189,209523,234,75480,111.7,44,4,Brimbank,2022-09-15,2022-09-16,288
Buloke (S),VIC183,6124,17,1463,277.6,3,5,Buloke,2022-09-15,2022-09-16,18
Campaspe (S),VIC239,37622,48,12281,127.6,9,4,Campaspe,2022-09-15,2022-09-16,54
Cardinia (S),VIC212,112159,165,47064,147.1,28,4,Cardinia,2022-09-15,2022-09-16,200
Casey (C),VIC213,353872,502,147787,141.9,87,4,Casey,2022-09-15,2022-09-16,614
Central Goldfields (S),VIC169,13186,22,3856,166.8,2,4,Central Goldfields,2022-09-15,2022-09-16,32
Colac-Otway (S),VIC224,21564,11,6691,51,1,3,Colac-Otway,2022-09-15,2022-09-16,16
Corangamite (S),VIC231,16020,20,4330,124.8,5,4,Corangamite,2022-09-15,2022-09-16,22
Darebin (C),VIC205,164184,240,66428,146.2,37,4,Darebin,2022-09-15,2022-09-16,289
East Gippsland (S),VIC243,47316,100,13478,211.3,11,5,East Gippsland,2022-09-15,2022-09-16,110
Frankston (C),VIC227,142643,261,56093,183,46,4,Frankston,2022-09-15,2022-09-16,302
Gannawarra (S),VIC214,10472,27,2705,257.8,2,5,Gannawarra,2022-09-15,2022-09-16,28
Glen Eira (C),VIC177,156511,224,63476,143.1,39,4,Glen Eira,2022-09-15,2022-09-16,256
Glenelg (S),VIC223,19674,19,5743,96.6,3,3,Glenelg,2022-09-15,2022-09-16,27
Golden Plains (S),VIC230,23722,36,8932,151.8,3,4,Golden Plains,2022-09-15,2022-09-16,39
Greater Bendigo (C),VIC193,118093,237,47679,200.7,37,5,Greater Bendigo,2022-09-15,2022-09-16,268
Greater Dandenong (C),VIC247,168201,160,58223,95.1,28,3,Greater Dandenong,2022-09-15,2022-09-16,194
Greater Geelong (C),VIC215,258934,440,108446,169.9,68,4,Greater Geelong,2022-09-15,2022-09-16,528
Greater Shepparton (C),VIC93,66498,174,25263,261.7,33,5,Greater Shepparton,2022-09-15,2022-09-16,198
Hepburn (S),VIC94,15975,10,4814,62.6,5,3,Hepburn,2022-09-15,2022-09-16,12
Hindmarsh (S),VIC152,5588,4,1641,71.6,1,3,Hindmarsh,2022-09-15,2022-09-16,6
Hobsons Bay (C),VIC235,97751,135,37544,138.1,18,4,Hobsons Bay,2022-09-15,2022-09-16,163
Horsham (RC),VIC153,19921,35,7208,175.7,10,4,Horsham,2022-09-15,2022-09-16,40
Hume (C),VIC198,233471,301,98617,128.9,63,4,Hume,2022-09-15,2022-09-16,365
Indigo (S),VIC191,16701,56,5566,335.3,4,5,Indigo,2022-09-15,2022-09-16,63
Interstate,,,12,6109,0,4,0,,2022-09-15,2022-09-16,14
Kingston (C),VIC226,165782,210,64856,126.7,43,4,Kingston,2022-09-15,2022-09-16,249
Knox (C),VIC209,164538,292,64517,177.5,59,4,Knox,2022-09-15,2022-09-16,340
Latrobe (C),VIC219,75561,128,28581,169.4,18,4,Latrobe,2022-09-15,2022-09-16,156
Loddon (S),VIC185,7504,8,1865,106.6,1,4,Loddon,2022-09-15,2022-09-16,9
Macedon Ranges (S),VIC228,50231,63,18357,125.4,7,4,Macedon Ranges,2022-09-15,2022-09-16,71
Manningham (C),VIC195,127573,163,48042,127.8,25,4,Manningham,2022-09-15,2022-09-16,199
Mansfield (S),VIC244,9176,8,3248,87.2,2,3,Mansfield,2022-09-15,2022-09-16,10
Maribyrnong (C),VIC234,93448,112,39110,119.9,15,4,Maribyrnong,2022-09-15,2022-09-16,142
