LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,75,3220,585.3,11,6,Alpine,16/06/2022,2022-06-17
Ararat (RC),VIC220,11845,42,2676,354.6,10,5,Ararat,16/06/2022,2022-06-17
Ballarat (C),VIC241,109505,758,34953,692.2,146,6,Ballarat,16/06/2022,2022-06-17
Banyule (C),VIC188,131631,969,40943,736.1,189,6,Banyule,16/06/2022,2022-06-17
Bass Coast (S),VIC173,36320,334,10070,919.6,61,6,Bass Coast,16/06/2022,2022-06-17
Baw Baw (S),VIC194,53396,389,15491,728.5,81,6,Baw Baw,16/06/2022,2022-06-17
Bayside (C),VIC182,106862,604,32173,565.2,105,6,Bayside,16/06/2022,2022-06-17
Benalla (RC),VIC199,14037,81,3185,577,16,6,Benalla,16/06/2022,2022-06-17
Boroondara (C),VIC201,183199,1047,51084,571.5,177,6,Boroondara,16/06/2022,2022-06-17
Brimbank (C),VIC189,209523,795,63157,379.4,152,5,Brimbank,16/06/2022,2022-06-17
Buloke (S),VIC183,6124,28,1008,457.2,2,5,Buloke,16/06/2022,2022-06-17
Campaspe (S),VIC239,37622,233,9176,619.3,45,6,Campaspe,16/06/2022,2022-06-17
Cardinia (S),VIC212,112159,697,36452,621.4,137,6,Cardinia,16/06/2022,2022-06-17
Casey (C),VIC213,353872,1927,117222,544.5,348,6,Casey,16/06/2022,2022-06-17
Central Goldfields (S),VIC169,13186,73,2906,553.6,14,6,Central Goldfields,16/06/2022,2022-06-17
Colac-Otway (S),VIC224,21564,95,4970,440.5,23,5,Colac-Otway,16/06/2022,2022-06-17
Corangamite (S),VIC231,16020,80,3273,499.4,16,5,Corangamite,16/06/2022,2022-06-17
Darebin (C),VIC205,164184,1101,51807,670.6,204,6,Darebin,16/06/2022,2022-06-17
East Gippsland (S),VIC243,47316,288,10037,608.7,53,6,East Gippsland,16/06/2022,2022-06-17
Frankston (C),VIC227,142643,939,43254,658.3,181,6,Frankston,16/06/2022,2022-06-17
Gannawarra (S),VIC214,10472,82,1902,783,14,6,Gannawarra,16/06/2022,2022-06-17
Glen Eira (C),VIC177,156511,913,50145,583.3,186,6,Glen Eira,16/06/2022,2022-06-17
Glenelg (S),VIC223,19674,199,4269,1011.5,31,7,Glenelg,16/06/2022,2022-06-17
Golden Plains (S),VIC230,23722,188,6646,792.5,32,6,Golden Plains,16/06/2022,2022-06-17
Greater Bendigo (C),VIC193,118093,1024,34611,867.1,178,6,Greater Bendigo,16/06/2022,2022-06-17
Greater Dandenong (C),VIC247,168201,533,47820,316.9,106,5,Greater Dandenong,16/06/2022,2022-06-17
Greater Geelong (C),VIC215,258934,2379,80966,918.8,478,6,Greater Geelong,16/06/2022,2022-06-17
Greater Shepparton (C),VIC93,66498,365,18964,548.9,77,6,Greater Shepparton,16/06/2022,2022-06-17
Hepburn (S),VIC94,15975,97,3529,607.2,14,6,Hepburn,16/06/2022,2022-06-17
Hindmarsh (S),VIC152,5588,39,1243,697.9,5,6,Hindmarsh,16/06/2022,2022-06-17
Hobsons Bay (C),VIC235,97751,557,29072,569.8,105,6,Hobsons Bay,16/06/2022,2022-06-17
Horsham (RC),VIC153,19921,196,5318,983.9,45,6,Horsham,16/06/2022,2022-06-17
Hume (C),VIC198,233471,1144,81848,490,183,5,Hume,16/06/2022,2022-06-17
Indigo (S),VIC191,16701,126,4145,754.4,22,6,Indigo,16/06/2022,2022-06-17
Interstate,,,63,5293,0,28,0,,16/06/2022,2022-06-17
Kingston (C),VIC226,165782,958,50794,577.9,213,6,Kingston,16/06/2022,2022-06-17
Knox (C),VIC209,164538,1108,47914,673.4,221,6,Knox,16/06/2022,2022-06-17
Latrobe (C),VIC219,75561,477,21633,631.3,96,6,Latrobe,16/06/2022,2022-06-17
Loddon (S),VIC185,7504,51,1375,679.6,7,6,Loddon,16/06/2022,2022-06-17
