postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,367,17566,966.3,82,6,01/06/2022,2022-06-02
3001,0,0,0,0,0,0,01/06/2022,2022-06-02
3002,4957,43,1533,867.5,11,6,01/06/2022,2022-06-02
3003,5516,76,3238,1377.8,12,7,01/06/2022,2022-06-02
3004,9311,93,3891,998.8,18,6,01/06/2022,2022-06-02
3005,523,0,0,0,0,0,01/06/2022,2022-06-02
3006,18811,212,8012,1127,39,7,01/06/2022,2022-06-02
3008,10438,100,4512,958,17,6,01/06/2022,2022-06-02
3010,1595,0,4,0,0,0,01/06/2022,2022-06-02
3011,21464,215,7986,1001.7,30,7,01/06/2022,2022-06-02
3012,26295,220,9472,836.7,31,6,01/06/2022,2022-06-02
3013,14967,140,5363,935.4,35,6,01/06/2022,2022-06-02
3015,17472,177,6175,1013,29,7,01/06/2022,2022-06-02
3016,15558,156,4777,1002.7,29,7,01/06/2022,2022-06-02
3018,12685,132,3600,1040.6,29,7,01/06/2022,2022-06-02
3019,9199,50,3186,543.5,13,6,01/06/2022,2022-06-02
3020,44784,283,13814,631.9,40,6,01/06/2022,2022-06-02
3021,54190,246,15660,454,50,5,01/06/2022,2022-06-02
3022,3102,14,1062,451.3,2,5,01/06/2022,2022-06-02
3023,63974,454,22606,709.7,92,6,01/06/2022,2022-06-02
3024,23852,260,10963,1090.1,46,7,01/06/2022,2022-06-02
3025,12155,92,4322,756.9,21,6,01/06/2022,2022-06-02
3026,72,45,3113,62500,11,7,01/06/2022,2022-06-02
3027,6650,71,2965,1067.7,19,7,01/06/2022,2022-06-02
3028,29198,194,8195,664.4,36,6,01/06/2022,2022-06-02
3029,93946,837,39883,890.9,159,6,01/06/2022,2022-06-02
3030,100311,1151,35514,1147.4,217,7,01/06/2022,2022-06-02
3031,18533,200,6127,1079.2,49,7,01/06/2022,2022-06-02
3032,29449,246,10095,835.3,41,6,01/06/2022,2022-06-02
3033,14512,132,4683,909.6,28,6,01/06/2022,2022-06-02
3034,11633,104,3972,894,20,6,01/06/2022,2022-06-02
3036,5921,52,1845,878.2,13,6,01/06/2022,2022-06-02
3037,51156,347,17563,678.3,62,6,01/06/2022,2022-06-02
3038,27258,154,8439,565,27,6,01/06/2022,2022-06-02
3039,14252,144,5405,1010.4,29,7,01/06/2022,2022-06-02
3040,25939,205,8934,790.3,29,6,01/06/2022,2022-06-02
3041,12412,118,4358,950.7,19,6,01/06/2022,2022-06-02
3042,15762,118,5461,748.6,24,6,01/06/2022,2022-06-02
3043,17715,120,5929,677.4,18,6,01/06/2022,2022-06-02
3044,27116,287,9880,1058.4,44,7,01/06/2022,2022-06-02
3045,100,1,114,1000,0,7,01/06/2022,2022-06-02
3046,34061,302,12480,886.6,56,6,01/06/2022,2022-06-02
3047,20901,117,6957,559.8,21,6,01/06/2022,2022-06-02
3048,18025,77,5690,427.2,16,5,01/06/2022,2022-06-02
3049,9266,80,3458,863.4,16,6,01/06/2022,2022-06-02
3050,119,0,0,0,0,0,01/06/2022,2022-06-02
3051,14939,123,5091,823.3,21,6,01/06/2022,2022-06-02
3052,5697,55,2609,965.4,11,6,01/06/2022,2022-06-02
3053,18538,135,6105,728.2,36,6,01/06/2022,2022-06-02
