LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,90,2294,702.4,15,6,Alpine,26/04/2022,2022-04-27
Ararat (RC),VIC220,11845,110,1792,928.7,16,6,Ararat,26/04/2022,2022-04-27
Ballarat (C),VIC241,109505,1007,23261,919.6,202,6,Ballarat,26/04/2022,2022-04-27
Banyule (C),VIC188,131631,1197,30095,909.4,242,6,Banyule,26/04/2022,2022-04-27
Bass Coast (S),VIC173,36320,268,6691,737.9,40,6,Bass Coast,26/04/2022,2022-04-27
Baw Baw (S),VIC194,53396,400,11088,749.1,90,6,Baw Baw,26/04/2022,2022-04-27
Bayside (C),VIC182,106862,799,24584,747.7,155,6,Bayside,26/04/2022,2022-04-27
Benalla (RC),VIC199,14037,111,2244,790.8,20,6,Benalla,26/04/2022,2022-04-27
Boroondara (C),VIC201,183199,1505,37809,821.5,328,6,Boroondara,26/04/2022,2022-04-27
Brimbank (C),VIC189,209523,1341,52881,640,198,6,Brimbank,26/04/2022,2022-04-27
Buloke (S),VIC183,6124,24,659,391.9,8,5,Buloke,26/04/2022,2022-04-27
Campaspe (S),VIC239,37622,197,6830,523.6,45,6,Campaspe,26/04/2022,2022-04-27
Cardinia (S),VIC212,112159,877,28250,781.9,185,6,Cardinia,26/04/2022,2022-04-27
Casey (C),VIC213,353872,2593,93186,732.8,629,6,Casey,26/04/2022,2022-04-27
Central Goldfields (S),VIC169,13186,94,1887,712.9,19,6,Central Goldfields,26/04/2022,2022-04-27
Colac-Otway (S),VIC224,21564,122,3738,565.8,27,6,Colac-Otway,26/04/2022,2022-04-27
Corangamite (S),VIC231,16020,96,2385,599.3,13,6,Corangamite,26/04/2022,2022-04-27
Darebin (C),VIC205,164184,1492,39194,908.7,314,6,Darebin,26/04/2022,2022-04-27
East Gippsland (S),VIC243,47316,357,6390,754.5,84,6,East Gippsland,26/04/2022,2022-04-27
Frankston (C),VIC227,142643,1122,32454,786.6,219,6,Frankston,26/04/2022,2022-04-27
Gannawarra (S),VIC214,10472,44,1235,420.2,9,5,Gannawarra,26/04/2022,2022-04-27
Glen Eira (C),VIC177,156511,1311,39026,837.6,295,6,Glen Eira,26/04/2022,2022-04-27
Glenelg (S),VIC223,19674,133,2901,676,20,6,Glenelg,26/04/2022,2022-04-27
Golden Plains (S),VIC230,23722,189,4509,796.7,37,6,Golden Plains,26/04/2022,2022-04-27
Greater Bendigo (C),VIC193,118093,1182,23640,1000.9,228,7,Greater Bendigo,26/04/2022,2022-04-27
Greater Dandenong (C),VIC247,168201,1076,39279,639.7,216,6,Greater Dandenong,26/04/2022,2022-04-27
Greater Geelong (C),VIC215,258934,2218,57191,856.6,405,6,Greater Geelong,26/04/2022,2022-04-27
Greater Shepparton (C),VIC93,66498,449,14002,675.2,101,6,Greater Shepparton,26/04/2022,2022-04-27
Hepburn (S),VIC94,15975,119,2288,744.9,29,6,Hepburn,26/04/2022,2022-04-27
Hindmarsh (S),VIC152,5588,49,688,876.9,11,6,Hindmarsh,26/04/2022,2022-04-27
Hobsons Bay (C),VIC235,97751,733,21935,749.9,162,6,Hobsons Bay,26/04/2022,2022-04-27
Horsham (RC),VIC153,19921,241,3553,1209.8,49,7,Horsham,26/04/2022,2022-04-27
Hume (C),VIC198,233471,1389,68826,594.9,234,6,Hume,26/04/2022,2022-04-27
Indigo (S),VIC191,16701,131,2504,784.4,23,6,Indigo,26/04/2022,2022-04-27
Interstate,,,67,4419,0,41,0,,26/04/2022,2022-04-27
