LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,75,3145,585.3,11,6,Alpine,10/06/2022,2022-06-11
Ararat (RC),VIC220,11845,76,2637,641.6,8,6,Ararat,10/06/2022,2022-06-11
Ballarat (C),VIC241,109505,984,34269,898.6,94,6,Ballarat,10/06/2022,2022-06-11
Banyule (C),VIC188,131631,1054,40022,800.7,118,6,Banyule,10/06/2022,2022-06-11
Bass Coast (S),VIC173,36320,285,9762,784.7,47,6,Bass Coast,10/06/2022,2022-06-11
Baw Baw (S),VIC194,53396,401,15119,751,61,6,Baw Baw,10/06/2022,2022-06-11
Bayside (C),VIC182,106862,721,31595,674.7,102,6,Bayside,10/06/2022,2022-06-11
Benalla (RC),VIC199,14037,125,3112,890.5,13,6,Benalla,10/06/2022,2022-06-11
Boroondara (C),VIC201,183199,1293,50069,705.8,156,6,Boroondara,10/06/2022,2022-06-11
Brimbank (C),VIC189,209523,891,62403,425.3,110,5,Brimbank,10/06/2022,2022-06-11
Buloke (S),VIC183,6124,25,986,408.2,7,5,Buloke,10/06/2022,2022-06-11
Campaspe (S),VIC239,37622,215,8953,571.5,32,6,Campaspe,10/06/2022,2022-06-11
Cardinia (S),VIC212,112159,790,35793,704.4,80,6,Cardinia,10/06/2022,2022-06-11
Casey (C),VIC213,353872,2188,115406,618.3,316,6,Casey,10/06/2022,2022-06-11
Central Goldfields (S),VIC169,13186,101,2833,766,10,6,Central Goldfields,10/06/2022,2022-06-11
Colac-Otway (S),VIC224,21564,96,4874,445.2,10,5,Colac-Otway,10/06/2022,2022-06-11
Corangamite (S),VIC231,16020,80,3197,499.4,7,5,Corangamite,10/06/2022,2022-06-11
Darebin (C),VIC205,164184,1244,50785,757.7,184,6,Darebin,10/06/2022,2022-06-11
East Gippsland (S),VIC243,47316,333,9757,703.8,39,6,East Gippsland,10/06/2022,2022-06-11
Frankston (C),VIC227,142643,983,42364,689.1,129,6,Frankston,10/06/2022,2022-06-11
Gannawarra (S),VIC214,10472,78,1815,744.8,6,6,Gannawarra,10/06/2022,2022-06-11
Glen Eira (C),VIC177,156511,1054,49291,673.4,157,6,Glen Eira,10/06/2022,2022-06-11
Glenelg (S),VIC223,19674,237,4088,1204.6,34,7,Glenelg,10/06/2022,2022-06-11
Golden Plains (S),VIC230,23722,276,6480,1163.5,35,7,Golden Plains,10/06/2022,2022-06-11
Greater Bendigo (C),VIC193,118093,1272,33729,1077.1,146,7,Greater Bendigo,10/06/2022,2022-06-11
Greater Dandenong (C),VIC247,168201,662,47298,393.6,80,5,Greater Dandenong,10/06/2022,2022-06-11
Greater Geelong (C),VIC215,258934,2618,78811,1011.1,362,7,Greater Geelong,10/06/2022,2022-06-11
Greater Shepparton (C),VIC93,66498,370,18607,556.4,39,6,Greater Shepparton,10/06/2022,2022-06-11
Hepburn (S),VIC94,15975,106,3436,663.5,10,6,Hepburn,10/06/2022,2022-06-11
Hindmarsh (S),VIC152,5588,46,1211,823.2,13,6,Hindmarsh,10/06/2022,2022-06-11
Hobsons Bay (C),VIC235,97751,706,28553,722.2,97,6,Hobsons Bay,10/06/2022,2022-06-11
Horsham (RC),VIC153,19921,202,5139,1014,34,7,Horsham,10/06/2022,2022-06-11
Hume (C),VIC198,233471,1229,80775,526.4,181,6,Hume,10/06/2022,2022-06-11
Indigo (S),VIC191,16701,155,4028,928.1,21,6,Indigo,10/06/2022,2022-06-11
Interstate,,,92,5249,0,24,0,,10/06/2022,2022-06-11
Kingston (C),VIC226,165782,1060,49864,639.4,119,6,Kingston,10/06/2022,2022-06-11
Knox (C),VIC209,164538,1256,46846,763.3,162,6,Knox,10/06/2022,2022-06-11
Latrobe (C),VIC219,75561,565,21193,747.7,88,6,Latrobe,10/06/2022,2022-06-11
Loddon (S),VIC185,7504,44,1325,586.4,5,6,Loddon,10/06/2022,2022-06-11
Macedon Ranges (S),VIC228,50231,318,13555,633.1,31,6,Macedon Ranges,10/06/2022,2022-06-11
Manningham (C),VIC195,127573,1020,35458,799.5,135,6,Manningham,10/06/2022,2022-06-11
Mansfield (S),VIC244,9176,80,2453,871.8,14,6,Mansfield,10/06/2022,2022-06-11
Maribyrnong (C),VIC234,93448,704,30537,753.4,109,6,Maribyrnong,10/06/2022,2022-06-11
Maroondah (C),VIC207,118558,1025,33901,864.6,144,6,Maroondah,10/06/2022,2022-06-11
Melbourne (C),VIC132,178955,1044,55434,583.4,135,6,Melbourne,10/06/2022,2022-06-11
Melton (C),VIC237,164895,1177,62945,713.8,161,6,Melton,10/06/2022,2022-06-11
Mildura (RC),VIC222,55777,305,15276,546.8,62,6,Mildura,10/06/2022,2022-06-11
Mitchell (S),VIC211,46082,310,13807,672.7,37,6,Mitchell,10/06/2022,2022-06-11
Moira (S),VIC190,29925,189,7388,631.6,21,6,Moira,10/06/2022,2022-06-11
Monash (C),VIC210,202847,1509,55235,743.9,197,6,Monash,10/06/2022,2022-06-11
Moonee Valley (C),VIC121,130294,845,41164,648.5,96,6,Moonee Valley,10/06/2022,2022-06-11
Moorabool (S),VIC236,35049,264,10617,753.2,29,6,Moorabool,10/06/2022,2022-06-11
