LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,88,3064,686.7,19,6,Alpine,03/06/2022,2022-06-04
Ararat (RC),VIC220,11845,104,2551,878,22,6,Ararat,03/06/2022,2022-06-04
Ballarat (C),VIC241,109505,1319,33316,1204.5,167,7,Ballarat,03/06/2022,2022-06-04
Banyule (C),VIC188,131631,1173,38949,891.1,174,6,Banyule,03/06/2022,2022-06-04
Bass Coast (S),VIC173,36320,424,9458,1167.4,61,7,Bass Coast,03/06/2022,2022-06-04
Baw Baw (S),VIC194,53396,458,14720,857.7,45,6,Baw Baw,03/06/2022,2022-06-04
Bayside (C),VIC182,106862,773,30825,723.4,125,6,Bayside,03/06/2022,2022-06-04
Benalla (RC),VIC199,14037,137,2984,976,22,6,Benalla,03/06/2022,2022-06-04
Boroondara (C),VIC201,183199,1474,48761,804.6,235,6,Boroondara,03/06/2022,2022-06-04
Brimbank (C),VIC189,209523,989,61502,472,148,5,Brimbank,03/06/2022,2022-06-04
Buloke (S),VIC183,6124,35,964,571.5,3,6,Buloke,03/06/2022,2022-06-04
Campaspe (S),VIC239,37622,299,8745,794.7,37,6,Campaspe,03/06/2022,2022-06-04
Cardinia (S),VIC212,112159,953,34996,849.7,134,6,Cardinia,03/06/2022,2022-06-04
Casey (C),VIC213,353872,2620,113246,740.4,368,6,Casey,03/06/2022,2022-06-04
Central Goldfields (S),VIC169,13186,117,2731,887.3,18,6,Central Goldfields,03/06/2022,2022-06-04
Colac-Otway (S),VIC224,21564,193,4775,895,28,6,Colac-Otway,03/06/2022,2022-06-04
Corangamite (S),VIC231,16020,117,3121,730.3,22,6,Corangamite,03/06/2022,2022-06-04
Darebin (C),VIC205,164184,1431,49508,871.6,220,6,Darebin,03/06/2022,2022-06-04
East Gippsland (S),VIC243,47316,406,9433,858.1,59,6,East Gippsland,03/06/2022,2022-06-04
Frankston (C),VIC227,142643,1137,41403,797.1,181,6,Frankston,03/06/2022,2022-06-04
Gannawarra (S),VIC214,10472,85,1746,811.7,23,6,Gannawarra,03/06/2022,2022-06-04
Glen Eira (C),VIC177,156511,1258,48150,803.8,211,6,Glen Eira,03/06/2022,2022-06-04
Glenelg (S),VIC223,19674,174,3848,884.4,43,6,Glenelg,03/06/2022,2022-06-04
Golden Plains (S),VIC230,23722,277,6219,1167.7,48,7,Golden Plains,03/06/2022,2022-06-04
Greater Bendigo (C),VIC193,118093,1293,32532,1094.9,237,7,Greater Bendigo,03/06/2022,2022-06-04
Greater Dandenong (C),VIC247,168201,843,46683,501.2,134,6,Greater Dandenong,03/06/2022,2022-06-04
Greater Geelong (C),VIC215,258934,3132,76303,1209.6,532,7,Greater Geelong,03/06/2022,2022-06-04
Greater Shepparton (C),VIC93,66498,435,18238,654.2,68,6,Greater Shepparton,03/06/2022,2022-06-04
Hepburn (S),VIC94,15975,133,3322,832.6,20,6,Hepburn,03/06/2022,2022-06-04
Hindmarsh (S),VIC152,5588,56,1166,1002.1,11,7,Hindmarsh,03/06/2022,2022-06-04
Hobsons Bay (C),VIC235,97751,789,27811,807.2,125,6,Hobsons Bay,03/06/2022,2022-06-04
Horsham (RC),VIC153,19921,217,4960,1089.3,36,7,Horsham,03/06/2022,2022-06-04
Hume (C),VIC198,233471,1361,79592,582.9,214,6,Hume,03/06/2022,2022-06-04
Indigo (S),VIC191,16701,158,3860,946.1,21,6,Indigo,03/06/2022,2022-06-04
Interstate,,,108,5148,0,40,0,,03/06/2022,2022-06-04
Kingston (C),VIC226,165782,1324,48782,798.6,179,6,Kingston,03/06/2022,2022-06-04
Knox (C),VIC209,164538,1417,45607,861.2,246,6,Knox,03/06/2022,2022-06-04
Latrobe (C),VIC219,75561,737,20632,975.4,105,6,Latrobe,03/06/2022,2022-06-04
Loddon (S),VIC185,7504,56,1278,746.3,7,6,Loddon,03/06/2022,2022-06-04
Macedon Ranges (S),VIC228,50231,445,13233,885.9,89,6,Macedon Ranges,03/06/2022,2022-06-04
Manningham (C),VIC195,127573,1123,34390,880.3,179,6,Manningham,03/06/2022,2022-06-04
Mansfield (S),VIC244,9176,68,2365,741.1,13,6,Mansfield,03/06/2022,2022-06-04
Maribyrnong (C),VIC234,93448,762,29787,815.4,139,6,Maribyrnong,03/06/2022,2022-06-04
Maroondah (C),VIC207,118558,1193,32858,1006.3,159,7,Maroondah,03/06/2022,2022-06-04
Melbourne (C),VIC132,178955,1268,54391,708.6,185,6,Melbourne,03/06/2022,2022-06-04
Melton (C),VIC237,164895,1303,61858,790.2,254,6,Melton,03/06/2022,2022-06-04
Mildura (RC),VIC222,55777,344,14982,616.7,55,6,Mildura,03/06/2022,2022-06-04
Mitchell (S),VIC211,46082,452,13490,980.9,54,6,Mitchell,03/06/2022,2022-06-04
Moira (S),VIC190,29925,234,7320,782,42,6,Moira,03/06/2022,2022-06-04
Monash (C),VIC210,202847,1667,53711,821.8,251,6,Monash,03/06/2022,2022-06-04
Moonee Valley (C),VIC121,130294,1027,40321,788.2,169,6,Moonee Valley,03/06/2022,2022-06-04
Moorabool (S),VIC236,35049,293,10375,836,44,6,Moorabool,03/06/2022,2022-06-04
Moreland (C),VIC131,185767,1479,59826,796.2,222,6,Moreland,03/06/2022,2022-06-04
Mornington Peninsula (S),VIC204,167636,1254,46229,748,196,6,Mornington Peninsula,03/06/2022,2022-06-04
Mount Alexander (S),VIC105,19754,179,4404,906.1,21,6,Mount Alexander,03/06/2022,2022-06-04
Moyne (S),VIC229,16953,103,3737,607.6,20,6,Moyne,03/06/2022,2022-06-04
Murrindindi (S),VIC250,14570,103,2949,706.9,18,6,Murrindindi,03/06/2022,2022-06-04
Nillumbik (S),VIC216,65094,648,18984,995.5,99,6,Nillumbik,03/06/2022,2022-06-04
Northern Grampians (S),VIC166,11402,96,2492,842,23,6,Northern Grampians,03/06/2022,2022-06-04
Overseas,,,6,108,0,2,0,,03/06/2022,2022-06-04
Overseas Traveller,,,0,621,0,0,0,,03/06/2022,2022-06-04
Port Phillip (C),VIC208,115601,882,34469,763,138,6,Port Phillip,03/06/2022,2022-06-04
Pyrenees (S),VIC217,7472,76,1511,1017.1,15,7,Pyrenees,03/06/2022,2022-06-04
Queenscliffe (B),VIC238,2940,28,766,952.4,3,6,Queenscliffe,03/06/2022,2022-06-04
South Gippsland (S),VIC178,29914,241,6487,805.6,37,6,South Gippsland,03/06/2022,2022-06-04
Southern Grampians (S),VIC233,16100,182,3646,1130.4,43,7,Southern Grampians,03/06/2022,2022-06-04
Stonnington (C),VIC203,117768,763,33114,647.9,128,6,Stonnington,03/06/2022,2022-06-04
Strathbogie (S),VIC110,10781,81,2238,751.3,15,6,Strathbogie,03/06/2022,2022-06-04
Surf Coast (S),VIC225,33456,329,10815,983.4,61,6,Surf Coast,03/06/2022,2022-06-04
Swan Hill (RC),VIC180,20649,88,5050,426.2,10,5,Swan Hill,03/06/2022,2022-06-04
Towong (S),VIC187,6040,32,1098,529.8,7,6,Towong,03/06/2022,2022-06-04
Unincorporated Vic,,,10,144,0,1,0,,03/06/2022,2022-06-04
Unknown,,,241,7865,0,25,0,,03/06/2022,2022-06-04
Wangaratta (RC),VIC186,29187,284,7328,973,41,6,Wangaratta,03/06/2022,2022-06-04
Warrnambool (C),VIC179,35181,254,9590,722,42,6,Warrnambool,03/06/2022,2022-06-04
Wellington (S),VIC218,44380,472,10375,1063.5,54,7,Wellington,03/06/2022,2022-06-04
West Wimmera (S),VIC232,3841,40,592,1041.4,9,7,West Wimmera,03/06/2022,2022-06-04
Whitehorse (C),VIC196,178739,1677,45313,938.2,256,6,Whitehorse,03/06/2022,2022-06-04
Whittlesea (C),VIC197,230238,1552,74643,674.1,220,6,Whittlesea,03/06/2022,2022-06-04
Wodonga (C),VIC192,42083,461,12083,1095.5,62,7,Wodonga,03/06/2022,2022-06-04
Wyndham (C),VIC221,270487,2265,89322,837.4,328,6,Wyndham,03/06/2022,2022-06-04
Yarra (C),VIC202,101495,775,32400,763.6,94,6,Yarra,03/06/2022,2022-06-04
Yarra Ranges (S),VIC206,159462,1457,43289,913.7,218,6,Yarra Ranges,03/06/2022,2022-06-04
Yarriambiack (S),VIC200,6639,62,1112,933.9,16,6,Yarriambiack,03/06/2022,2022-06-04
