LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,97,3025,757,10,6,Alpine,31/05/2022,2022-06-01
Ararat (RC),VIC220,11845,101,2495,852.7,21,6,Ararat,31/05/2022,2022-06-01
Ballarat (C),VIC241,109505,1566,32771,1430.1,257,7,Ballarat,31/05/2022,2022-06-01
Banyule (C),VIC188,131631,1301,38405,988.4,202,6,Banyule,31/05/2022,2022-06-01
Bass Coast (S),VIC173,36320,446,9259,1228,71,7,Bass Coast,31/05/2022,2022-06-01
Baw Baw (S),VIC194,53396,516,14519,966.4,86,6,Baw Baw,31/05/2022,2022-06-01
Bayside (C),VIC182,106862,761,30417,712.1,141,6,Bayside,31/05/2022,2022-06-01
Benalla (RC),VIC199,14037,124,2918,883.4,27,6,Benalla,31/05/2022,2022-06-01
Boroondara (C),VIC201,183199,1546,48059,843.9,272,6,Boroondara,31/05/2022,2022-06-01
Brimbank (C),VIC189,209523,1119,61026,534.1,196,6,Brimbank,31/05/2022,2022-06-01
Buloke (S),VIC183,6124,43,946,702.2,6,6,Buloke,31/05/2022,2022-06-01
Campaspe (S),VIC239,37622,281,8593,746.9,56,6,Campaspe,31/05/2022,2022-06-01
Cardinia (S),VIC212,112159,969,34555,864,179,6,Cardinia,31/05/2022,2022-06-01
Casey (C),VIC213,353872,2765,112006,781.4,489,6,Casey,31/05/2022,2022-06-01
Central Goldfields (S),VIC169,13186,149,2680,1130,23,7,Central Goldfields,31/05/2022,2022-06-01
Colac-Otway (S),VIC224,21564,183,4690,848.6,39,6,Colac-Otway,31/05/2022,2022-06-01
Corangamite (S),VIC231,16020,117,3070,730.3,20,6,Corangamite,31/05/2022,2022-06-01
Darebin (C),VIC205,164184,1373,48758,836.3,258,6,Darebin,31/05/2022,2022-06-01
East Gippsland (S),VIC243,47316,386,9234,815.8,70,6,East Gippsland,31/05/2022,2022-06-01
Frankston (C),VIC227,142643,1154,40828,809,190,6,Frankston,31/05/2022,2022-06-01
Gannawarra (S),VIC214,10472,62,1691,592.1,17,6,Gannawarra,31/05/2022,2022-06-01
Glen Eira (C),VIC177,156511,1207,47506,771.2,199,6,Glen Eira,31/05/2022,2022-06-01
Glenelg (S),VIC223,19674,187,3752,950.5,37,6,Glenelg,31/05/2022,2022-06-01
Golden Plains (S),VIC230,23722,282,6090,1188.8,58,7,Golden Plains,31/05/2022,2022-06-01
Greater Bendigo (C),VIC193,118093,1265,31849,1071.2,211,7,Greater Bendigo,31/05/2022,2022-06-01
Greater Dandenong (C),VIC247,168201,956,46268,568.4,153,6,Greater Dandenong,31/05/2022,2022-06-01
Greater Geelong (C),VIC215,258934,3082,74677,1190.3,501,7,Greater Geelong,31/05/2022,2022-06-01
Greater Shepparton (C),VIC93,66498,509,18015,765.4,62,6,Greater Shepparton,31/05/2022,2022-06-01
Hepburn (S),VIC94,15975,158,3271,989,34,6,Hepburn,31/05/2022,2022-06-01
Hindmarsh (S),VIC152,5588,46,1129,823.2,11,6,Hindmarsh,31/05/2022,2022-06-01
Hobsons Bay (C),VIC235,97751,794,27404,812.3,145,6,Hobsons Bay,31/05/2022,2022-06-01
Horsham (RC),VIC153,19921,230,4844,1154.6,39,7,Horsham,31/05/2022,2022-06-01
Hume (C),VIC198,233471,1456,78909,623.6,223,6,Hume,31/05/2022,2022-06-01
Indigo (S),VIC191,16701,177,3792,1059.8,32,7,Indigo,31/05/2022,2022-06-01
Interstate,,,120,5100,0,35,0,,31/05/2022,2022-06-01
Kingston (C),VIC226,165782,1477,48193,890.9,232,6,Kingston,31/05/2022,2022-06-01
Knox (C),VIC209,164538,1447,44885,879.4,239,6,Knox,31/05/2022,2022-06-01
Latrobe (C),VIC219,75561,819,20288,1083.9,158,7,Latrobe,31/05/2022,2022-06-01
Loddon (S),VIC185,7504,60,1252,799.6,11,6,Loddon,31/05/2022,2022-06-01
Macedon Ranges (S),VIC228,50231,410,12999,816.2,76,6,Macedon Ranges,31/05/2022,2022-06-01
Manningham (C),VIC195,127573,1062,33813,832.5,198,6,Manningham,31/05/2022,2022-06-01
Mansfield (S),VIC244,9176,61,2327,664.8,9,6,Mansfield,31/05/2022,2022-06-01
Maribyrnong (C),VIC234,93448,750,29416,802.6,146,6,Maribyrnong,31/05/2022,2022-06-01
Maroondah (C),VIC207,118558,1222,32308,1030.7,238,7,Maroondah,31/05/2022,2022-06-01
Melbourne (C),VIC132,178955,1256,53753,701.9,253,6,Melbourne,31/05/2022,2022-06-01
Melton (C),VIC237,164895,1418,61215,859.9,262,6,Melton,31/05/2022,2022-06-01
Mildura (RC),VIC222,55777,337,14802,604.2,56,6,Mildura,31/05/2022,2022-06-01
Mitchell (S),VIC211,46082,441,13286,957,83,6,Mitchell,31/05/2022,2022-06-01
Moira (S),VIC190,29925,260,7219,868.8,42,6,Moira,31/05/2022,2022-06-01
Monash (C),VIC210,202847,1730,52905,852.9,283,6,Monash,31/05/2022,2022-06-01
Moonee Valley (C),VIC121,130294,1038,39792,796.7,185,6,Moonee Valley,31/05/2022,2022-06-01
Moorabool (S),VIC236,35049,357,10250,1018.6,57,7,Moorabool,31/05/2022,2022-06-01
Moreland (C),VIC131,185767,1537,59076,827.4,291,6,Moreland,31/05/2022,2022-06-01
Mornington Peninsula (S),VIC204,167636,1327,45613,791.6,232,6,Mornington Peninsula,31/05/2022,2022-06-01
Mount Alexander (S),VIC105,19754,183,4322,926.4,38,6,Mount Alexander,31/05/2022,2022-06-01
Moyne (S),VIC229,16953,122,3681,719.6,17,6,Moyne,31/05/2022,2022-06-01
Murrindindi (S),VIC250,14570,138,2900,947.2,22,6,Murrindindi,31/05/2022,2022-06-01
Nillumbik (S),VIC216,65094,665,18681,1021.6,113,7,Nillumbik,31/05/2022,2022-06-01
Northern Grampians (S),VIC166,11402,74,2435,649,15,6,Northern Grampians,31/05/2022,2022-06-01
Overseas,,,8,105,0,1,0,,31/05/2022,2022-06-01
Overseas Traveller,,,0,621,0,0,0,,31/05/2022,2022-06-01
Port Phillip (C),VIC208,115601,840,34010,726.6,184,6,Port Phillip,31/05/2022,2022-06-01
Pyrenees (S),VIC217,7472,50,1467,669.2,15,6,Pyrenees,31/05/2022,2022-06-01
Queenscliffe (B),VIC238,2940,26,755,884.4,10,6,Queenscliffe,31/05/2022,2022-06-01
South Gippsland (S),VIC178,29914,302,6385,1009.6,42,7,South Gippsland,31/05/2022,2022-06-01
Southern Grampians (S),VIC233,16100,169,3543,1049.7,31,7,Southern Grampians,31/05/2022,2022-06-01
Stonnington (C),VIC203,117768,783,32723,664.9,132,6,Stonnington,31/05/2022,2022-06-01
Strathbogie (S),VIC110,10781,79,2195,732.8,19,6,Strathbogie,31/05/2022,2022-06-01
Surf Coast (S),VIC225,33456,327,10634,977.4,57,6,Surf Coast,31/05/2022,2022-06-01
Swan Hill (RC),VIC180,20649,117,5015,566.6,11,6,Swan Hill,31/05/2022,2022-06-01
Towong (S),VIC187,6040,47,1078,778.1,5,6,Towong,31/05/2022,2022-06-01
Unincorporated Vic,,,4,137,0,3,0,,31/05/2022,2022-06-01
Unknown,,,136,7663,0,37,0,,31/05/2022,2022-06-01
Wangaratta (RC),VIC186,29187,288,7207,986.7,48,6,Wangaratta,31/05/2022,2022-06-01
Warrnambool (C),VIC179,35181,288,9464,818.6,53,6,Warrnambool,31/05/2022,2022-06-01
Wellington (S),VIC218,44380,488,10141,1099.6,91,7,Wellington,31/05/2022,2022-06-01
West Wimmera (S),VIC232,3841,27,566,702.9,7,6,West Wimmera,31/05/2022,2022-06-01
Whitehorse (C),VIC196,178739,1748,44534,978,331,6,Whitehorse,31/05/2022,2022-06-01
Whittlesea (C),VIC197,230238,1609,73873,698.8,275,6,Whittlesea,31/05/2022,2022-06-01
Wodonga (C),VIC192,42083,481,11868,1143,86,7,Wodonga,31/05/2022,2022-06-01
Wyndham (C),VIC221,270487,2328,88243,860.7,453,6,Wyndham,31/05/2022,2022-06-01
Yarra (C),VIC202,101495,846,32033,833.5,152,6,Yarra,31/05/2022,2022-06-01
Yarra Ranges (S),VIC206,159462,1465,42562,918.7,252,6,Yarra Ranges,31/05/2022,2022-06-01
Yarriambiack (S),VIC200,6639,59,1083,888.7,13,6,Yarriambiack,31/05/2022,2022-06-01
