postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,240,6930,631.9,25,6,30/01/2022,2022-01-31
3001,0,0,0,0,0,0,30/01/2022,2022-01-31
3002,4957,11,482,221.9,1,5,30/01/2022,2022-01-31
3003,5516,31,1160,562,5,6,30/01/2022,2022-01-31
3004,9311,55,1545,590.7,6,6,30/01/2022,2022-01-31
3005,523,0,0,0,0,0,30/01/2022,2022-01-31
3006,18811,113,3196,600.7,14,6,30/01/2022,2022-01-31
3008,10438,74,1819,708.9,12,6,30/01/2022,2022-01-31
3010,1595,0,0,0,0,0,30/01/2022,2022-01-31
3011,21464,137,2955,638.3,10,6,30/01/2022,2022-01-31
3012,26295,168,3436,638.9,13,6,30/01/2022,2022-01-31
3013,14967,89,1457,594.6,14,6,30/01/2022,2022-01-31
3015,17472,115,1683,658.2,9,6,30/01/2022,2022-01-31
3016,15558,55,1262,353.5,4,5,30/01/2022,2022-01-31
3018,12685,67,905,528.2,8,6,30/01/2022,2022-01-31
3019,9199,81,1685,880.5,11,6,30/01/2022,2022-01-31
3020,44784,286,6665,638.6,38,6,30/01/2022,2022-01-31
3021,54190,296,8460,546.2,19,6,30/01/2022,2022-01-31
3022,3102,35,498,1128.3,6,7,30/01/2022,2022-01-31
3023,63974,508,10490,794.1,40,6,30/01/2022,2022-01-31
3024,23852,335,4419,1404.5,27,7,30/01/2022,2022-01-31
3025,12155,101,1873,830.9,8,6,30/01/2022,2022-01-31
3026,72,64,1542,88888.9,7,7,30/01/2022,2022-01-31
3027,6650,82,1108,1233.1,9,7,30/01/2022,2022-01-31
3028,29198,168,2833,575.4,22,6,30/01/2022,2022-01-31
3029,93946,1159,17815,1233.7,136,7,30/01/2022,2022-01-31
3030,100311,778,12099,775.6,78,6,30/01/2022,2022-01-31
3031,18533,71,2305,383.1,3,5,30/01/2022,2022-01-31
3032,29449,162,3655,550.1,7,6,30/01/2022,2022-01-31
3033,14512,114,1709,785.6,5,6,30/01/2022,2022-01-31
3034,11633,78,1453,670.5,10,6,30/01/2022,2022-01-31
3036,5921,61,724,1030.2,0,7,30/01/2022,2022-01-31
3037,51156,364,7377,711.5,35,6,30/01/2022,2022-01-31
3038,27258,201,3418,737.4,21,6,30/01/2022,2022-01-31
3039,14252,75,1735,526.2,6,6,30/01/2022,2022-01-31
3040,25939,134,2936,516.6,15,6,30/01/2022,2022-01-31
3041,12412,74,1438,596.2,7,6,30/01/2022,2022-01-31
3042,15762,134,1938,850.1,13,6,30/01/2022,2022-01-31
3043,17715,157,2285,886.3,11,6,30/01/2022,2022-01-31
3044,27116,177,3216,652.8,18,6,30/01/2022,2022-01-31
3045,100,1,69,1000,0,7,30/01/2022,2022-01-31
3046,34061,246,5467,722.2,30,6,30/01/2022,2022-01-31
3047,20901,189,4254,904.3,23,6,30/01/2022,2022-01-31
3048,18025,120,3330,665.7,22,6,30/01/2022,2022-01-31
3049,9266,100,1388,1079.2,6,7,30/01/2022,2022-01-31
3050,119,0,0,0,0,0,30/01/2022,2022-01-31
3051,14939,72,1964,482,3,5,30/01/2022,2022-01-31
3052,5697,37,884,649.5,3,6,30/01/2022,2022-01-31
3053,18538,85,2429,458.5,8,5,30/01/2022,2022-01-31
3054,8426,34,873,403.5,6,5,30/01/2022,2022-01-31
3055,14160,68,1487,480.2,7,5,30/01/2022,2022-01-31
3056,24475,115,2916,469.9,8,5,30/01/2022,2022-01-31
3057,11502,58,1475,504.3,3,6,30/01/2022,2022-01-31
3058,33783,215,4123,636.4,33,6,30/01/2022,2022-01-31
3059,15466,182,3170,1176.8,28,7,30/01/2022,2022-01-31
3060,14040,85,2195,605.4,11,6,30/01/2022,2022-01-31
3061,5059,29,1068,573.2,7,6,30/01/2022,2022-01-31
3062,0,0,3,0,0,0,30/01/2022,2022-01-31
3063,574,1,38,174.2,0,4,30/01/2022,2022-01-31
3064,75458,895,18505,1186.1,114,7,30/01/2022,2022-01-31
3065,10447,45,1516,430.7,10,5,30/01/2022,2022-01-31
3066,8512,44,1402,516.9,3,6,30/01/2022,2022-01-31
3067,8199,35,1065,426.9,2,5,30/01/2022,2022-01-31
3068,18665,82,2063,439.3,6,5,30/01/2022,2022-01-31
3070,24567,138,2444,561.7,12,6,30/01/2022,2022-01-31
3071,18569,135,1946,727,6,6,30/01/2022,2022-01-31
3072,32848,202,3563,615,13,6,30/01/2022,2022-01-31
3073,50479,308,5503,610.2,21,6,30/01/2022,2022-01-31
3074,20522,181,2838,882,13,6,30/01/2022,2022-01-31
3075,22594,218,3412,964.9,18,6,30/01/2022,2022-01-31
3076,32395,325,4680,1003.2,30,7,30/01/2022,2022-01-31
3078,11638,47,1058,403.8,6,5,30/01/2022,2022-01-31
3079,15990,68,1288,425.3,5,5,30/01/2022,2022-01-31
3081,13424,90,1621,670.4,7,6,30/01/2022,2022-01-31
3082,29713,233,3330,784.2,10,6,30/01/2022,2022-01-31
3083,31526,219,3280,694.7,19,6,30/01/2022,2022-01-31
3084,25514,104,1819,407.6,10,5,30/01/2022,2022-01-31
3085,13882,48,1016,345.8,3,5,30/01/2022,2022-01-31
3086,908,1,1,110.1,0,4,30/01/2022,2022-01-31
3087,9033,53,710,586.7,2,6,30/01/2022,2022-01-31
3088,26890,137,2074,509.5,10,6,30/01/2022,2022-01-31
3089,11739,57,920,485.6,10,5,30/01/2022,2022-01-31
3090,2362,7,252,296.4,1,5,30/01/2022,2022-01-31
3091,1585,4,119,252.4,2,5,30/01/2022,2022-01-31
3093,3891,16,325,411.2,1,5,30/01/2022,2022-01-31
3094,8963,31,558,345.9,3,5,30/01/2022,2022-01-31
3095,27770,136,1857,489.7,14,5,30/01/2022,2022-01-31
3096,1966,8,126,406.9,1,5,30/01/2022,2022-01-31
3097,1443,4,79,277.2,0,5,30/01/2022,2022-01-31
3099,4877,21,315,430.6,3,5,30/01/2022,2022-01-31
3101,24604,64,1899,260.1,12,5,30/01/2022,2022-01-31
3102,6634,20,548,301.5,2,5,30/01/2022,2022-01-31
3103,15343,42,878,273.7,5,5,30/01/2022,2022-01-31
3104,20404,85,1448,416.6,6,5,30/01/2022,2022-01-31
3105,10877,72,1101,661.9,4,6,30/01/2022,2022-01-31
3106,16620,80,1303,481.3,11,5,30/01/2022,2022-01-31
3107,13557,67,1124,494.2,7,5,30/01/2022,2022-01-31
3108,20823,170,2031,816.4,14,6,30/01/2022,2022-01-31
3109,28357,191,2088,673.6,18,6,30/01/2022,2022-01-31
3111,12348,66,883,534.5,7,6,30/01/2022,2022-01-31
3113,8460,61,635,721,6,6,30/01/2022,2022-01-31
3114,3823,12,265,313.9,4,5,30/01/2022,2022-01-31
3115,3799,21,242,552.8,5,6,30/01/2022,2022-01-31
3116,9872,48,679,486.2,7,5,30/01/2022,2022-01-31
3121,30502,122,4148,400,6,5,30/01/2022,2022-01-31
3122,23508,49,1875,208.4,5,5,30/01/2022,2022-01-31
3123,14319,39,1220,272.4,6,5,30/01/2022,2022-01-31
