LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,64,643,499.5,7,5,Alpine,28/01/2022,2022-01-29
Ararat (RC),VIC220,11845,58,558,489.7,12,5,Ararat,28/01/2022,2022-01-29
Ballarat (C),VIC241,109505,679,5520,620.1,105,6,Ballarat,28/01/2022,2022-01-29
Banyule (C),VIC188,131631,649,9718,493,133,5,Banyule,28/01/2022,2022-01-29
Bass Coast (S),VIC173,36320,157,2033,432.3,34,5,Bass Coast,28/01/2022,2022-01-29
Baw Baw (S),VIC194,53396,303,3285,567.5,67,6,Baw Baw,28/01/2022,2022-01-29
Bayside (C),VIC182,106862,549,8921,513.7,89,6,Bayside,28/01/2022,2022-01-29
Benalla (RC),VIC199,14037,27,463,192.3,0,4,Benalla,28/01/2022,2022-01-29
Boroondara (C),VIC201,183199,511,11702,278.9,78,5,Boroondara,28/01/2022,2022-01-29
Brimbank (C),VIC189,209523,1515,28877,723.1,209,6,Brimbank,28/01/2022,2022-01-29
Buloke (S),VIC183,6124,17,199,277.6,8,5,Buloke,28/01/2022,2022-01-29
Campaspe (S),VIC239,37622,54,1483,143.5,7,4,Campaspe,28/01/2022,2022-01-29
Cardinia (S),VIC212,112159,691,8224,616.1,121,6,Cardinia,28/01/2022,2022-01-29
Casey (C),VIC213,353872,1886,35383,533,266,6,Casey,28/01/2022,2022-01-29
Central Goldfields (S),VIC169,13186,28,305,212.3,3,5,Central Goldfields,28/01/2022,2022-01-29
Colac-Otway (S),VIC224,21564,42,1017,194.8,1,4,Colac-Otway,28/01/2022,2022-01-29
Corangamite (S),VIC231,16020,79,664,493.1,9,5,Corangamite,28/01/2022,2022-01-29
Darebin (C),VIC205,164184,982,15135,598.1,159,6,Darebin,28/01/2022,2022-01-29
East Gippsland (S),VIC243,47316,61,1701,128.9,15,4,East Gippsland,28/01/2022,2022-01-29
Frankston (C),VIC227,142643,461,9903,323.2,99,5,Frankston,28/01/2022,2022-01-29
Gannawarra (S),VIC214,10472,27,253,257.8,11,5,Gannawarra,28/01/2022,2022-01-29
Glen Eira (C),VIC177,156511,836,12988,534.1,157,6,Glen Eira,28/01/2022,2022-01-29
Glenelg (S),VIC223,19674,21,648,106.7,3,4,Glenelg,28/01/2022,2022-01-29
Golden Plains (S),VIC230,23722,134,889,564.9,18,6,Golden Plains,28/01/2022,2022-01-29
Greater Bendigo (C),VIC193,118093,617,5033,522.5,105,6,Greater Bendigo,28/01/2022,2022-01-29
Greater Dandenong (C),VIC247,168201,992,18463,589.8,150,6,Greater Dandenong,28/01/2022,2022-01-29
Greater Geelong (C),VIC215,258934,1382,15691,533.7,202,6,Greater Geelong,28/01/2022,2022-01-29
Greater Shepparton (C),VIC93,66498,333,4838,500.8,56,6,Greater Shepparton,28/01/2022,2022-01-29
Hepburn (S),VIC94,15975,43,519,269.2,4,5,Hepburn,28/01/2022,2022-01-29
Hindmarsh (S),VIC152,5588,31,224,554.8,5,6,Hindmarsh,28/01/2022,2022-01-29
Hobsons Bay (C),VIC235,97751,603,8647,616.9,85,6,Hobsons Bay,28/01/2022,2022-01-29
Horsham (RC),VIC153,19921,132,770,662.6,29,6,Horsham,28/01/2022,2022-01-29
Hume (C),VIC198,233471,2023,36047,866.5,331,6,Hume,28/01/2022,2022-01-29
Indigo (S),VIC191,16701,46,592,275.4,14,5,Indigo,28/01/2022,2022-01-29
Interstate,,,127,3355,0,57,0,,28/01/2022,2022-01-29
Kingston (C),VIC226,165782,575,12462,346.8,114,5,Kingston,28/01/2022,2022-01-29
Knox (C),VIC209,164538,648,8709,393.8,108,5,Knox,28/01/2022,2022-01-29
Latrobe (C),VIC219,75561,365,4779,483.1,91,5,Latrobe,28/01/2022,2022-01-29
Loddon (S),VIC185,7504,12,152,159.9,2,4,Loddon,28/01/2022,2022-01-29
Macedon Ranges (S),VIC228,50231,214,2626,426,27,5,Macedon Ranges,28/01/2022,2022-01-29
Manningham (C),VIC195,127573,810,9260,634.9,144,6,Manningham,28/01/2022,2022-01-29
Mansfield (S),VIC244,9176,16,386,174.4,3,4,Mansfield,28/01/2022,2022-01-29
Maribyrnong (C),VIC234,93448,633,10809,677.4,99,6,Maribyrnong,28/01/2022,2022-01-29
Maroondah (C),VIC207,118558,556,6784,469,90,5,Maroondah,28/01/2022,2022-01-29
