postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,177,7208,466,78,5,02/02/2022,2022-02-03
3001,0,0,0,0,0,0,02/02/2022,2022-02-03
3002,4957,9,490,181.6,4,4,02/02/2022,2022-02-03
3003,5516,40,1202,725.2,11,6,02/02/2022,2022-02-03
3004,9311,36,1572,386.6,7,5,02/02/2022,2022-02-03
3005,523,0,0,0,0,0,02/02/2022,2022-02-03
3006,18811,97,3316,515.7,35,6,02/02/2022,2022-02-03
3008,10438,62,1865,594,13,6,02/02/2022,2022-02-03
3010,1595,0,0,0,0,0,02/02/2022,2022-02-03
3011,21464,112,3025,521.8,23,6,02/02/2022,2022-02-03
3012,26295,142,3524,540,23,6,02/02/2022,2022-02-03
3013,14967,84,1515,561.2,24,6,02/02/2022,2022-02-03
3015,17472,105,1756,601,31,6,02/02/2022,2022-02-03
3016,15558,45,1305,289.2,14,5,02/02/2022,2022-02-03
3018,12685,44,933,346.9,5,5,02/02/2022,2022-02-03
3019,9199,51,1702,554.4,10,6,02/02/2022,2022-02-03
3020,44784,224,6786,500.2,31,6,02/02/2022,2022-02-03
3021,54190,267,8623,492.7,50,5,02/02/2022,2022-02-03
3022,3102,26,510,838.2,6,6,02/02/2022,2022-02-03
3023,63974,374,10671,584.6,52,6,02/02/2022,2022-02-03
3024,23852,290,4563,1215.8,33,7,02/02/2022,2022-02-03
3025,12155,73,1921,600.6,10,6,02/02/2022,2022-02-03
3026,72,52,1576,72222.2,12,7,02/02/2022,2022-02-03
3027,6650,67,1152,1007.5,13,7,02/02/2022,2022-02-03
3028,29198,141,2922,482.9,29,5,02/02/2022,2022-02-03
3029,93946,951,18617,1012.3,230,7,02/02/2022,2022-02-03
3030,100311,657,12505,655,102,6,02/02/2022,2022-02-03
3031,18533,69,2370,372.3,12,5,02/02/2022,2022-02-03
3032,29449,138,3738,468.6,19,5,02/02/2022,2022-02-03
3033,14512,87,1755,599.5,17,6,02/02/2022,2022-02-03
3034,11633,71,1503,610.3,16,6,02/02/2022,2022-02-03
3036,5921,37,743,624.9,6,6,02/02/2022,2022-02-03
3037,51156,313,7556,611.9,56,6,02/02/2022,2022-02-03
3038,27258,159,3501,583.3,20,6,02/02/2022,2022-02-03
3039,14252,63,1773,442,18,5,02/02/2022,2022-02-03
3040,25939,109,3018,420.2,26,5,02/02/2022,2022-02-03
3041,12412,58,1489,467.3,13,5,02/02/2022,2022-02-03
3042,15762,108,2010,685.2,20,6,02/02/2022,2022-02-03
3043,17715,98,2413,553.2,37,6,02/02/2022,2022-02-03
3044,27116,139,3309,512.6,30,6,02/02/2022,2022-02-03
3045,100,0,66,0,0,0,02/02/2022,2022-02-03
3046,34061,225,5654,660.6,67,6,02/02/2022,2022-02-03
3047,20901,130,4374,622,41,6,02/02/2022,2022-02-03
3048,18025,119,3482,660.2,49,6,02/02/2022,2022-02-03
3049,9266,74,1462,798.6,22,6,02/02/2022,2022-02-03
3050,119,0,0,0,0,0,02/02/2022,2022-02-03
3051,14939,52,2001,348.1,15,5,02/02/2022,2022-02-03
3052,5697,20,901,351.1,7,5,02/02/2022,2022-02-03
3053,18538,77,2500,415.4,19,5,02/02/2022,2022-02-03
3054,8426,30,895,356,7,5,02/02/2022,2022-02-03
3055,14160,65,1530,459,18,5,02/02/2022,2022-02-03
3056,24475,105,2995,429,36,5,02/02/2022,2022-02-03
3057,11502,57,1528,495.6,24,5,02/02/2022,2022-02-03
3058,33783,174,4231,515.1,40,6,02/02/2022,2022-02-03
3059,15466,174,3333,1125,51,7,02/02/2022,2022-02-03
3060,14040,88,2285,626.8,33,6,02/02/2022,2022-02-03
3061,5059,24,1099,474.4,13,5,02/02/2022,2022-02-03
3062,0,0,3,0,0,0,02/02/2022,2022-02-03
3063,574,3,43,522.6,2,6,02/02/2022,2022-02-03
3064,75458,785,19242,1040.3,214,7,02/02/2022,2022-02-03
3065,10447,41,1547,392.5,10,5,02/02/2022,2022-02-03
3066,8512,28,1423,328.9,5,5,02/02/2022,2022-02-03
3067,8199,33,1098,402.5,10,5,02/02/2022,2022-02-03
3068,18665,43,2093,230.4,6,5,02/02/2022,2022-02-03
3070,24567,117,2517,476.2,18,5,02/02/2022,2022-02-03
3071,18569,100,2011,538.5,10,6,02/02/2022,2022-02-03
3072,32848,182,3676,554.1,36,6,02/02/2022,2022-02-03
3073,50479,253,5641,501.2,36,6,02/02/2022,2022-02-03
3074,20522,129,2935,628.6,31,6,02/02/2022,2022-02-03
3075,22594,148,3521,655,37,6,02/02/2022,2022-02-03
3076,32395,233,4839,719.2,44,6,02/02/2022,2022-02-03
3078,11638,35,1086,300.7,5,5,02/02/2022,2022-02-03
3079,15990,53,1321,331.5,8,5,02/02/2022,2022-02-03
3081,13424,74,1668,551.3,4,6,02/02/2022,2022-02-03
3082,29713,205,3447,689.9,32,6,02/02/2022,2022-02-03
3083,31526,214,3402,678.8,36,6,02/02/2022,2022-02-03
3084,25514,89,1868,348.8,12,5,02/02/2022,2022-02-03
3085,13882,52,1054,374.6,9,5,02/02/2022,2022-02-03
3086,908,0,1,0,0,0,02/02/2022,2022-02-03
3087,9033,40,735,442.8,12,5,02/02/2022,2022-02-03
3088,26890,143,2169,531.8,28,6,02/02/2022,2022-02-03
