LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,105,1161,819.4,15,6,Alpine,05/02/2022,2022-02-06
Ararat (RC),VIC220,11845,89,916,751.4,8,6,Ararat,05/02/2022,2022-02-06
Ballarat (C),VIC241,109505,1027,9514,937.9,105,6,Ballarat,05/02/2022,2022-02-06
Banyule (C),VIC188,131631,1078,15704,819,124,6,Banyule,05/02/2022,2022-02-06
Bass Coast (S),VIC173,36320,334,3276,919.6,45,6,Bass Coast,05/02/2022,2022-02-06
Baw Baw (S),VIC194,53396,620,5691,1161.1,67,7,Baw Baw,05/02/2022,2022-02-06
Bayside (C),VIC182,106862,741,13905,693.4,84,6,Bayside,05/02/2022,2022-02-06
Benalla (RC),VIC199,14037,121,994,862,19,6,Benalla,05/02/2022,2022-02-06
Boroondara (C),VIC201,183199,1110,19734,605.9,123,6,Boroondara,05/02/2022,2022-02-06
Brimbank (C),VIC189,209523,1723,38534,822.3,218,6,Brimbank,05/02/2022,2022-02-06
Buloke (S),VIC183,6124,26,299,424.6,2,5,Buloke,05/02/2022,2022-02-06
Campaspe (S),VIC239,37622,349,3115,927.6,38,6,Campaspe,05/02/2022,2022-02-06
Cardinia (S),VIC212,112159,1611,15294,1436.4,200,7,Cardinia,05/02/2022,2022-02-06
Casey (C),VIC213,353872,4092,58377,1156.4,470,7,Casey,05/02/2022,2022-02-06
Central Goldfields (S),VIC169,13186,65,564,492.9,4,5,Central Goldfields,05/02/2022,2022-02-06
Colac-Otway (S),VIC224,21564,168,1851,779.1,16,6,Colac-Otway,05/02/2022,2022-02-06
Corangamite (S),VIC231,16020,143,1146,892.6,15,6,Corangamite,05/02/2022,2022-02-06
Darebin (C),VIC205,164184,1298,22634,790.6,153,6,Darebin,05/02/2022,2022-02-06
East Gippsland (S),VIC243,47316,346,3072,731.3,37,6,East Gippsland,05/02/2022,2022-02-06
Frankston (C),VIC227,142643,1479,17716,1036.9,163,7,Frankston,05/02/2022,2022-02-06
Gannawarra (S),VIC214,10472,74,524,706.6,11,6,Gannawarra,05/02/2022,2022-02-06
Glen Eira (C),VIC177,156511,1401,21209,895.1,191,6,Glen Eira,05/02/2022,2022-02-06
Glenelg (S),VIC223,19674,104,1105,528.6,6,6,Glenelg,05/02/2022,2022-02-06
Golden Plains (S),VIC230,23722,303,1891,1277.3,26,7,Golden Plains,05/02/2022,2022-02-06
Greater Bendigo (C),VIC193,118093,1043,9739,883.2,118,6,Greater Bendigo,05/02/2022,2022-02-06
Greater Dandenong (C),VIC247,168201,1426,28129,847.8,153,6,Greater Dandenong,05/02/2022,2022-02-06
Greater Geelong (C),VIC215,258934,2718,29383,1049.7,308,7,Greater Geelong,05/02/2022,2022-02-06
Greater Shepparton (C),VIC93,66498,880,8305,1323.3,85,7,Greater Shepparton,05/02/2022,2022-02-06
Hepburn (S),VIC94,15975,114,953,713.6,13,6,Hepburn,05/02/2022,2022-02-06
Hindmarsh (S),VIC152,5588,38,319,680,5,6,Hindmarsh,05/02/2022,2022-02-06
Hobsons Bay (C),VIC235,97751,790,13300,808.2,95,6,Hobsons Bay,05/02/2022,2022-02-06
Horsham (RC),VIC153,19921,132,1231,662.6,19,6,Horsham,05/02/2022,2022-02-06
Hume (C),VIC198,233471,2684,49346,1149.6,325,7,Hume,05/02/2022,2022-02-06
Indigo (S),VIC191,16701,96,1086,574.8,7,6,Indigo,05/02/2022,2022-02-06
Interstate,,,108,3778,0,27,0,,05/02/2022,2022-02-06
Kingston (C),VIC226,165782,1414,21310,852.9,163,6,Kingston,05/02/2022,2022-02-06
Knox (C),VIC209,164538,1467,17294,891.6,169,6,Knox,05/02/2022,2022-02-06
Latrobe (C),VIC219,75561,856,7729,1132.9,102,7,Latrobe,05/02/2022,2022-02-06
Loddon (S),VIC185,7504,31,300,413.1,3,5,Loddon,05/02/2022,2022-02-06
Macedon Ranges (S),VIC228,50231,418,4720,832.2,46,6,Macedon Ranges,05/02/2022,2022-02-06
Manningham (C),VIC195,127573,905,14475,709.4,147,6,Manningham,05/02/2022,2022-02-06
Mansfield (S),VIC244,9176,76,720,828.2,9,6,Mansfield,05/02/2022,2022-02-06
Maribyrnong (C),VIC234,93448,721,15202,771.6,69,6,Maribyrnong,05/02/2022,2022-02-06
Maroondah (C),VIC207,118558,1071,12464,903.4,148,6,Maroondah,05/02/2022,2022-02-06
Melbourne (C),VIC132,178955,1089,28559,608.5,165,6,Melbourne,05/02/2022,2022-02-06
Melton (C),VIC237,164895,1894,34172,1148.6,271,7,Melton,05/02/2022,2022-02-06
Mildura (RC),VIC222,55777,626,5115,1122.3,45,7,Mildura,05/02/2022,2022-02-06
Mitchell (S),VIC211,46082,550,5220,1193.5,68,7,Mitchell,05/02/2022,2022-02-06
Moira (S),VIC190,29925,332,3046,1109.4,33,7,Moira,05/02/2022,2022-02-06
Monash (C),VIC210,202847,1447,22589,713.3,159,6,Monash,05/02/2022,2022-02-06
Moonee Valley (C),VIC121,130294,1023,20327,785.1,119,6,Moonee Valley,05/02/2022,2022-02-06
Moorabool (S),VIC236,35049,441,4228,1258.2,57,7,Moorabool,05/02/2022,2022-02-06
Moreland (C),VIC131,185767,1509,30271,812.3,160,6,Moreland,05/02/2022,2022-02-06
Mornington Peninsula (S),VIC204,167636,1645,20155,981.3,189,6,Mornington Peninsula,05/02/2022,2022-02-06
Mount Alexander (S),VIC105,19754,114,1356,577.1,5,6,Mount Alexander,05/02/2022,2022-02-06
Moyne (S),VIC229,16953,158,1273,932,21,6,Moyne,05/02/2022,2022-02-06
Murrindindi (S),VIC250,14570,95,1009,652,11,6,Murrindindi,05/02/2022,2022-02-06
