LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,114,168,889.7,53,6,Alpine,07/01/2022,2022-01-08
Ararat (RC),VIC220,11845,42,130,354.6,15,5,Ararat,07/01/2022,2022-01-08
Ballarat (C),VIC241,109505,796,1630,726.9,251,6,Ballarat,07/01/2022,2022-01-08
Banyule (C),VIC188,131631,1640,5154,1245.9,415,7,Banyule,07/01/2022,2022-01-08
Bass Coast (S),VIC173,36320,482,903,1327.1,142,7,Bass Coast,07/01/2022,2022-01-08
Baw Baw (S),VIC194,53396,292,1581,546.9,94,6,Baw Baw,07/01/2022,2022-01-08
Bayside (C),VIC182,106862,1508,4674,1411.2,361,7,Bayside,07/01/2022,2022-01-08
Benalla (RC),VIC199,14037,73,179,520.1,31,6,Benalla,07/01/2022,2022-01-08
Boroondara (C),VIC201,183199,2575,6625,1405.6,708,7,Boroondara,07/01/2022,2022-01-08
Brimbank (C),VIC189,209523,4488,16692,2142,1214,7,Brimbank,07/01/2022,2022-01-08
Buloke (S),VIC183,6124,9,36,147,3,4,Buloke,07/01/2022,2022-01-08
Campaspe (S),VIC239,37622,59,541,156.8,29,4,Campaspe,07/01/2022,2022-01-08
Cardinia (S),VIC212,112159,667,4000,594.7,195,6,Cardinia,07/01/2022,2022-01-08
Casey (C),VIC213,353872,5419,19688,1531.3,1411,7,Casey,07/01/2022,2022-01-08
Central Goldfields (S),VIC169,13186,24,91,182,18,4,Central Goldfields,07/01/2022,2022-01-08
Colac-Otway (S),VIC224,21564,25,444,115.9,16,4,Colac-Otway,07/01/2022,2022-01-08
Corangamite (S),VIC231,16020,83,156,518.1,9,6,Corangamite,07/01/2022,2022-01-08
Darebin (C),VIC205,164184,2387,8235,1453.9,763,7,Darebin,07/01/2022,2022-01-08
East Gippsland (S),VIC243,47316,202,650,426.9,59,5,East Gippsland,07/01/2022,2022-01-08
Frankston (C),VIC227,142643,1780,5522,1247.9,404,7,Frankston,07/01/2022,2022-01-08
Gannawarra (S),VIC214,10472,9,47,85.9,5,3,Gannawarra,07/01/2022,2022-01-08
Glen Eira (C),VIC177,156511,1992,7171,1272.8,521,7,Glen Eira,07/01/2022,2022-01-08
Glenelg (S),VIC223,19674,137,222,696.4,62,6,Glenelg,07/01/2022,2022-01-08
Golden Plains (S),VIC230,23722,52,228,219.2,13,5,Golden Plains,07/01/2022,2022-01-08
Greater Bendigo (C),VIC193,118093,262,1602,221.9,132,5,Greater Bendigo,07/01/2022,2022-01-08
Greater Dandenong (C),VIC247,168201,3004,11163,1786,851,7,Greater Dandenong,07/01/2022,2022-01-08
Greater Geelong (C),VIC215,258934,1289,5696,497.8,411,5,Greater Geelong,07/01/2022,2022-01-08
Greater Shepparton (C),VIC93,66498,280,2202,421.1,136,5,Greater Shepparton,07/01/2022,2022-01-08
Hepburn (S),VIC94,15975,54,188,338,19,5,Hepburn,07/01/2022,2022-01-08
Hindmarsh (S),VIC152,5588,13,114,232.6,5,5,Hindmarsh,07/01/2022,2022-01-08
Hobsons Bay (C),VIC235,97751,1241,5076,1269.6,381,7,Hobsons Bay,07/01/2022,2022-01-08
Horsham (RC),VIC153,19921,38,144,190.8,19,4,Horsham,07/01/2022,2022-01-08
Hume (C),VIC198,233471,3243,22559,1389,1204,7,Hume,07/01/2022,2022-01-08
Indigo (S),VIC191,16701,106,209,634.7,44,6,Indigo,07/01/2022,2022-01-08
Interstate,,,950,1867,0,291,0,,07/01/2022,2022-01-08
Kingston (C),VIC226,165782,2031,6661,1225.1,500,7,Kingston,07/01/2022,2022-01-08
Knox (C),VIC209,164538,1209,4184,734.8,312,6,Knox,07/01/2022,2022-01-08
Latrobe (C),VIC219,75561,584,2318,772.9,184,6,Latrobe,07/01/2022,2022-01-08
Loddon (S),VIC185,7504,9,44,119.9,7,4,Loddon,07/01/2022,2022-01-08
Macedon Ranges (S),VIC228,50231,331,1094,659,84,6,Macedon Ranges,07/01/2022,2022-01-08
Manningham (C),VIC195,127573,1587,4580,1244,450,7,Manningham,07/01/2022,2022-01-08
Mansfield (S),VIC244,9176,49,131,534,9,6,Mansfield,07/01/2022,2022-01-08
Maribyrnong (C),VIC234,93448,2059,6088,2203.4,630,7,Maribyrnong,07/01/2022,2022-01-08
Maroondah (C),VIC207,118558,858,2930,723.7,232,6,Maroondah,07/01/2022,2022-01-08
Melbourne (C),VIC132,178955,4781,12471,2671.6,1420,7,Melbourne,07/01/2022,2022-01-08
Melton (C),VIC237,164895,3194,13631,1937,1049,7,Melton,07/01/2022,2022-01-08
Mildura (RC),VIC222,55777,523,1397,937.7,182,6,Mildura,07/01/2022,2022-01-08
Mitchell (S),VIC211,46082,188,1328,408,80,5,Mitchell,07/01/2022,2022-01-08
Moira (S),VIC190,29925,201,590,671.7,89,6,Moira,07/01/2022,2022-01-08
Monash (C),VIC210,202847,2537,7192,1250.7,768,7,Monash,07/01/2022,2022-01-08
Moonee Valley (C),VIC121,130294,2257,7765,1732.2,663,7,Moonee Valley,07/01/2022,2022-01-08
Moorabool (S),VIC236,35049,311,1112,887.3,90,6,Moorabool,07/01/2022,2022-01-08
Moreland (C),VIC131,185767,3033,12211,1632.7,1022,7,Moreland,07/01/2022,2022-01-08
Mornington Peninsula (S),VIC204,167636,1959,5908,1168.6,518,7,Mornington Peninsula,07/01/2022,2022-01-08
Mount Alexander (S),VIC105,19754,39,293,197.4,27,4,Mount Alexander,07/01/2022,2022-01-08
Moyne (S),VIC229,16953,91,179,536.8,31,6,Moyne,07/01/2022,2022-01-08
Murrindindi (S),VIC250,14570,26,186,178.4,12,4,Murrindindi,07/01/2022,2022-01-08
Nillumbik (S),VIC216,65094,702,2050,1078.4,168,7,Nillumbik,07/01/2022,2022-01-08
Northern Grampians (S),VIC166,11402,26,169,228,16,5,Northern Grampians,07/01/2022,2022-01-08
Overseas,,,27,49,0,14,0,,07/01/2022,2022-01-08
Overseas Traveller,,,11,621,0,0,0,,07/01/2022,2022-01-08
Port Phillip (C),VIC208,115601,2579,7750,2230.9,665,7,Port Phillip,07/01/2022,2022-01-08
Pyrenees (S),VIC217,7472,17,65,227.5,8,5,Pyrenees,07/01/2022,2022-01-08
Queenscliffe (B),VIC238,2940,19,78,646.3,10,6,Queenscliffe,07/01/2022,2022-01-08
South Gippsland (S),VIC178,29914,221,493,738.8,54,6,South Gippsland,07/01/2022,2022-01-08
Southern Grampians (S),VIC233,16100,155,219,962.7,108,6,Southern Grampians,07/01/2022,2022-01-08
Stonnington (C),VIC203,117768,2807,6979,2383.5,736,7,Stonnington,07/01/2022,2022-01-08
Strathbogie (S),VIC110,10781,39,120,361.7,17,5,Strathbogie,07/01/2022,2022-01-08
Surf Coast (S),VIC225,33456,211,835,630.7,84,6,Surf Coast,07/01/2022,2022-01-08
Swan Hill (RC),VIC180,20649,46,319,222.8,11,5,Swan Hill,07/01/2022,2022-01-08
Towong (S),VIC187,6040,22,42,364.2,12,5,Towong,07/01/2022,2022-01-08
Unincorporated Vic,,,10,15,0,1,0,,07/01/2022,2022-01-08
Unknown,,,442,1979,0,227,0,,07/01/2022,2022-01-08
Wangaratta (RC),VIC186,29187,193,438,661.3,93,6,Wangaratta,07/01/2022,2022-01-08
Warrnambool (C),VIC179,35181,239,420,679.3,103,6,Warrnambool,07/01/2022,2022-01-08
Wellington (S),VIC218,44380,286,609,644.4,109,6,Wellington,07/01/2022,2022-01-08
West Wimmera (S),VIC232,3841,9,21,234.3,2,5,West Wimmera,07/01/2022,2022-01-08
Whitehorse (C),VIC196,178739,1614,4268,903,473,6,Whitehorse,07/01/2022,2022-01-08
Whittlesea (C),VIC197,230238,2542,14182,1104.1,882,7,Whittlesea,07/01/2022,2022-01-08
Wodonga (C),VIC192,42083,288,968,684.4,135,6,Wodonga,07/01/2022,2022-01-08
Wyndham (C),VIC221,270487,3963,17662,1465.1,1082,7,Wyndham,07/01/2022,2022-01-08
Yarra (C),VIC202,101495,2707,6862,2667.1,959,7,Yarra,07/01/2022,2022-01-08
Yarra Ranges (S),VIC206,159462,1019,3675,639,314,6,Yarra Ranges,07/01/2022,2022-01-08
Yarriambiack (S),VIC200,6639,4,11,60.3,1,3,Yarriambiack,07/01/2022,2022-01-08
