LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,79,1298,616.5,13,6,Alpine,15/02/2022,2022-02-16
Ararat (RC),VIC220,11845,98,1079,827.4,19,6,Ararat,15/02/2022,2022-02-16
Ballarat (C),VIC241,109505,1261,11393,1151.5,255,7,Ballarat,15/02/2022,2022-02-16
Banyule (C),VIC188,131631,845,17088,641.9,122,6,Banyule,15/02/2022,2022-02-16
Bass Coast (S),VIC173,36320,312,3816,859,40,6,Bass Coast,15/02/2022,2022-02-16
Baw Baw (S),VIC194,53396,461,6455,863.4,82,6,Baw Baw,15/02/2022,2022-02-16
Bayside (C),VIC182,106862,578,14871,540.9,79,6,Bayside,15/02/2022,2022-02-16
Benalla (RC),VIC199,14037,95,1147,676.8,21,6,Benalla,15/02/2022,2022-02-16
Boroondara (C),VIC201,183199,957,21233,522.4,148,6,Boroondara,15/02/2022,2022-02-16
Brimbank (C),VIC189,209523,1133,40436,540.8,139,6,Brimbank,15/02/2022,2022-02-16
Buloke (S),VIC183,6124,17,338,277.6,2,5,Buloke,15/02/2022,2022-02-16
Campaspe (S),VIC239,37622,355,3689,943.6,62,6,Campaspe,15/02/2022,2022-02-16
Cardinia (S),VIC212,112159,1189,17415,1060.1,174,7,Cardinia,15/02/2022,2022-02-16
Casey (C),VIC213,353872,3200,63583,904.3,514,6,Casey,15/02/2022,2022-02-16
Central Goldfields (S),VIC169,13186,74,683,561.2,7,6,Central Goldfields,15/02/2022,2022-02-16
Colac-Otway (S),VIC224,21564,152,2065,704.9,37,6,Colac-Otway,15/02/2022,2022-02-16
Corangamite (S),VIC231,16020,98,1301,611.7,21,6,Corangamite,15/02/2022,2022-02-16
Darebin (C),VIC205,164184,1100,24482,670,174,6,Darebin,15/02/2022,2022-02-16
East Gippsland (S),VIC243,47316,250,3518,528.4,40,6,East Gippsland,15/02/2022,2022-02-16
Frankston (C),VIC227,142643,1273,19802,892.4,202,6,Frankston,15/02/2022,2022-02-16
Gannawarra (S),VIC214,10472,45,623,429.7,11,5,Gannawarra,15/02/2022,2022-02-16
Glen Eira (C),VIC177,156511,1215,23138,776.3,179,6,Glen Eira,15/02/2022,2022-02-16
Glenelg (S),VIC223,19674,94,1242,477.8,19,5,Glenelg,15/02/2022,2022-02-16
Golden Plains (S),VIC230,23722,212,2242,893.7,36,6,Golden Plains,15/02/2022,2022-02-16
Greater Bendigo (C),VIC193,118093,839,11135,710.5,137,6,Greater Bendigo,15/02/2022,2022-02-16
Greater Dandenong (C),VIC247,168201,912,29657,542.2,142,6,Greater Dandenong,15/02/2022,2022-02-16
Greater Geelong (C),VIC215,258934,2182,33066,842.7,322,6,Greater Geelong,15/02/2022,2022-02-16
Greater Shepparton (C),VIC93,66498,666,9400,1001.5,114,7,Greater Shepparton,15/02/2022,2022-02-16
Hepburn (S),VIC94,15975,105,1105,657.3,21,6,Hepburn,15/02/2022,2022-02-16
