LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,78,1343,608.7,6,6,Alpine,19/02/2022,2022-02-20
Ararat (RC),VIC220,11845,65,1107,548.8,9,6,Ararat,19/02/2022,2022-02-20
Ballarat (C),VIC241,109505,1287,12115,1175.3,131,7,Ballarat,19/02/2022,2022-02-20
Banyule (C),VIC188,131631,862,17620,654.9,92,6,Banyule,19/02/2022,2022-02-20
Bass Coast (S),VIC173,36320,274,3970,754.4,23,6,Bass Coast,19/02/2022,2022-02-20
Baw Baw (S),VIC194,53396,456,6724,854,48,6,Baw Baw,19/02/2022,2022-02-20
Bayside (C),VIC182,106862,492,15160,460.4,54,5,Bayside,19/02/2022,2022-02-20
Benalla (RC),VIC199,14037,90,1194,641.2,11,6,Benalla,19/02/2022,2022-02-20
Boroondara (C),VIC201,183199,926,21748,505.5,116,6,Boroondara,19/02/2022,2022-02-20
Brimbank (C),VIC189,209523,955,40929,455.8,87,5,Brimbank,19/02/2022,2022-02-20
Buloke (S),VIC183,6124,16,351,261.3,2,5,Buloke,19/02/2022,2022-02-20
Campaspe (S),VIC239,37622,365,3884,970.2,39,6,Campaspe,19/02/2022,2022-02-20
Cardinia (S),VIC212,112159,1127,18047,1004.8,129,7,Cardinia,19/02/2022,2022-02-20
Casey (C),VIC213,353872,3101,65404,876.3,357,6,Casey,19/02/2022,2022-02-20
Central Goldfields (S),VIC169,13186,87,740,659.8,15,6,Central Goldfields,19/02/2022,2022-02-20
Colac-Otway (S),VIC224,21564,177,2162,820.8,21,6,Colac-Otway,19/02/2022,2022-02-20
Corangamite (S),VIC231,16020,105,1359,655.4,7,6,Corangamite,19/02/2022,2022-02-20
Darebin (C),VIC205,164184,1032,25037,628.6,102,6,Darebin,19/02/2022,2022-02-20
East Gippsland (S),VIC243,47316,202,3625,426.9,15,5,East Gippsland,19/02/2022,2022-02-20
Frankston (C),VIC227,142643,1083,20411,759.2,97,6,Frankston,19/02/2022,2022-02-20
Gannawarra (S),VIC214,10472,44,643,420.2,5,5,Gannawarra,19/02/2022,2022-02-20
Glen Eira (C),VIC177,156511,1083,23757,692,87,6,Glen Eira,19/02/2022,2022-02-20
Glenelg (S),VIC223,19674,100,1298,508.3,8,6,Glenelg,19/02/2022,2022-02-20
Golden Plains (S),VIC230,23722,234,2373,986.4,29,6,Golden Plains,19/02/2022,2022-02-20
Greater Bendigo (C),VIC193,118093,753,11543,637.6,78,6,Greater Bendigo,19/02/2022,2022-02-20
Greater Dandenong (C),VIC247,168201,827,30123,491.7,94,5,Greater Dandenong,19/02/2022,2022-02-20
Greater Geelong (C),VIC215,258934,1892,34122,730.7,206,6,Greater Geelong,19/02/2022,2022-02-20
Greater Shepparton (C),VIC93,66498,631,9741,948.9,39,6,Greater Shepparton,19/02/2022,2022-02-20
Hepburn (S),VIC94,15975,78,1136,488.3,7,5,Hepburn,19/02/2022,2022-02-20
Hindmarsh (S),VIC152,5588,21,367,375.8,1,5,Hindmarsh,19/02/2022,2022-02-20
Hobsons Bay (C),VIC235,97751,528,14509,540.1,48,6,Hobsons Bay,19/02/2022,2022-02-20
Horsham (RC),VIC153,19921,257,1651,1290.1,40,7,Horsham,19/02/2022,2022-02-20
